motor_time_fraction,motor_angle_deg,source_fourier_small,source_fourier_large,spline_small,spline_large,source_fourier_dsmall_dt,source_fourier_dlarge_dt,spline_dsmall_dt,spline_dlarge_dt
8.795138888888889284e-01,3.166250000000000000e+02,1.898446217363253079e-03,4.012369592155582421e-01,1.462589874852903479e-03,4.019504319101286360e-01,2.341086790547999286e-01,2.028837454882757907e+00,1.979124533922680673e-01,2.061928726160113801e+00
8.798611111111110938e-01,3.167500000000000000e+02,1.980530944674708128e-03,4.019436364530811212e-01,1.532060326964601246e-03,4.026688811178143479e-01,2.386948144074207967e-01,2.041634991770549412e+00,2.022345942781583195e-01,2.076338104263391493e+00
8.802083333333333703e-01,3.168750000000000000e+02,2.064203355850359727e-03,4.026547692822767255e-01,1.603028651092597637e-03,4.033923329506962641e-01,2.432537399427857905e-01,2.054501554193219892e+00,2.065401962061969299e-01,2.090743847289366020e+00
8.805555555555555358e-01,3.170000000000000000e+02,2.149454005114720141e-03,4.033703815565881645e-01,1.675489104543202495e-03,4.041207861465939133e-01,2.477854681219980038e-01,2.067436485468633567e+00,2.108292591763804846e-01,2.105145955238024502e+00
8.809027777777778123e-01,3.171250000000000000e+02,2.236273451533122517e-03,4.040904968999380342e-01,1.749435944622794187e-03,4.048542394433290448e-01,2.522900143663076578e-01,2.080439120238592121e+00,2.151017831887089282e-01,2.119544428109390033e+00
8.812500000000000888e-01,3.172500000000000568e+02,2.324652260037838886e-03,4.048151387037187687e-01,1.824863428637534890e-03,4.055926915787214648e-01,2.567673970465897959e-01,2.093508784496937558e+00,2.193577682431823717e-01,2.133939265903452398e+00
8.815972222222222543e-01,3.173750000000000000e+02,2.414581002450593827e-03,4.055443301237960929e-01,1.901765813893730546e-03,4.063361412905912573e-01,2.612176374722112726e-01,2.106644795618932253e+00,2.235972143398007039e-01,2.148330468620210265e+00
8.819444444444445308e-01,3.175000000000000568e+02,2.506050258500583036e-03,4.062780940775210792e-01,1.980137357697838232e-03,4.070845873167591167e-01,2.656407598792931979e-01,2.119846462391782538e+00,2.278201214785640361e-01,2.162718036259664078e+00
8.822916666666666963e-01,3.176250000000000000e+02,2.599050616838553211e-03,4.070164532407539171e-01,2.059972317356018393e-03,4.078380283950446272e-01,2.700367914183890994e-01,2.133113085046310697e+00,2.320264896594721460e-01,2.177101968821802291e+00
8.826388888888889728e-01,3.177500000000000568e+02,2.693572676046622743e-03,4.077594300448995068e-01,2.141264950174574799e-03,4.085964632632695381e-01,2.744057621415488812e-01,2.146443955289875749e+00,2.362163188825252835e-01,2.191482266306648885e+00
8.829861111111111382e-01,3.178750000000000000e+02,2.789607045643848014e-03,4.085070466739514905e-01,2.224009513459818815e-03,4.093598906592534892e-01,2.787477049887844283e-01,2.159838356340382681e+00,2.403896091477198405e-01,2.205858928714190537e+00
8.833333333333334147e-01,3.180000000000000568e+02,2.887144347085339544e-03,4.092593250615536582e-01,2.308200264518131192e-03,4.101283093208168973e-01,2.830626557739753246e-01,2.173295562961553351e+00,2.445463604550627834e-01,2.220231956044428134e+00
8.836805555555555802e-01,3.181250000000000000e+02,2.986175214759541514e-03,4.100162868880677935e-01,2.393831460655670203e-03,4.109017179857802349e-01,2.873506531701408018e-01,2.186814841499297390e+00,2.486865728045472568e-01,2.234601348297362566e+00
8.840277777777778567e-01,3.182500000000000000e+02,3.086690296976039253e-03,4.107779535776599489e-01,2.480897359178967955e-03,4.116801153919638079e-01,2.916117386941753375e-01,2.200395449919341662e+00,2.528102461961834191e-01,2.248967105472992500e+00
8.843750000000000222e-01,3.183750000000000000e+02,3.188680256952091709e-03,4.115443462953942699e-01,2.569392217394034835e-03,4.124635002771879777e-01,2.958459566909710237e-01,2.214036637845895328e+00,2.569173806299576146e-01,2.263329227571317492e+00
8.847222222222222987e-01,3.185000000000000000e+02,3.292135773791195468e-03,4.123154859443473041e-01,2.659310292607399047e-03,4.132518713792731058e-01,3.000533543169934814e-01,2.227737646601665844e+00,2.610079761058803349e-01,2.277687714592340207e+00
8.850694444444444642e-01,3.186250000000000000e+02,3.397047543455640559e-03,4.130913931627293034e-01,2.750645842125223201e-03,4.140452274360389429e-01,3.042339815232609768e-01,2.241497709248853276e+00,2.650820326239479163e-01,2.292042566536046433e+00
8.854166666666667407e-01,3.187500000000000000e+02,3.503406279735064681e-03,4.138720883210256218e-01,2.843393123253889349e-03,4.148435671853073492e-01,3.083878910377846339e-01,2.255316050631461344e+00,2.691395501841603033e-01,2.306393783402460151e+00
8.857638888888889062e-01,3.188750000000000000e+02,3.611202715206647800e-03,4.146575915191486605e-01,2.937546393299701047e-03,4.156468893648970209e-01,3.125151383474213951e-01,2.269191887418650744e+00,2.731805287865176624e-01,2.320741365191557826e+00
8.861111111111111827e-01,3.190000000000000000e+02,3.720427602190505036e-03,4.154479225836094081e-01,3.033099909568895934e-03,4.164551927126299846e-01,3.166157816792069535e-01,2.283124428149333252e+00,2.772049684310199380e-01,2.335085311903363881e+00
8.864583333333333481e-01,3.191250000000000000e+02,3.831071713697014377e-03,4.162431010647000829e-01,3.130047929367779300e-03,4.172684759663258247e-01,3.206898819810892753e-01,2.297112873277883160e+00,2.812128691176671857e-01,2.349425623537865881e+00
8.868055555555556246e-01,3.192500000000000000e+02,3.943125844368501783e-03,4.170431462336963158e-01,3.228384710002733630e-03,4.180867378638049581e-01,3.247375029021708492e-01,2.311156415220982918e+00,2.852042308464592946e-01,2.363762300095063829e+00
8.871527777777777901e-01,3.193750000000000000e+02,4.056580811413810876e-03,4.178480770800740429e-01,3.328104508779919368e-03,4.189099771428878571e-01,3.287587107723725088e-01,2.325254238405655371e+00,2.891790536173931558e-01,2.378095341574957722e+00
8.875000000000000666e-01,3.195000000000000000e+02,4.171427455535650121e-03,4.186579123087453280e-01,3.429201583005716831e-03,4.197381925413946058e-01,3.327535745815910495e-01,2.339405519318415561e+00,2.931373374304750423e-01,2.392424747977547117e+00
8.878472222222222321e-01,3.196250000000000000e+02,4.287656641850005369e-03,4.194726703373072296e-01,3.531670189986434345e-03,4.205713827971458985e-01,3.367221659582994575e-01,2.353609426555547390e+00,2.970790822856987368e-01,2.406750519302832902e+00
8.881944444444445086e-01,3.197500000000000000e+02,4.405259260799189447e-03,4.202923692933140942e-01,3.635504587028380672e-03,4.214095466479619301e-01,3.406645591476575308e-01,2.367865120874558027e+00,3.010042881830705674e-01,2.421072655550814190e+00
8.885416666666666741e-01,3.198750000000000000e+02,4.524226229055239301e-03,4.211170270115619507e-01,3.740699031437936996e-03,4.222526828316632286e-01,3.445808309890841525e-01,2.382171755246703881e+00,3.049129551225873702e-01,2.435391156721492756e+00
8.888888888888889506e-01,3.200000000000000000e+02,4.644548490418645009e-03,4.219466610313962751e-01,3.847247780521261158e-03,4.231007900860700999e-01,3.484710608933317411e-01,2.396528474910680995e+00,3.088050831042489786e-01,2.449706022814865936e+00
8.892361111111111160e-01,3.201250000000000000e+02,4.766217016705407566e-03,4.227812885940353538e-01,3.955145091584661918e-03,4.239538671490020727e-01,3.523353308190534383e-01,2.410934417427421206e+00,3.126806721280555035e-01,2.464017253830924403e+00
8.895833333333333925e-01,3.202500000000000000e+02,4.889222808628817911e-03,4.236209266399156848e-01,4.064385221934522195e-03,4.248119127582811738e-01,3.561737252488820782e-01,2.425388712736026520e+00,3.165397221940070560e-01,2.478324849769689919e+00
8.899305555555555580e-01,3.203750000000000000e+02,5.013556896670275966e-03,4.244655918060528665e-01,4.174962428877074423e-03,4.256749256517263214e-01,3.599863311650057796e-01,2.439890483210749306e+00,3.203822333021034141e-01,2.492628810631140279e+00
8.902777777777778345e-01,3.205000000000000000e+02,5.139210341944705149e-03,4.253153004234278556e-01,4.286870969718627362e-03,4.265429045671591535e-01,3.637732380242852392e-01,2.454438843719149776e+00,3.242082054523447443e-01,2.506929136415298132e+00
8.906250000000000000e-01,3.206250000000000000e+02,5.266174237053985151e-03,4.261700685143877676e-01,4.400105101765487171e-03,4.274158482423994765e-01,3.675345377328645413e-01,2.469032901681292191e+00,3.280176386447278269e-01,2.521225827122151486e+00
8.909722222222222765e-01,3.207500000000000000e+02,5.394439706932775344e-03,4.270299117900734909e-01,4.514659082323960876e-03,4.282937554152676518e-01,3.712703246203474250e-01,2.483671757130085034e+00,3.318105328792591013e-01,2.535518882751700787e+00
8.913194444444444420e-01,3.208750000000000000e+02,5.523997909687045418e-03,4.278948456478621765e-01,4.630527168700434432e-03,4.291766248235840964e-01,3.749806954134864423e-01,2.498354502772651475e+00,3.355868881559351813e-01,2.549808303303946477e+00
8.916666666666667185e-01,3.210000000000000000e+02,5.654840037419520994e-03,4.287648851688367624e-01,4.747703618201063076e-03,4.300644552051691716e-01,3.786657492094414601e-01,2.513080224052809619e+00,3.393467044747561223e-01,2.564094088778888558e+00
