motor_time_fraction,motor_angle_deg,linear_small,linear_large,candidate_small,candidate_large,linear_dsmall_dt,linear_dlarge_dt,candidate_dsmall_dt,candidate_dlarge_dt,reference_spline_small,reference_spline_large,reference_spline_dsmall_dt,reference_spline_dlarge_dt
5.312500000000000000e-01,1.912500000000000000e+02,8.441615832807998210e-01,7.533144996605752042e-02,6.261153882645300595e-01,1.386120558792573211e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.180303391127117685e+00,-7.301224391632685773e-01,8.938321661236195981e-01,6.223228864980329123e-02,-3.479158585758372890e+00,-1.145741500659793077e+00
5.315972222222222765e-01,1.913750000000000284e+02,8.427043789866178747e-01,7.510432096180312544e-02,6.243188517459018483e-01,1.360883841687552699e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.167742062463070774e+00,-7.235106000125173242e-01,8.926213174347774615e-01,6.183509788335978669e-02,-3.495316507304284670e+00,-1.142081600439321720e+00
5.319444444444444420e-01,1.915000000000000000e+02,8.412471746924365945e-01,7.487719195754882762e-02,6.225266818973383964e-01,1.335876896713443680e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.155151371558899243e+00,-7.168875644237580058e-01,8.914048722676221059e-01,6.143917345061994384e-02,-3.511394300847889394e+00,-1.138447418529115129e+00
5.322916666666667185e-01,1.916250000000000284e+02,8.397899703982546482e-01,7.465006295329443264e-02,6.207388889140603716e-01,1.311100112635418639e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.142531318414590658e+00,-7.102533323969856260e-01,8.901828584443748360e-01,6.104450642161410312e-02,-3.527391966389216371e+00,-1.134838954929166421e+00
5.326388888888888840e-01,1.917500000000000000e+02,8.383327661040732570e-01,7.442293394904009318e-02,6.189554829912911060e-01,1.286553878218716848e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.129881903030154788e+00,-7.036079039322035156e-01,8.889553037872592878e-01,6.065108786637384009e-02,-3.543309503928252280e+00,-1.131256209639479593e+00
5.329861111111111605e-01,1.918750000000000284e+02,8.368755618098914217e-01,7.419580494478571209e-02,6.171764743242522666e-01,1.262238582228531608e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.117203125405583641e+00,-6.969512790294097870e-01,8.877222361184986532e-01,6.025890885493026539e-02,-3.559146913464994899e+00,-1.127699182660053978e+00
5.333333333333333259e-01,1.920000000000000000e+02,8.354183575157100305e-01,7.396867594053137263e-02,6.154018731081670746e-01,1.238154613430081201e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.104494985540890539e+00,-6.902834576886079931e-01,8.864836832603157912e-01,5.986796045731496152e-02,-3.574904194999445117e+00,-1.124167873990892685e+00
5.336805555555556024e-01,1.921250000000000284e+02,8.339611532215281953e-01,7.374154693627699153e-02,6.136316895382564196e-01,1.214302360588558234e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.091757483436059495e+00,-6.836044399097929158e-01,8.852396730349340048e-01,5.947823374355829668e-02,-3.590581348531604267e+00,-1.120662283631989942e+00
5.340277777777777679e-01,1.922500000000000000e+02,8.325039489273468041e-01,7.351441793202265207e-02,6.118659338097437450e-01,1.190682212469189143e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.078990619091102054e+00,-6.769142256929684409e-01,8.839902332645764860e-01,5.908971978369186029e-02,-3.606178374061471015e+00,-1.117182411583348411e+00
5.343750000000000444e-01,1.923750000000000284e+02,8.310467446331648578e-01,7.328728892776825710e-02,6.101046161178504956e-01,1.167294557837172085e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.066194392506011113e+00,-6.702128150381321259e-01,8.827353917714654274e-01,5.870240964774683934e-02,-3.621695271589044918e+00,-1.113728257844968317e+00
5.347222222222222099e-01,1.925000000000000000e+02,8.295895403389834666e-01,7.306015992351393151e-02,6.083477466578001147e-01,1.144139785457727945e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.053368803680793775e+00,-6.635002079452877455e-01,8.814751763778254645e-01,5.831629440575426121e-02,-3.637132041114315761e+00,-1.110299822416849880e+00
5.350694444444444864e-01,1.926250000000000284e+02,8.281323360448016313e-01,7.283303091925953654e-02,6.065953356248131589e-01,1.121218284096041004e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.040513852615442048e+00,-6.567764044144300817e-01,8.802096149058775687e-01,5.793136512774541697e-02,-3.652488682637305306e+00,-1.106897105298992434e+00
5.354166666666666519e-01,1.927500000000000000e+02,8.266751317506202401e-01,7.260590191500522483e-02,6.048473932141131826e-01,1.098530442517344288e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.027629539309961260e+00,-6.500414044455631313e-01,8.789387351778459312e-01,5.754761288375166706e-02,-3.667765196158004226e+00,-1.103520106491399311e+00
5.357638888888889284e-01,1.928750000000000000e+02,8.252179274564384048e-01,7.237877291075084374e-02,6.031039296209218525e-01,1.076076649486837344e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.014715863764348747e+00,-6.432952080386842297e-01,8.776625650159530778e-01,5.716502874380362254e-02,-3.682961581676410745e+00,-1.100168825994064514e+00
5.361111111111110938e-01,1.930000000000000000e+02,8.237607231622570136e-01,7.215164390649650428e-02,6.013649550404619459e-01,1.053857293769725791e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-5.001772825978606285e+00,-6.365378151937960416e-01,8.763811322424233108e-01,5.678360377793273406e-02,-3.698077839192511540e+00,-1.096843263806991597e+00
5.364583333333333703e-01,1.931250000000000000e+02,8.223035188680751784e-01,7.192451490224212318e-02,5.996304796679550186e-01,1.031872764131222357e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.988800425952732098e+00,-6.297692259108959023e-01,8.750944646794777126e-01,5.640332905617012615e-02,-3.713113968706334589e+00,-1.093543419930179894e+00
5.368055555555555358e-01,1.932500000000000000e+02,8.208463145738937872e-01,7.169738589798778372e-02,5.979005136986246249e-01,1.010123449336546020e-02,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.975798663686731516e+00,-6.229894401899876977e-01,8.738025901493402525e-01,5.602419564854735357e-02,-3.728069970217864348e+00,-1.090269294363632069e+00
5.371527777777778123e-01,1.933750000000000000e+02,8.193891102797118409e-01,7.147025689373338875e-02,5.961750673276913215e-01,9.886096777201383579e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.962767539180595655e+00,-6.162043388400058053e-01,8.725055364742336783e-01,5.564619462509491632e-02,-3.742945843727103039e+00,-1.087020887107343237e+00
5.374999999999999778e-01,1.935000000000000000e+02,8.179319059855303387e-01,7.124312788947906316e-02,5.944541507503786626e-01,9.673314383750492018e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.949707052434331622e+00,-6.094228681969832140e-01,8.712033314763812930e-01,5.526931705584425120e-02,-3.757741589234048440e+00,-1.083798198161315396e+00
5.378472222222222543e-01,1.936250000000000000e+02,8.164747016913486144e-01,7.101599888522466819e-02,5.927377741619080931e-01,9.462886020981288102e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.936617203447934976e+00,-6.026451221133366509e-01,8.698960029780062886e-01,5.489355401082646885e-02,-3.772457206738702773e+00,-1.080601227525549213e+00
5.381944444444444198e-01,1.937500000000000000e+02,8.150174973971673342e-01,7.078886988097035649e-02,5.910259477575030562e-01,9.254810395644139445e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.923497992221412822e+00,-5.958711005890703349e-01,8.685835788013324121e-01,5.451889656007286727e-02,-3.787092696241052270e+00,-1.077429975200044465e+00
5.385416666666666963e-01,1.938750000000000000e+02,8.135602931029851659e-01,7.056174087671594763e-02,5.893186817323843307e-01,9.049086214489000801e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.910349418754755391e+00,-5.891008036241788259e-01,8.672660867685806352e-01,5.414533577361449468e-02,-3.801648057741121800e+00,-1.074284441184800931e+00
5.388888888888888618e-01,1.940000000000000000e+02,8.121030888088038857e-01,7.033461187246163593e-02,5.876159862817751378e-01,8.845712184266250194e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.897171483047969787e+00,-5.823342312186661207e-01,8.659435547019751489e-01,5.377286272148257967e-02,-3.816123291238899817e+00,-1.071164625479818833e+00
5.392361111111111382e-01,1.941250000000000000e+02,8.106458845146221615e-01,7.010748286820722708e-02,5.859178716008971444e-01,8.644687011726121667e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.883964185101050681e+00,-5.755713833725294437e-01,8.646160104237388122e-01,5.340146847370822597e-02,-3.830518396734386322e+00,-1.068070528085098170e+00
5.395833333333333037e-01,1.942500000000000000e+02,8.091886802204406592e-01,6.988035386395291537e-02,5.842243478849736826e-01,8.446009403618774669e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.870727524914006068e+00,-5.688122600857729028e-01,8.632834817560955942e-01,5.303114410032295362e-02,-3.844833374227567990e+00,-1.065002149000641385e+00
5.399305555555555802e-01,1.943750000000000000e+02,8.077314759262588240e-01,6.965322485969852040e-02,5.825354253292255313e-01,8.249678066694384262e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.857461502486825289e+00,-5.620568613583911688e-01,8.619459965212666885e-01,5.266188067135726264e-02,-3.859068223718468804e+00,-1.061959488226443371e+00
5.402777777777777457e-01,1.945000000000000000e+02,8.062742716320774328e-01,6.942609585544419482e-02,5.808511141288762447e-01,8.055691707703318064e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.844166117819518114e+00,-5.553051871903881276e-01,8.606035825414761753e-01,5.229366925684268003e-02,-3.873222945207078993e+00,-1.058942545762506571e+00
5.406250000000000222e-01,1.946250000000000000e+02,8.048170673378955975e-01,6.919896685118979984e-02,5.791714244791470456e-01,7.864049033395605418e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.830841370912077437e+00,-5.485572375817615587e-01,8.592562676389469134e-01,5.192650092681024010e-02,-3.887297538693396337e+00,-1.055951321608831650e+00
5.409722222222221877e-01,1.947500000000000000e+02,8.033598630437142063e-01,6.897183784693547426e-02,5.774963665752612663e-01,7.674748750521547154e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.817487261764507700e+00,-5.418130125325135715e-01,8.579040796359018728e-01,5.156036675129155311e-02,-3.901292004177421724e+00,-1.052985815765420163e+00
5.413194444444444642e-01,1.948750000000000000e+02,8.019026587495322600e-01,6.874470884268107929e-02,5.758259506124402405e-01,7.487789565831377316e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.804103790376806238e+00,-5.350725120426416126e-01,8.565470463545643565e-01,5.119525780031705664e-02,-3.915206341659154710e+00,-1.050046028232267670e+00
5.416666666666667407e-01,1.950000000000000284e+02,8.004454544553504247e-01,6.851757983842668431e-02,5.741601867859065234e-01,7.303170186075334282e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.790690956748973051e+00,-5.283357361121473472e-01,8.551851956171570013e-01,5.083116514391830543e-02,-3.929040551138596182e+00,-1.047131959009376834e+00
5.420138888888889062e-01,1.951250000000000000e+02,7.989882501611690335e-01,6.829045083417235873e-02,5.724990852908832251e-01,7.120889318003579237e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.777248760881015244e+00,-5.216026847410328848e-01,8.538185552459032213e-01,5.046807985212643094e-02,-3.942794632615744810e+00,-1.044243608096746767e+00
5.423611111111111827e-01,1.952500000000000284e+02,7.975310458669870872e-01,6.806332182991796376e-02,5.708426563225912354e-01,6.940945668366352295e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.763777202772919495e+00,-5.148733579292934515e-01,8.524471530630255423e-01,5.010599299497251607e-02,-3.956468586090602368e+00,-1.041380975494378802e+00
5.427083333333333481e-01,1.953750000000000000e+02,7.960738415728056960e-01,6.783619282566365205e-02,5.691909100762537754e-01,6.763337943913883162e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.750276282424699126e+00,-5.081477556769327109e-01,8.510710168907485995e-01,4.974489564248782414e-02,-3.970062411563155536e+00,-1.038544061202271829e+00
5.430555555555556246e-01,1.955000000000000284e+02,7.946166372786238608e-01,6.760906382140924320e-02,5.675438567470925122e-01,6.588064851396337358e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.736745999836343479e+00,-5.014258779839482205e-01,8.496901745512929205e-01,4.938477886470342415e-02,-3.983576109033428736e+00,-1.035732865220426513e+00
5.434027777777777901e-01,1.956250000000000000e+02,7.931594329844424696e-01,6.738193481715493149e-02,5.659015065303305558e-01,6.415125097564022653e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.723186355007864101e+00,-4.947077248503439217e-01,8.483046538668828074e-01,4.902563373165087085e-02,-3.997009678501409535e+00,-1.032947387548844631e+00
5.437500000000000666e-01,1.957500000000000284e+02,7.917022286902606343e-01,6.715480581290052264e-02,5.642638696211891292e-01,6.244517389167032577e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.709597347939247669e+00,-4.879932962761143744e-01,8.469144826597408970e-01,4.866745131336066427e-02,-4.010363119967098378e+00,-1.030187628187521742e+00
