motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
7.930555555555556246e-01,2.855000000000000000e+02,7.870002063247963364e-02,2.491338772323440365e-01,-1.612346020601114871e+00,1.600940227073691435e+00
7.937500000000000666e-01,2.857500000000000000e+02,7.758224039368248615e-02,2.502447930016387101e-01,-1.606837804923479718e+00,1.598519184751037159e+00
7.944444444444445086e-01,2.860000000000000000e+02,7.646833392685857544e-02,2.513540736979146262e-01,-1.601189329760453584e+00,1.596231764148942966e+00
7.951388888888889506e-01,2.862500000000000000e+02,7.535839910233922689e-02,2.524618132507425727e-01,-1.595399256423164491e+00,1.594081233708636747e+00
7.958333333333333925e-01,2.865000000000000000e+02,7.425253470152713697e-02,2.535681078483166817e-01,-1.589466299774961344e+00,1.592070829641976104e+00
7.965277777777778345e-01,2.867500000000000000e+02,7.315084037958602403e-02,2.546730559146915263e-01,-1.583389228578226282e+00,1.590203754834880412e+00
7.972222222222222765e-01,2.870000000000000000e+02,7.205341662789488399e-02,2.557767580862613244e-01,-1.577166865822350328e+00,1.588483177756837783e+00
7.979166666666667185e-01,2.872500000000000000e+02,7.096036473628231089e-02,2.568793171874824699e-01,-1.570798089032851674e+00,1.586912231376820026e+00
7.986111111111111605e-01,2.875000000000000000e+02,6.987178675505241465e-02,2.579808382058459970e-01,-1.564281830561536024e+00,1.585494012085935767e+00
7.993055555555556024e-01,2.877500000000000000e+02,6.878778545681649148e-02,2.590814282661025869e-01,-1.557617077857665011e+00,1.584231578627172121e+00
8.000000000000000444e-01,2.880000000000000000e+02,6.770846429814064704e-02,2.601811966037515522e-01,-1.550802873720036779e+00,1.583127951032532899e+00
8.006944444444444864e-01,2.882500000000000000e+02,6.663392738102758006e-02,2.612802545377893026e-01,-1.543838316529996035e+00,1.582186109567927934e+00
8.013888888888889284e-01,2.885000000000000000e+02,6.556427941424265715e-02,2.623787154427297819e-01,-1.536722560465286991e+00,1.581408993686126419e+00
8.020833333333333703e-01,2.887500000000000000e+02,6.449962567449681050e-02,2.634766947199024822e-01,-1.529454815694708980e+00,1.580799500988106177e+00
8.027777777777778123e-01,2.890000000000000000e+02,6.344007196750198196e-02,2.645743097680293698e-01,-1.522034348553598537e+00,1.580360486193136182e+00
8.034722222222222543e-01,2.892500000000000000e+02,6.238572458891167988e-02,2.656716799530914885e-01,-1.514460481700054872e+00,1.580094760117889852e+00
8.041666666666666963e-01,2.895000000000000000e+02,6.133669028515943006e-02,2.667689265774879082e-01,-1.506732594251952717e+00,1.580005088664947044e+00
8.048611111111111382e-01,2.897500000000000000e+02,6.029307621420740282e-02,2.678661728484991178e-01,-1.498850121904657051e+00,1.580094191820964999e+00
8.055555555555555802e-01,2.900000000000000000e+02,5.925498990622223017e-02,2.689635438460551420e-01,-1.490812557029522312e+00,1.580364742664872146e+00
8.062500000000000222e-01,2.902500000000000000e+02,5.822253922418831051e-02,2.700611664898177056e-01,-1.482619448753129232e+00,1.580819366386373881e+00
8.069444444444444642e-01,2.905000000000000000e+02,5.719583232447144477e-02,2.711591695055887707e-01,-1.474270403017254649e+00,1.581460639315099170e+00
8.076388888888889062e-01,2.907500000000000000e+02,5.617497761734919354e-02,2.722576833910442806e-01,-1.465765082619638893e+00,1.582291087960689069e+00
8.083333333333333481e-01,2.910000000000000000e+02,5.516008372751875916e-02,2.733568403808078195e-01,-1.457103207235528108e+00,1.583313188064136456e+00
8.090277777777777901e-01,2.912500000000000000e+02,5.415125945459771384e-02,2.744567744108667440e-01,-1.448284553420063236e+00,1.584529363660693635e+00
8.097222222222222321e-01,2.915000000000000000e+02,5.314861373362703145e-02,2.755576210823460492e-01,-1.439308954591473677e+00,1.585941986154630001e+00
8.104166666666666741e-01,2.917500000000000000e+02,5.215225559559556745e-02,2.766595176246401944e-01,-1.430176300995203764e+00,1.587553373406156432e+00
8.111111111111111160e-01,2.920000000000000000e+02,5.116229412799467441e-02,2.777626028579144868e-01,-1.420886539648987368e+00,1.589365788830808812e+00
8.118055555555555580e-01,2.922500000000000000e+02,5.017883843541668526e-02,2.788670171549905152e-01,-1.411439674268854860e+00,1.591381440511574930e+00
8.125000000000000000e-01,2.925000000000000000e+02,4.920199760021273100e-02,2.799729024026145208e-01,-1.401835765176246973e+00,1.593602480324068704e+00
8.131944444444444420e-01,2.927500000000000000e+02,4.823188064322191104e-02,2.810804019621234162e-01,-1.392074929186227772e+00,1.596031003075036425e+00
8.138888888888888840e-01,2.930000000000000000e+02,4.726859648458226620e-02,2.821896606295209997e-01,-1.382157339476844271e+00,1.598669045654463439e+00
8.145833333333333259e-01,2.932500000000000000e+02,4.631225390464217134e-02,2.833008245949658055e-01,-1.372083225439788778e+00,1.601518586201587935e+00
8.152777777777777679e-01,2.935000000000000000e+02,4.536296150497892699e-02,2.844140414016874119e-01,-1.361852872512370416e+00,1.604581543285073408e+00
8.159722222222222099e-01,2.937500000000000000e+02,4.442082766954371514e-02,2.855294599043360360e-01,-1.351466621990941697e+00,1.607859775097634669e+00
8.166666666666666519e-01,2.940000000000000000e+02,4.348596052593865779e-02,2.866472302267811800e-01,-1.340924870825798143e+00,1.611355078665368090e+00
8.173611111111110938e-01,2.942500000000000000e+02,4.255846790684624653e-02,2.877675037193642149e-01,-1.330228071397740131e+00,1.615069189072065647e+00
8.180555555555555358e-01,2.945000000000000000e+02,4.163845731161874147e-02,2.888904329156163353e-01,-1.319376731276354686e+00,1.619003778698771434e+00
