motor_time_fraction,motor_angle_deg,small_linear,large_linear,small_6h,large_6h,delta_small,delta_large,dsmall6h_dt,dlarge6h_dt
1.583333333333333537e-01,5.700000000000000711e+01,3.975616157673829698e-01,7.114853710025667022e-01,4.148639010800930227e-01,7.887730870202994682e-01,1.730228531271005288e-02,7.728771601773276601e-02,2.647081475048414845e+00,-2.723958288984065668e+00
1.587500000000000022e-01,5.714999999999999858e+01,3.983091687844832474e-01,7.107261219788892914e-01,4.159657755409745250e-01,7.876390437214042528e-01,1.765660675649127764e-02,7.691292174251496139e-02,2.641905771697449001e+00,-2.719439952101916358e+00
1.591666666666666785e-01,5.730000000000000426e+01,3.990567218015836359e-01,7.099668729552117696e-01,4.170654808018507964e-01,7.865068949761928607e-01,1.800875900026716048e-02,7.654002202098109109e-02,2.636669435074771251e+00,-2.714864620029076470e+00
1.595833333333333548e-01,5.745000000000000995e+01,3.998042748186839690e-01,7.092076239315343589e-01,4.181629917494560922e-01,7.853766642970616552e-01,1.835871693077212319e-02,7.616904036552729629e-02,2.631373189323638506e+00,-2.710233422895630628e+00
1.600000000000000033e-01,5.760000000000000142e+01,4.005518278357842465e-01,7.084483749078569481e-01,4.192582835738370983e-01,7.842483747264633598e-01,1.870645573805285178e-02,7.579999981860641167e-02,2.626017766181343749e+00,-2.705547486284919145e+00
1.604166666666666796e-01,5.775000000000000711e+01,4.012993808528845796e-01,7.076891258841794263e-01,4.203513317714936415e-01,7.831220488388246359e-01,1.905195091860906187e-02,7.543292295464520958e-02,2.620603904866643408e+00,-2.700807931112924276e+00
1.608333333333333559e-01,5.790000000000000568e+01,4.020469338699849682e-01,7.069298768605019045e-01,4.214421121484721589e-01,7.819977087425173945e-01,1.939517827848719067e-02,7.506783188201548995e-02,2.615132351965876012e+00,-2.696015873509516769e+00
1.612500000000000044e-01,5.805000000000000426e+01,4.027944868870852457e-01,7.061706278368244938e-01,4.225306008234117061e-01,7.808753760818774037e-01,1.973611393632646038e-02,7.470474824505290989e-02,2.609603861317823181e+00,-2.691172424701600896e+00
1.616666666666666807e-01,5.820000000000000284e+01,4.035420399041855788e-01,7.054113788131470830e-01,4.236167742305416706e-01,7.797550720392696366e-01,2.007473432635609178e-02,7.434369322612255360e-02,2.604019193897308071e+00,-2.686278690898136201e+00
1.620833333333333570e-01,5.835000000000000853e+01,4.042895929212859119e-01,7.046521297894696723e-01,4.247006091226304680e-01,7.786368173372042456e-01,2.041101620134455619e-02,7.398468754773457334e-02,2.598379117697592555e+00,-2.681335773177085713e+00
1.625000000000000056e-01,5.850000000000000000e+01,4.050371459383862449e-01,7.038928807657922615e-01,4.257820825738851123e-01,7.775206322404975001e-01,2.074493663549886735e-02,7.362775147470523862e-02,2.592684407611548725e+00,-2.676344767374263967e+00
1.629166666666666818e-01,5.865000000000000568e+01,4.057846989554865780e-01,7.031336317421146287e-01,4.268611719828017126e-01,7.764065365584778000e-01,2.107647302731513461e-02,7.327290481636317132e-02,2.586935845311663762e+00,-2.671306763974115484e+00
1.633333333333333304e-01,5.879999999999999716e+01,4.065322519725868555e-01,7.023743827184372179e-01,4.279378550749641241e-01,7.752945496472394282e-01,2.140560310237726860e-02,7.292016692880221029e-02,2.581134219128893292e+00,-2.666222848002431700e+00
1.637500000000000067e-01,5.895000000000000284e+01,4.072798049896871886e-01,7.016151336947598072e-01,4.290121099057938592e-01,7.741846904119371597e-01,2.173230491610667059e-02,7.256955671717735257e-02,2.575280323930365434e+00,-2.661094098921010787e+00
1.641666666666666829e-01,5.910000000000000853e+01,4.080273580067875216e-01,7.008558846710823964e-01,4.300839148632470965e-01,7.730769773091278330e-01,2.205655685645957487e-02,7.222109263804543655e-02,2.569374960995993717e+00,-2.655921590524271458e+00
1.645833333333333315e-01,5.925000000000000000e+01,4.087749110238878547e-01,7.000966356474049856e-01,4.311532486704610090e-01,7.719714283491522222e-01,2.237833764657315427e-02,7.187479270174723656e-02,2.563418937893991778e+00,-2.650706390837817672e+00
1.650000000000000078e-01,5.940000000000000568e+01,4.095224640409881878e-01,6.993373866237274639e-01,4.322200903883479661e-01,7.708680610985593207e-01,2.269762634735977835e-02,7.153067447483185681e-02,2.557413068355332886e+00,-2.645449562018991507e+00
1.654166666666666841e-01,5.955000000000000426e+01,4.102700170580885208e-01,6.985781376000499421e-01,4.332844194181368347e-01,7.697668926825722568e-01,2.301440236004831386e-02,7.118875508252231477e-02,2.551358172147172532e+00,-2.640152160259381819e+00
1.658333333333333326e-01,5.970000000000000284e+01,4.110175700751888539e-01,6.978188885763725313e-01,4.343462155038613215e-01,7.686679397875938458e-01,2.332864542867246760e-02,7.084905121122131444e-02,2.545255074945250495e+00,-2.634815235689323298e+00
1.662500000000000089e-01,5.985000000000000142e+01,4.117651230922891870e-01,6.970596395526951206e-01,4.354054587347958027e-01,7.675712186637515533e-01,2.364033564250661579e-02,7.051157911105643272e-02,2.539104608205319469e+00,-2.629439832284385936e+00
1.666666666666666852e-01,6.000000000000000711e+01,4.125126761093895200e-01,6.963003905290175988e-01,4.364621295478358642e-01,7.664767451274809851e-01,2.394945343844634422e-02,7.017635459846338630e-02,2.532907609033595353e+00,-2.624026987773853570e+00
1.670833333333333337e-01,6.014999999999999858e+01,4.132602291264897976e-01,6.955411415053401880e-01,4.375162087298258284e-01,7.653845345641480113e-01,2.425597960333603087e-02,6.984339305880782334e-02,2.526664920056280295e+00,-2.618577733551203490e+00
1.675000000000000100e-01,6.030000000000000426e+01,4.140077821435901306e-01,6.947818924816626662e-01,4.385676774198318251e-01,7.642946019307057526e-01,2.455989527624169444e-02,6.951270944904308635e-02,2.520377389288161130e+00,-2.613093094586588006e+00
1.679166666666666863e-01,6.045000000000000995e+01,4.147553351606905192e-01,6.940226434579852555e-01,4.396165171113589620e-01,7.632069617583899790e-01,2.486118195066844283e-02,6.918431830040472352e-02,2.514045870000341854e+00,-2.607574089341324619e+00
1.683333333333333348e-01,6.060000000000000142e+01,4.155028881777907968e-01,6.932633944343078447e-01,4.406627096545137623e-01,7.621216281554477057e-01,2.515982147672296554e-02,6.885823372113986096e-02,2.507671220587085248e+00,-2.602021729684398377e+00
1.687500000000000111e-01,6.075000000000000711e+01,4.162504411948911298e-01,6.925041454106303229e-01,4.417062372581115892e-01,7.610386148099016479e-01,2.545579606322045940e-02,6.853446939927132497e-02,2.501254304431844933e+00,-2.596437020810977714e+00
1.691666666666666874e-01,6.090000000000000568e+01,4.169979942119914629e-01,6.917448963869528011e-01,4.427470824917262848e-01,7.599579349923477611e-01,2.574908827973482195e-02,6.821303860539496000e-02,2.494795989772470524e+00,-2.590820961162947356e+00
1.695833333333333359e-01,6.105000000000000426e+01,4.177455472290917959e-01,6.909856473632753904e-01,4.437852282876858512e-01,7.588796015587844224e-01,2.603968105859405524e-02,6.789395419550903199e-02,2.488297149565637856e+00,-2.585174542351465377e+00
1.700000000000000122e-01,6.120000000000000284e+01,4.184931002461921290e-01,6.902263983395979796e-01,4.448206579430093455e-01,7.578036269534750291e-01,2.632755769681721647e-02,6.757722861387704949e-02,2.481758661350516260e+00,-2.579498749081531095e+00
1.704166666666666885e-01,6.135000000000000853e+01,4.192406532632924621e-01,6.894671493159205689e-01,4.458533551212880974e-01,7.567300232118411296e-01,2.661270185799563537e-02,6.726287389592056076e-02,2.475181407111713305e+00,-2.573794559078592670e+00
1.708333333333333370e-01,6.150000000000000000e+01,4.199882062803927396e-01,6.887079002922430471e-01,4.468833038545092506e-01,7.556588019633849740e-01,2.689509757411651103e-02,6.695090167114192692e-02,2.468566273141501011e+00,-2.568062943017163757e+00
1.712500000000000133e-01,6.165000000000000568e+01,4.207357592974931282e-01,6.879486512685655253e-01,4.479104885448220164e-01,7.545899744346414861e-01,2.717472924732888817e-02,6.664132316607596085e-02,2.461914149901379911e+00,-2.562304864451467434e+00
1.716666666666666896e-01,6.180000000000001137e+01,4.214833123145934612e-01,6.871894022448881145e-01,4.489348939662454741e-01,7.535235514521606559e-01,2.745158165165201281e-02,6.633414920727254138e-02,2.455225931882984547e+00,-2.556521279748114939e+00
1.720833333333333381e-01,6.195000000000000284e+01,4.222308653316937388e-01,6.864301532212107038e-01,4.499565052663187514e-01,7.524595434455151333e-01,2.772563993462501264e-02,6.602939022430442950e-02,2.448502517468362338e+00,-2.550713138020797466e+00
1.725000000000000144e-01,6.210000000000000853e+01,4.229784183487940719e-01,6.856709041975332930e-01,4.509753079676934173e-01,7.513979604503351339e-01,2.799688961889934546e-02,6.572705625280184094e-02,2.441744808789666266e+00,-2.544881381067000348e+00
1.729166666666666907e-01,6.225000000000000711e+01,4.237259713658944604e-01,6.849116551738557712e-01,4.519912879696659780e-01,7.503388121113702125e-01,2.826531660377151756e-02,6.542715693751444128e-02,2.434953711588266678e+00,-2.539026943306749384e+00
1.733333333333333393e-01,6.240000000000000568e+01,4.244735243829947380e-01,6.841524061501782494e-01,4.530044315496524754e-01,7.492821076855759044e-01,2.853090716665773741e-02,6.512970153539765494e-02,2.428130135073329310e+00,-2.533150751723368010e+00
1.737500000000000155e-01,6.255000000000000426e+01,4.252210774000950710e-01,6.833931571265008387e-01,4.540147253646041881e-01,7.482278560452233496e-01,2.879364796450911701e-02,6.483469891872251090e-02,2.421274991779879482e+00,-2.527253725806252849e+00
1.741666666666666641e-01,6.269999999999999574e+01,4.259686304171953486e-01,6.826339081028234279e-01,4.550221564523632134e-01,7.471760656810346735e-01,2.905352603516786480e-02,6.454215757821124555e-02,2.414389197426369371e+00,-2.521336777495671644e+00
1.745833333333333404e-01,6.285000000000000142e+01,4.267161834342957372e-01,6.818746590791460171e-01,4.560267122329598188e-01,7.461267447053381296e-01,2.931052879866408167e-02,6.425208562619211250e-02,2.407473670771804741e+00,-2.515400811129559155e+00
1.750000000000000167e-01,6.300000000000000711e+01,4.274637364513960702e-01,6.811154100554684954e-01,4.570283805098485641e-01,7.450799008552480007e-01,2.956464405845249388e-02,6.396449079977950536e-02,2.400529333472418703e+00,-2.509446723392336320e+00
1.754166666666666652e-01,6.314999999999999858e+01,4.282112894684963478e-01,6.803561610317910846e-01,4.580271494710865809e-01,7.440355414958628177e-01,2.981586000259023317e-02,6.367938046407173314e-02,2.393557109937961780e+00,-2.503475403265726040e+00
1.758333333333333415e-01,6.330000000000000426e+01,4.289588424855966808e-01,6.795969120081135628e-01,4.590230076904500134e-01,7.429936736234845629e-01,3.006416520485333255e-02,6.339676161537100008e-02,2.386557927187602957e+00,-2.497487731981563375e+00
1.762500000000000178e-01,6.345000000000000284e+01,4.297063955026970139e-01,6.788376629844361521e-01,4.600159441284916162e-01,7.419543038688584113e-01,3.030954862579460229e-02,6.311664088442225928e-02,2.379532714705491880e+00,-2.491484582976611240e+00
1.766666666666666663e-01,6.360000000000000142e+01,4.304539485197973470e-01,6.780784139607587413e-01,4.610059481335378462e-01,7.409174385004290153e-01,3.055199961374049922e-02,6.283902453967027402e-02,2.372482404295995995e+00,-2.485466821849358521e+00
1.770833333333333426e-01,6.375000000000000000e+01,4.312015015368976800e-01,6.773191649370812195e-01,4.619930094426250577e-01,7.398830834276145518e-01,3.079150790572737773e-02,6.256391849053333232e-02,2.365407929938650788e+00,-2.479435306318801935e+00
1.775000000000000189e-01,6.390000000000000568e+01,4.319490545539980131e-01,6.765599159134036977e-01,4.629771181823754689e-01,7.388512442040992001e-01,3.102806362837745580e-02,6.229132829069550237e-02,2.358310227642847590e+00,-2.473390886185205861e+00
1.779166666666666674e-01,6.404999999999999716e+01,4.326966075710982906e-01,6.758006668897262870e-01,4.639582648698130640e-01,7.378219260311397187e-01,3.126165729871477339e-02,6.202125914141343177e-02,2.351190235302280218e+00,-2.467334403292835265e+00
1.783333333333333437e-01,6.420000000000000284e+01,4.334441605881986792e-01,6.750414178660488762e-01,4.649364404131182682e-01,7.367951337608882323e-01,3.149227982491958899e-02,6.175371589483935608e-02,2.344048892549195351e+00,-2.461266691494646608e+00
1.787500000000000200e-01,6.435000000000000853e+01,4.341917136052990123e-01,6.742821688423713544e-01,4.659116361123213368e-01,7.357708718997288955e-01,3.171992250702232452e-02,6.148870305735754105e-02,2.336887140608455038e+00,-2.455188576618938967e+00
