motor_time_fraction,motor_angle_deg,source16_small,source16_large,mobile7_small,mobile7_large,source16_dsmall_dt,source16_dlarge_dt,mobile7_dsmall_dt,mobile7_dlarge_dt
7.892361111111111382e-01,2.841250000000000000e+02,8.483887346778844207e-02,2.454876789889123279e-01,6.791202649728064408e-03,3.175928953493800666e-01,-1.836963738591427253e+00,1.788464068834116238e+00,-5.664744011031117576e-01,8.857419552357413961e-01
7.895833333333334147e-01,2.842500000000000568e+02,8.420132421906326159e-02,2.461086128147525753e-01,6.595889482062020255e-03,3.179011838385936706e-01,-1.835306996910461397e+00,1.788114147002668686e+00,-5.585255652256447823e-01,8.900292238568273673e-01
7.899305555555555802e-01,2.843750000000000000e+02,8.356436370406941649e-02,2.467294244930788860e-01,6.403340367924111737e-03,3.182109916723515619e-01,-1.833572632300094485e+00,1.787760499155105043e+00,-5.505534527808298995e-01,8.944933798111739387e-01
7.902777777777778567e-01,2.845000000000000000e+02,8.292801887521250581e-02,2.473501127301361291e-01,6.213563389455763718e-03,3.185223802698668449e-01,-1.831760644760325185e+00,1.787403125291423978e+00,-5.425580637686603369e-01,8.991344230987826647e-01
7.906250000000000222e-01,2.846250000000000000e+02,8.229231668489885021e-02,2.479706762321684799e-01,6.026566628798493003e-03,3.188354110503523464e-01,-1.829871034291153942e+00,1.787042025411626822e+00,-5.345393981891394253e-01,9.039523537196517688e-01
7.909722222222222987e-01,2.847500000000000000e+02,8.165728408553434015e-02,2.485911137054203079e-01,5.842358168093810325e-03,3.191501454330210041e-01,-1.827903800892580755e+00,1.786677199515713133e+00,-5.264974560422673866e-01,9.089471716737819174e-01
7.913194444444444642e-01,2.848750000000000000e+02,8.102294802952547670e-02,2.492114238561357886e-01,5.660946089483051211e-03,3.194666448370855893e-01,-1.825858944564606734e+00,1.786308647603682909e+00,-5.184322373280473295e-01,9.141188769611720000e-01
7.916666666666667407e-01,2.850000000000000000e+02,8.038933546927766460e-02,2.498316053905598466e-01,5.482338475107548584e-03,3.197849706817594284e-01,-1.823736465307229881e+00,1.785936369675535929e+00,-5.103437420464725927e-01,9.194674695818241261e-01
7.920138888888889062e-01,2.851250000000000000e+02,7.975647335719754372e-02,2.504516570149363242e-01,5.306543407108999660e-03,3.201051843862550150e-01,-1.821536363120451973e+00,1.785560365731272858e+00,-5.022319701975498374e-01,9.249929495357349651e-01
7.923611111111111827e-01,2.852500000000000000e+02,7.912438864569057428e-02,2.510715774355101182e-01,5.133568967628644557e-03,3.204273473697856756e-01,-1.819258638004271456e+00,1.785180635770892588e+00,-4.940969217812725134e-01,9.306953168229090689e-01
7.927083333333333481e-01,2.853750000000000000e+02,7.849310828716332678e-02,2.516913653585252653e-01,4.963423238808092018e-03,3.207515210515640702e-01,-1.816903289958689660e+00,1.784797179794396227e+00,-4.859385967976472820e-01,9.365745714433408864e-01
7.930555555555556246e-01,2.855000000000000000e+02,7.786265923402140021e-02,2.523110194902265513e-01,4.796114302788584763e-03,3.210777668508034144e-01,-1.814470318983705477e+00,1.784409997801782888e+00,-4.777569952466672598e-01,9.426307133970364127e-01
