cycle_fraction,motor_angle_deg,time_s,S_volume_m3,L_volume_m3,S_swept_fraction,L_swept_fraction
0.019444444444444445,7.0,0.009722222222222222,0.0001856768676338145,0.0009674894762864369,0.2132543289406579,0.9671643710493013
0.02013888888888889,7.250000000000001,0.010069444444444445,0.00018658444023084066,0.0009663283861538097,0.2143455769442251,0.9659916700153478
0.020833333333333336,7.500000000000001,0.010416666666666668,0.00018749201282786682,0.0009651672960211825,0.21543682494779226,0.9648189689813943
0.021527777777777778,7.75,0.010763888888888889,0.000188399585424893,0.0009640062058885552,0.21652807295135945,0.9636462679474408
0.022222222222222223,8.0,0.011111111111111112,0.0001893071580219192,0.000962845115755928,0.21761932095492664,0.9624735669134873
0.02291666666666667,8.25,0.011458333333333334,0.00019021473061894533,0.0009616840256233007,0.21871056895849378,0.9613008658795337
0.02361111111111111,8.5,0.011805555555555555,0.00019112230321597151,0.0009605229354906734,0.219801816962061,0.9601281648455802
0.024305555555555556,8.75,0.012152777777777778,0.00019202987581299767,0.0009593618453580462,0.22089306496562816,0.9589554638116267
0.025,9.0,0.0125,0.00019293744841002386,0.000958200755225419,0.22198431296919535,0.9577827627776732
0.025694444444444447,9.25,0.012847222222222223,0.00019384502100705002,0.0009570396650927917,0.22307556097276252,0.9566100617437197
0.02638888888888889,9.5,0.013194444444444444,0.0001947525936040762,0.0009558785749601645,0.22416680897632973,0.9554373607097661
0.027083333333333334,9.75,0.013541666666666667,0.00019566016620110237,0.0009547174848275372,0.2252580569798969,0.9542646596758125
0.02777777777777778,10.0,0.01388888888888889,0.00019656773879812855,0.0009535563946949099,0.2263493049834641,0.953091958641859
0.02847222222222222,10.25,0.01423611111111111,0.00019747531139515471,0.0009523953045622827,0.22744055298703128,0.9519192576079055
0.029166666666666667,10.5,0.014583333333333334,0.00019838288399218087,0.0009512342144296555,0.22853180099059844,0.950746556573952
0.029861111111111113,10.75,0.014930555555555556,0.00019929045658920703,0.0009500731242970282,0.2296230489941656,0.9495738555399985
0.030555555555555558,11.0,0.015277777777777779,0.00020019802918623322,0.000948912034164401,0.2307142969977328,0.948401154506045
0.03125,11.25,0.015625,0.00020110560178325938,0.0009477509440317737,0.23180554500129996,0.9472284534720914
0.03194444444444445,11.500000000000002,0.015972222222222224,0.00020201317438028554,0.0009465898538991464,0.23289679300486715,0.9460557524381379
0.03263888888888889,11.75,0.016319444444444445,0.00020292074697731173,0.0009454287637665192,0.23398804100843434,0.9448830514041844
0.03333333333333333,12.0,0.016666666666666666,0.00020382831957433789,0.000944267673633892,0.2350792890120015,0.9437103503702309
0.03402777777777778,12.250000000000002,0.01701388888888889,0.00020473589217136407,0.0009431065835012648,0.2361705370155687,0.9425376493362774
0.034722222222222224,12.5,0.017361111111111112,0.00020564346476839023,0.0009419454933686375,0.2372617850191359,0.9413649483023239
0.035416666666666666,12.75,0.017708333333333333,0.0002065510373654164,0.0009407844032360102,0.23835303302270305,0.9401922472683703
