motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
4.909722222222222543e-01,1.767500000000000000e+02,9.863013485075593501e-01,1.193294956459825251e-01,-1.274493994476384229e+00,-1.466276925829884448e+00
4.913194444444444753e-01,1.768750000000000000e+02,9.858551413921669004e-01,1.188208738519613145e-01,-1.295661678469939959e+00,-1.463387678007503245e+00
4.916666666666666963e-01,1.770000000000000000e+02,9.854015816306127551e-01,1.183132520731372817e-01,-1.316845108311515578e+00,-1.460516831407284055e+00
4.920138888888889173e-01,1.771250000000000000e+02,9.849406638892421739e-01,1.178066239275722127e-01,-1.338043513404936879e+00,-1.457664342969826166e+00
4.923611111111111382e-01,1.772500000000000000e+02,9.844723831027499816e-01,1.173009830488817851e-01,-1.359256118653646928e+00,-1.454830166164958083e+00
4.927083333333333592e-01,1.773750000000000000e+02,9.839967344757400980e-01,1.167963230874396602e-01,-1.380482144489715957e+00,-1.452014251000282030e+00
4.930555555555555802e-01,1.775000000000000000e+02,9.835137134842704132e-01,1.162926377115773707e-01,-1.401720806903827166e+00,-1.449216544030067721e+00
4.934027777777778012e-01,1.776250000000000000e+02,9.830233158773917790e-01,1.157899206087823901e-01,-1.422971317476120934e+00,-1.446436988364500520e+00
4.937500000000000222e-01,1.777500000000000000e+02,9.825255376786730110e-01,1.152881654868919969e-01,-1.444232883407993162e+00,-1.443675523679261996e+00
4.940972222222222432e-01,1.778750000000000000e+02,9.820203751877153442e-01,1.147873660752844610e-01,-1.465504707554812880e+00,-1.440932086225468645e+00
4.944444444444444642e-01,1.780000000000000000e+02,9.815078249816560074e-01,1.142875161260661493e-01,-1.486785988459575991e+00,-1.438206608839942335e+00
4.947916666666666852e-01,1.781250000000000000e+02,9.809878839166593645e-01,1.137886094152551070e-01,-1.508075920387478286e+00,-1.435499020955826932e+00
4.951388888888889062e-01,1.782500000000000000e+02,9.804605491293975073e-01,1.132906397439610580e-01,-1.529373693361443465e+00,-1.432809248613531317e+00
4.954861111111111271e-01,1.783750000000000000e+02,9.799258180385148620e-01,1.127936009395612699e-01,-1.550678493198596186e+00,-1.430137214472017471e+00
4.958333333333333481e-01,1.785000000000000000e+02,9.793836883460826925e-01,1.122974868568737961e-01,-1.571989501547663259e+00,-1.427482837820419181e+00
4.961805555555555691e-01,1.786250000000000000e+02,9.788341580390410579e-01,1.118022913793235013e-01,-1.593305895927336513e+00,-1.424846034589978494e+00
4.965277777777777901e-01,1.787500000000000000e+02,9.782772253906245608e-01,1.113080084201078651e-01,-1.614626849765594452e+00,-1.422226717366328774e+00
4.968750000000000111e-01,1.788750000000000000e+02,9.777128889617768825e-01,1.108146319233549448e-01,-1.635951532439970268e+00,-1.419624795402081308e+00
4.972222222222222321e-01,1.790000000000000000e+02,9.771411476025486653e-01,1.103221558652797279e-01,-1.657279109318776200e+00,-1.417040174629755400e+00
4.975694444444444531e-01,1.791250000000000000e+02,9.765620004534839582e-01,1.098305742553335046e-01,-1.678608741803290227e+00,-1.414472757675008685e+00
4.979166666666666741e-01,1.792500000000000000e+02,9.759754469469892335e-01,1.093398811373503671e-01,-1.699939587370915106e+00,-1.411922443870201604e+00
4.982638888888888951e-01,1.793750000000000000e+02,9.753814868086883028e-01,1.088500705906884497e-01,-1.721270799619299519e+00,-1.409389129268266982e+00
4.986111111111111160e-01,1.795000000000000000e+02,9.747801200587616899e-01,1.083611367313655621e-01,-1.742601528311396919e+00,-1.406872706656896010e+00
4.989583333333333370e-01,1.796250000000000000e+02,9.741713470132705721e-01,1.078730737131910616e-01,-1.763930919421547783e+00,-1.404373065573033319e+00
4.993055555555555580e-01,1.797500000000000000e+02,9.735551682854629574e-01,1.073858757288918137e-01,-1.785258115182477345e+00,-1.401890092317684022e+00
4.996527777777777790e-01,1.798750000000000000e+02,9.729315847870658729e-01,1.068995370112325455e-01,-1.806582254133303422e+00,-1.399423669971016082e+00
5.000000000000000000e-01,1.800000000000000000e+02,9.723005977295595681e-01,1.064140518341330083e-01,-1.827902471168472154e+00,-1.396973678407781971e+00
5.003472222222222765e-01,1.801250000000000284e+02,9.716622086254323998e-01,1.059294145137764098e-01,-1.849217897587728920e+00,-1.394539994313024556e+00
5.006944444444444420e-01,1.802500000000000000e+02,9.710164192894227275e-01,1.054456194097158905e-01,-1.870527661146980991e+00,-1.392122491198091394e+00
5.010416666666667185e-01,1.803750000000000284e+02,9.703632318397378276e-01,1.049626609259723120e-01,-1.891830886110221321e+00,-1.389721039416943249e+00
5.013888888888888840e-01,1.805000000000000000e+02,9.697026486992604832e-01,1.044805335121287843e-01,-1.913126693302325876e+00,-1.387335506182752365e+00
5.017361111111111605e-01,1.806250000000000284e+02,9.690346725967297070e-01,1.039992316644172549e-01,-1.934414200162932529e+00,-1.384965755584794067e+00
5.020833333333333259e-01,1.807500000000000000e+02,9.683593065679103606e-01,1.035187499268011846e-01,-1.955692520801174172e+00,-1.382611648605632348e+00
5.024305555555556024e-01,1.808750000000000284e+02,9.676765539567379060e-01,1.030390828920505902e-01,-1.976960766051490292e+00,-1.380273043138575018e+00
5.027777777777777679e-01,1.810000000000000000e+02,9.669864184164471688e-01,1.025602252028119526e-01,-1.998218043530312515e+00,-1.377949794005437489e+00
5.031250000000000444e-01,1.811250000000000284e+02,9.662889039106767886e-01,1.020821715526713108e-01,-2.019463457693810415e+00,-1.375641752974561038e+00
5.034722222222222099e-01,1.812500000000000000e+02,9.655840147145600127e-01,1.016049166872119852e-01,-2.040696109896500854e+00,-1.373348768779134144e+00
