motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
4.527777777777777790e-01,1.630000000000000000e+02,9.997075342604360149e-01,1.439923820036489721e-01,9.972763559122519439e-01,4.023040273834077585e-02,2.652881508231322294e-01,-1.974284466248542813e+00,-2.790962544605008477e-01,-9.936558640962870337e-01
4.531250000000000000e-01,1.631250000000000000e+02,9.997925109068962479e-01,1.433071821185655792e-01,9.971784791939858339e-01,3.988632006455061774e-02,2.241147179380665044e-01,-1.972461661081603701e+00,-2.846788360235462667e-01,-9.882626056138125170e-01
4.534722222222222210e-01,1.632500000000000000e+02,9.998631259986908715e-01,1.426226205798070690e-01,9.970786586668711760e-01,3.954410768598770609e-02,1.825655959473889423e-01,-1.970607591417364635e+00,-2.902926015755042943e-01,-9.828829657665162367e-01
4.538194444444444420e-01,1.633750000000000000e+02,9.999192490882133910e-01,1.419387082431016189e-01,9.969768834945800240e-01,3.920376087171162371e-02,1.406407848510997372e-01,-1.968722257255825392e+00,-2.959376005765582129e-01,-9.775169574369654280e-01
4.541666666666666630e-01,1.635000000000000000e+02,9.999607497278575341e-01,1.412554559641779062e-01,9.968731428234172132e-01,3.886527488637603334e-02,9.834028464922452140e-02,-1.966805658596986639e+00,-3.016138835947776986e-01,-9.721645931181397415e-01
4.545138888888888840e-01,1.636250000000000000e+02,9.999874974700176944e-01,1.405728745987633588e-01,9.967674257819462147e-01,3.852864499036434687e-02,5.566409534171216922e-02,-1.964857795440846822e+00,-3.073215022339321201e-01,-9.668258849160588086e-01
4.548611111111111049e-01,1.637500000000000000e+02,9.999993618670874884e-01,1.398909750025865428e-01,9.966597214806434124e-01,3.819386643992372932e-02,1.261221692858751665e-02,-1.962878667787406384e+00,-3.130605090652179290e-01,-9.615008445524149128e-01
4.552083333333333259e-01,1.638750000000000000e+02,9.999962124714604217e-01,1.392097680313761909e-01,9.965500190115724743e-01,3.786093448729666022e-02,-3.081535059012204328e-02,-1.960868275636667324e+00,-3.188309575626004366e-01,-9.561894833671967797e-01
4.555555555555555469e-01,1.640000000000000000e+02,9.999779188355309989e-01,1.385292645408595924e-01,9.964383074480820390e-01,3.752984438085471552e-02,-7.461860721446980649e-02,-1.958826618988626533e+00,-3.246329020415011368e-01,-9.508918123213094820e-01
4.559027777777777679e-01,1.641250000000000000e+02,9.999443505116929476e-01,1.378494753867655076e-01,9.963245758445232747e-01,3.720059136522912979e-02,-1.187975529444292300e-01,-1.956753697843285567e+00,-3.304663976005570714e-01,-9.456078419992161033e-01
