motor_time_fraction,motor_angle_deg,source_small,source_large,fit_small,fit_large,source_dsmall_dt,source_dlarge_dt,fit_dsmall_dt,fit_dlarge_dt,source_ddsmall_dt2,source_ddlarge_dt2,fit_ddsmall_dt2,fit_ddlarge_dt2
5.319444444444444420e-01,1.915000000000000000e+02,6.833307490725387678e-01,2.270480794219391363e-02,6.948143241915214485e-01,3.131519433457974344e-02,-5.551594074553902303e+00,-9.276284146975490863e-01,-4.574695530692912016e+00,-9.964658851627165026e-01,3.353864949352178826e+01,1.803618077219044125e+01,6.151732650196530017e+01,1.663016043566531721e+01
5.321180555555555802e-01,1.915625000000000000e+02,6.823674363103822138e-01,2.254403323603302450e-02,6.940210329460101413e-01,3.114244743573224561e-02,-5.545767722070153560e+00,-9.244957337587390578e-01,-4.564021782486323175e+00,-9.935782328459996648e-01,3.358093111930974572e+01,1.805230364292574308e+01,6.144250694340254171e+01,1.663557651251834812e+01
5.322916666666667185e-01,1.916250000000000284e+02,6.814051357049555335e-01,2.238380264106892489e-02,6.932295936015284710e-01,3.097020194649935387e-02,-5.539934029026372109e+00,-9.213602537104265133e-01,-4.553361934767967689e+00,-9.906896494841956891e-01,3.362321274509769609e+01,1.806842651366104846e+01,6.135718330740778725e+01,1.664088603908895436e+01
5.324652777777777457e-01,1.916875000000000000e+02,6.804438485306598672e-01,2.222411664325787267e-02,6.924400035862087188e-01,3.079845802691405510e-02,-5.534092995422548178e+00,-9.182219745526059018e-01,-4.542717816146844001e+00,-9.878001535943576883e-01,3.366549437088571750e+01,1.808454938439637871e+01,6.126129817322486559e+01,1.664608879950834819e+01
5.326388888888888840e-01,1.917500000000000000e+02,6.794835760619005738e-01,2.206497572855690981e-02,6.916522600098491402e-01,3.062721583379157675e-02,-5.528244621258699532e+00,-9.150808962852866602e-01,-4.532091265200817176e+00,-9.849097637310116893e-01,3.370777599667368918e+01,1.810067225513169475e+01,6.115479412009753446e+01,1.665118457790775963e+01
5.328125000000000222e-01,1.918125000000000000e+02,6.785243195730801258e-01,2.190638038292229070e-02,6.908663596621867908e-01,3.045647552072172637e-02,-5.522388906534819952e+00,-9.119370189084659017e-01,-4.521484130476649987e+00,-9.820184984861650701e-01,3.375005762246164664e+01,1.811679512586700014e+01,6.103761372726962264e+01,1.665617315841840096e+01
5.329861111111111605e-01,1.918750000000000284e+02,6.775660803385989972e-01,2.174833109231025588e-02,6.900822990111645794e-01,3.028623723806445067e-02,-5.516525851250898782e+00,-9.087903424221374094e-01,-4.510898270489982487e+00,-9.791263764893007870e-01,3.379233924824966806e+01,1.813291799660233039e+01,6.090969957398496604e+01,1.666105432517150220e+01
5.331597222222221877e-01,1.919375000000000000e+02,6.766088596328632132e-01,2.159082834267780568e-02,6.893000742012015403e-01,3.011650113294117581e-02,-5.510655455406954673e+00,-9.056408668263115080e-01,-4.500335553725340887e+00,-9.762334164073809273e-01,3.383462087403762553e+01,1.814904086733763577e+01,6.077099423948746448e+01,1.666582786229827562e+01
5.333333333333333259e-01,1.920000000000000000e+02,6.756526587302733589e-01,2.143387261998123960e-02,6.885196810514602195e-01,2.994726734922981137e-02,-5.504777719002974301e+00,-9.024885921209815365e-01,-4.489797858636110917e+00,-9.733396369448401586e-01,3.387690249982559720e+01,1.816516373807294826e+01,6.062144030302076203e+01,1.667049355392994059e+01
5.335069444444444642e-01,1.920625000000000000e+02,6.746974789052322397e-01,2.127746441017680165e-02,6.877411150541189455e-01,2.977853602755742290e-02,-5.498892642038956780e+00,-8.993335183061462734e-01,-4.479287073644584893e+00,-9.704450568435945002e-01,3.391918412561361151e+01,1.818128660880827496e+01,6.046098034382873720e+01,1.667505118419772003e+01
