case,policy,attempt,normalized_residual,retained,anderson_trial
production_cold,anderson_m2_b1.0,4,4824.15077861696,True,True
production_cold,anderson_m2_b1.0,5,4514.552810904821,True,False
production_cold,anderson_m2_b1.0,6,4203.095609183896,True,False
production_cold,anderson_m2_b1.0,7,3913.114014378239,True,False
production_cold,anderson_m2_b1.0,8,3643.859582160307,True,False
production_cold,anderson_m2_b1.0,9,3394.3890818944287,True,False
production_cold,anderson_m2_b1.0,10,3161.168829225249,True,False
production_cold,anderson_m2_b1.0,11,2944.1617088786425,True,False
production_cold,anderson_m2_b1.0,12,2742.2780709363624,True,False
production_cold,anderson_m2_b1.0,13,2554.4354907524207,True,False
production_cold,anderson_m2_b1.0,14,2379.655420113366,True,False
production_cold,anderson_m2_b1.0,15,2216.951412719726,True,False
production_cold,anderson_m2_b1.0,16,2065.532513636797,True,False
production_cold,anderson_m2_b1.0,17,1924.0544968813688,True,False
production_cold,anderson_m2_b1.0,18,1792.821928753389,True,False
production_cold,anderson_m2_b1.0,19,1670.8914006369641,True,False
production_cold,anderson_m2_b1.0,20,1557.3290138225568,True,False
production_cold,anderson_m2_b1.0,21,1451.5531084469733,True,False
production_cold,anderson_m2_b1.0,22,1353.0315505268613,True,False
production_cold,anderson_m2_b1.0,23,1261.2475649643354,True,False
production_cold,anderson_m2_b1.0,24,1175.7468037367332,True,False
production_cold,anderson_m2_b1.0,25,1096.0775005831513,True,False
production_cold,anderson_m2_b1.0,26,1021.8493811348968,True,False
production_cold,anderson_m2_b1.0,27,952.6730914691188,True,False
production_cold,anderson_m2_b1.0,28,888.2009956231024,True,False
production_cold,anderson_m2_b1.0,29,828.1027600724524,True,False
production_cold,anderson_m2_b1.0,30,772.108650379574,True,False
production_cold,anderson_m2_b1.0,31,719.9631933450784,True,False
production_cold,anderson_m2_b1.0,32,671.3517592196504,True,False
production_cold,anderson_m2_b1.0,33,626.0376284675036,True,False
production_cold,anderson_m2_b1.0,34,583.8101921482742,True,False
production_cold,anderson_m2_b1.0,35,544.4264568629916,True,False
production_cold,anderson_m2_b1.0,36,507.7191130465197,True,False
production_cold,anderson_m2_b1.0,37,473.4831369795849,True,False
production_cold,anderson_m2_b1.0,38,441.57612660648385,True,False
production_cold,anderson_m2_b1.0,39,411.8190472175685,True,False
production_cold,anderson_m2_b1.0,40,384.07891723648163,True,False
production_cold,anderson_m2_b1.0,41,358.218819491313,True,False
production_cold,anderson_m2_b1.0,42,334.0855947336181,True,False
production_cold,anderson_m2_b1.0,43,311.595096468671,True,False
production_cold,anderson_m2_b1.0,44,290.61863146711187,True,False
production_cold,anderson_m2_b1.0,45,271.0661685015341,True,False
production_cold,anderson_m2_b1.0,46,252.81541484037425,True,False
production_cold,anderson_m2_b1.0,47,235.81985448796877,True,False
production_cold,anderson_m2_b1.0,48,219.94954445207463,True,False
production_cold,anderson_m2_b1.0,49,205.14380398155757,True,False
production_cold,anderson_m2_b1.0,50,191.36508671385423,True,False
production_cold,anderson_m2_b1.0,51,178.4880446253501,True,False
production_cold,anderson_m2_b1.0,52,166.49577601875788,True,False
production_cold,anderson_m2_b1.0,53,155.2964786649202,True,False
production_cold,anderson_m2_b1.0,54,144.86271418151588,True,False
production_cold,anderson_m2_b1.0,55,135.11068063423807,True,False
production_cold,anderson_m2_b1.0,56,126.05705208342656,True,False
production_cold,anderson_m2_b1.0,57,117.57846701034254,True,False
production_cold,anderson_m2_b1.0,58,109.65886474774163,True,False
production_cold,anderson_m2_b1.0,59,102.32812625540836,True,False
production_cold,anderson_m2_b1.0,60,95.44357123729259,True,False
production_cold,anderson_m2_b1.0,61,89.02113286027036,True,False
production_cold,anderson_m2_b1.0,62,83.06069826844056,True,False
production_cold,anderson_m2_b1.0,63,77.4764178209086,True,False
production_cold,anderson_m2_b1.0,64,72.27723803769827,True,False
production_cold,anderson_m2_b1.0,65,67.42577005053585,True,False
production_cold,anderson_m2_b1.0,66,62.8878544002332,True,False
production_cold,anderson_m2_b1.0,67,58.6801195871583,True,False
production_cold,anderson_m2_b1.0,68,54.737910167350265,True,False
production_cold,anderson_m2_b1.0,69,51.07440274841409,True,False
production_cold,anderson_m2_b1.0,70,47.62857425050627,True,False
production_cold,anderson_m2_b1.0,71,44.450827551809866,True,False
production_cold,anderson_m2_b1.0,72,41.46528127006802,True,False
production_cold,anderson_m2_b1.0,73,38.67397955570626,True,False
production_cold,anderson_m2_b1.0,74,36.08509623933877,True,False
production_cold,anderson_m2_b1.0,75,33.67171867547305,True,False
production_cold,anderson_m2_b1.0,76,31.410319278294423,True,False
production_cold,anderson_m2_b1.0,77,29.29427264289358,True,False
production_cold,anderson_m2_b1.0,78,27.343158628611075,True,False
production_cold,anderson_m2_b1.0,79,25.49886590906599,True,False
production_cold,anderson_m2_b1.0,80,23.79330890864384,True,False
production_cold,anderson_m2_b1.0,81,22.20169580078946,True,False
production_cold,anderson_m2_b1.0,82,20.709747036284394,True,False
production_cold,anderson_m2_b1.0,83,19.322190931488805,True,False
production_cold,anderson_m2_b1.0,84,18.027783838977438,True,False
production_cold,anderson_m2_b1.0,85,16.819035723157644,True,False
production_cold,anderson_m2_b1.0,86,15.692031154591122,True,False
production_cold,anderson_m2_b1.0,87,14.641110987797763,True,False
production_cold,anderson_m2_b1.0,88,13.660583041103356,True,False
production_cold,anderson_m2_b1.0,89,12.73489418616624,True,False
production_cold,anderson_m2_b1.0,90,11.90360402853811,True,False
production_cold,anderson_m2_b1.0,91,11.10307236711853,True,False
production_cold,anderson_m2_b1.0,92,10.333452350901855,True,False
production_cold,anderson_m2_b1.0,93,9.66117375408375,True,False
production_cold,anderson_m2_b1.0,94,9.00989652786952,True,False
production_cold,anderson_m2_b1.0,95,8.417432717412439,True,False
production_cold,anderson_m2_b1.0,96,7.844857079637501,True,False
production_cold,anderson_m2_b1.0,97,7.32390810892857,True,False
production_cold,anderson_m2_b1.0,98,6.8264160362462345,True,False
production_cold,anderson_m2_b1.0,99,6.376165217491088,True,False
production_cold,anderson_m2_b1.0,100,5.948810760204233,True,False
production_cold,anderson_m3_b0.5,1,344151.7247386312,True,False
production_cold,anderson_m3_b0.5,2,4686.999333005334,True,False
production_cold,anderson_m3_b0.5,3,4146.219410484149,True,True
production_cold,anderson_m3_b0.5,4,3957.908321753391,True,True
production_cold,anderson_m3_b0.5,5,3747.790248325072,True,True
production_cold,anderson_m3_b0.5,6,4392.517244906744,True,False
production_cold,anderson_m3_b0.5,7,4105.954525120712,True,False
production_cold,anderson_m3_b0.5,8,3823.143125634527,True,False
production_cold,anderson_m3_b0.5,9,3560.7576703911745,True,False
production_cold,anderson_m3_b0.5,10,3316.6079527704564,True,False
production_cold,anderson_m3_b0.5,11,3088.772173923188,True,False
production_cold,anderson_m3_b0.5,12,2876.817671668841,True,False
production_cold,anderson_m3_b0.5,13,2679.636574828869,True,False
production_cold,anderson_m3_b0.5,14,2496.130963050786,True,False
production_cold,anderson_m3_b0.5,15,2325.376110372639,True,False
production_cold,anderson_m3_b0.5,16,2166.4710823093587,True,False
production_cold,anderson_m3_b0.5,17,2018.4644062400653,True,False
production_cold,anderson_m3_b0.5,18,1880.1207717091777,True,False
production_cold,anderson_m3_b0.5,19,1752.166206314168,True,False
production_cold,anderson_m3_b0.5,20,1633.0219034804197,True,False
production_cold,anderson_m3_b0.5,21,1522.061795215444,True,False
production_cold,anderson_m3_b0.5,22,1418.7059965193187,True,False
production_cold,anderson_m3_b0.5,23,1322.4341368944768,True,False
production_cold,anderson_m3_b0.5,24,1232.7388853486234,True,False
production_cold,anderson_m3_b0.5,25,1149.1635169369156,True,False
production_cold,anderson_m3_b0.5,26,1071.3528726763,True,False
production_cold,anderson_m3_b0.5,27,998.7699111149268,True,False
production_cold,anderson_m3_b0.5,28,931.1982833755261,True,False
production_cold,anderson_m3_b0.5,29,868.1744321755876,True,False
production_cold,anderson_m3_b0.5,30,809.4250305469784,True,False
production_cold,anderson_m3_b0.5,31,754.7202345458737,True,False
production_cold,anderson_m3_b0.5,32,703.7565573502102,True,False
production_cold,anderson_m3_b0.5,33,656.2438177329681,True,False
production_cold,anderson_m3_b0.5,34,611.9703651478108,True,False
production_cold,anderson_m3_b0.5,35,570.6770346100435,True,False
production_cold,anderson_m3_b0.5,36,532.1848415320404,True,False
production_cold,anderson_m3_b0.5,37,496.30946585764735,True,False
production_cold,anderson_m3_b0.5,38,462.8539233459648,True,False
