theta_deg,theta_rad,normalized_t_deg,small_fraction_0_1,large_fraction_0_1,small_dq_dtheta_per_rad,large_dq_dtheta_per_rad,small_d2q_dtheta2_per_rad2,large_d2q_dtheta2_per_rad2
94.0,1.6406094968746698,266.0,0.17357834810225248,0.16957800281895213,0.25668965455753856,-0.26309172157246746,-0.04307160123418464,0.02436149055076616
94.25,1.6449728200046556,265.75,0.1746979537544927,0.16843028760511045,0.2564988058073517,-0.2629805580310487,-0.044403211732780314,0.026593389373719575
94.5,1.6493361431346414,265.5,0.17581671406845467,0.16728307870376302,0.25630219663072673,-0.26285963957018654,-0.04571199917712232,0.02883278273410947
94.75,1.6536994662646272,265.25,0.17693460412655082,0.1661364187494791,0.2560999264424031,-0.26272893392763946,-0.04699804131573956,0.031079469479210333
95.0,1.6580627893946132,265.0,0.1780515994442302,0.16499035051568534,0.2558920943178783,-0.2625884097188606,-0.048261415897159154,0.033333248456293464
95.25,1.662426112524599,264.75,0.1791676759685008,0.1638449169108328,0.25567879899340795,-0.26243803643699715,-0.04950220066990999,0.035593918512633216
95.5,1.6667894356545847,264.5,0.1802828100764471,0.16270016097457063,0.2554601388660061,-0.2622777844528909,-0.050720473382519324,0.03786127849550103
95.75,1.6711527587845705,264.25,0.1813969785737538,0.16155612587391316,0.25523621199344404,-0.26210762501507767,-0.05191631178351593,0.04013512725217134
96.0,1.6755160819145565,264.0,0.18251015869322096,0.16041285489941337,0.25500711609425186,-0.26192753024978804,-0.053089793621427066,0.04241526362991542
96.25,1.6798794050445423,263.75,0.18362232809328816,0.1592703914613301,0.2547729485477172,-0.2617374731609466,-0.05424099664478153,0.04470148647600762
96.5,1.684242728174528,263.5,0.1847334648565503,0.15812877908580145,0.25453380639388623,-0.2615374276301725,-0.05536999860210667,0.046993594637719495
96.75,1.6886060513045138,263.25,0.18584354748828047,0.15698806141101224,0.25428978633356253,-0.26132736841677895,-0.056476877241931026,0.049291386962325254
97.0,1.6929693744344996,263.0,0.18695255491494833,0.15584828218336697,0.2540409847283084,-0.2611072711577738,-0.05756171031278214,0.0515946622970965
97.25,1.6973326975644856,262.75,0.18806046648273989,0.15470948525365788,0.25378749760044356,-0.2608771123678592,-0.05862457556318862,0.053903219489307305
97.5,1.7016960206944713,262.5,0.18916726195607647,0.15357171457323715,0.25352942063304645,-0.26063686943943154,-0.05966555074167795,0.05621685738622961
97.75,1.7060593438244571,262.25,0.19027292151613706,0.15243501419018585,0.25326684916995296,-0.2603865206425816,-0.060684713596778496,0.058535374835136836
98.0,1.710422666954443,262.0,0.19137742575937589,0.15129942824548545,0.2529998782157575,-0.2601260451250946,-0.06168214187701792,0.06085857068330115
98.25,1.714785990084429,261.75,0.19248075569604317,0.15016500096918622,0.25272860243581197,-0.2598554229124499,-0.06265791333092487,0.06318624377799678
98.5,1.7191493132144147,261.5,0.19358289274870366,0.1490317766765806,0.25245311615622684,-0.25957463490782134,-0.06361210570702681,0.06551819296649541
98.75,1.7235126363444004,261.25,0.19468381875075735,0.1478997997643707,0.25217351336387056,-0.25928366289207716,-0.06454479675385195,0.06785421709607027
99.0,1.7278759594743862,261.0,0.19578351594496024,0.14676911470684012,0.25188988770636944,-0.25898248952377984,-0.06545606421992835,0.07019411501399435
99.25,1.732239282604372,260.75,0.1968819669819426,0.14563976605202386,0.2516023324921078,-0.25867109833918633,-0.06634598585378393,0.07253768556754057
99.5,1.736602605734358,260.5,0.19797915491872897,0.1445117984178787,0.25131094069022814,-0.25834947375224776,-0.06721463940394688,0.07488472760398159
99.75,1.7409659288643438,260.25,0.19907506321725754,0.1433852564884535,0.25101580493063114,-0.2580176010546096,-0.06806210261894506,0.07723503997059049
100.0,1.7453292519943295,260.0,0.20016967574290234,0.1422601850100598,0.2507170175039754,-0.2576754664156119,-0.06888845324730669,0.07958842151464
100.25,1.7496925751243153,259.75,0.20126297676298988,0.14113662878744185,0.2504146703616772,-0.25732305688228896,-0.06969376903755965,0.0819446710834031
100.5,1.7540558982543013,259.5,0.20235495094532074,0.14001463267994685,0.25010885511591147,-0.2569603603793692,-0.07047812773823192,0.08430358752415278
100.75,1.758419221384287,259.25,0.2034455833566884,0.1388942415976958,0.24979966303961115,-0.25658736570927576,-0.07124160709785168,0.08666496968416167
