motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,structured15_small,structured15_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,structured15_dsmall_dt,structured15_dlarge_dt,source16_aligned_ddsmall_dt2,source16_aligned_ddlarge_dt2,structured15_ddsmall_dt2,structured15_ddlarge_dt2
4.500000000000000111e-01,1.620000000000000000e+02,9.985263588335128171e-01,1.494956588646226270e-01,9.970935063417485367e-01,1.339274003091049936e-01,5.811508061015949744e-01,-1.987741385681241812e+00,-6.794331405179657724e-01,-2.139698754445542583e+00,-1.093826174035983172e+02,4.484323986872757573e+00,-8.482772818130311521e+01,1.108739641550090838e+01
4.503472222222222321e-01,1.621250000000000000e+02,9.987215318034805556e-01,1.488057430151566440e-01,9.968524675250721723e-01,1.331851193051809545e-01,5.429828860614233088e-01,-1.986168696492705221e+00,-7.089818454674162718e-01,-2.135835262356134301e+00,-1.104646020277601224e+02,4.574365739097521200e+00,-8.537035491703015566e+01,1.116629341070238368e+01
4.506944444444444531e-01,1.622500000000000000e+02,9.989033867996311988e-01,1.481163786661896797e-01,9.966011363268252321e-01,1.324441845446265864e-01,5.044392769156396117e-01,-1.984564742806868232e+00,-7.387164075177196088e-01,-2.131944401250873700e+00,-1.115465866519218991e+02,4.664407491322284827e+00,-8.589827902845250662e+01,1.124504154362474040e+01
4.510416666666666741e-01,1.623750000000000000e+02,9.990717933743588075e-01,1.474275766734499948e-01,9.963394490979091689e-01,1.317046055215502776e-01,4.655199786642441606e-01,-1.982929524623731066e+00,-7.686317361183230279e-01,-2.128026223238034920e+00,-1.126285712760837185e+02,4.754449243547048454e+00,-8.641158419299559057e+01,1.132363839517783433e+01
4.513888888888888951e-01,1.625000000000000000e+02,9.992266210800569981e-01,1.467393478926661554e-01,9.960673439517331307e-01,1.309663917118210064e-01,4.262249913072611585e-01,-1.981263041943294612e+00,-7.987227697733353393e-01,-2.124080781265850426e+00,-1.137105559002448416e+02,4.844490995771757014e+00,-8.691035408808488683e+01,1.140208154627157100e+01
4.517361111111111160e-01,1.626250000000000000e+02,9.993677394691200533e-01,1.460517031795656451e-01,9.957847607541262525e-01,1.302295525727775738e-01,3.865543148446423660e-01,-1.979565294765556871e+00,-8.289844760415266967e-01,-2.120108129122515894e+00,-1.147925405244066468e+02,4.934532747996521529e+00,-8.739467239114583208e+01,1.148036857781582931e+01
4.520833333333333370e-01,1.627500000000000000e+02,9.994950180939417006e-01,1.453646533898769189e-01,9.954916411132485043e-01,1.294940975429361707e-01,3.465079492764035485e-01,-1.977836283090518510e+00,-8.594118515363292632e-01,-2.116108321436190209e+00,-1.158745251485686651e+02,5.024574500221302920e+00,-8.786462277960384881e+01,1.155849707072047217e+01
4.524305555555555580e-01,1.628750000000000000e+02,9.996083265069155566e-01,1.446782093793290702e-01,9.951879283695029832e-01,1.287600360416994993e-01,3.060858946025943328e-01,-1.976076006918181527e+00,-8.899999219258373229e-01,-2.112081413674994135e+00,-1.169565097727295750e+02,5.114616252445993716e+00,-8.832028893088444477e+01,1.163646460589537313e+01
4.527777777777777790e-01,1.630000000000000000e+02,9.997075342604360149e-01,1.439923820036489721e-01,9.948735675854470939e-01,1.280273774690641186e-01,2.652881508231322294e-01,-1.974284466248542813e+00,-9.207437419328053929e-01,-2.108027462147006759e+00,-1.180384943968916076e+02,5.204658004670775107e+00,-8.876175452241297137e+01,1.171426876425044128e+01
4.531250000000000000e-01,1.631250000000000000e+02,9.997925109068962479e-01,1.433071821185655792e-01,9.945485055357040638e-01,1.272961312053295657e-01,2.241147179380665044e-01,-1.972461661081603701e+00,-9.516383953346508884e-01,-2.103946524000272156e+00,-1.191204790210533844e+02,5.294699756895539622e+00,-8.918910323161497899e+01,1.179190712669553776e+01
4.534722222222222210e-01,1.632500000000000000e+02,9.998631259986908715e-01,1.426226205798070690e-01,9.942126906968746791e-01,1.265663066108068113e-01,1.825655959473889423e-01,-1.970607591417364635e+00,-9.826789949634521237e-01,-2.099838657222796723e+00,-1.202024636452151753e+02,5.384741509120303249e+00,-8.960241873591586170e+01,1.186937727414052901e+01
4.538194444444444420e-01,1.633750000000000000e+02,9.999192490882133910e-01,1.419387082431016189e-01,9.938660732374486884e-01,1.258379130255257161e-01,1.406407848510997372e-01,-1.968722257255825392e+00,-1.013860682705949090e+00,-2.095703920642546958e+00,-1.212844482693770090e+02,5.474783261345066876e+00,-9.000178471274107039e+01,1.194667678749532591e+01
4.541666666666666630e-01,1.635000000000000000e+02,9.999607497278575341e-01,1.412554559641779062e-01,9.935086050077169828e-01,1.251109597689441522e-01,9.834028464922452140e-02,-1.966805658596986639e+00,-1.045178629503544121e+00,-2.091542373927450349e+00,-1.223664328935381178e+02,5.564825013569776324e+00,-9.038728483951607018e+01,1.202380324766978248e+01
4.545138888888888840e-01,1.636250000000000000e+02,9.999874974700176944e-01,1.405728745987633588e-01,9.931402395296821117e-01,1.243854561396564584e-01,5.566409534171216922e-02,-1.964857795440846822e+00,-1.076628035352300117e+00,-2.087354077585400702e+00,-1.234484175176999088e+02,5.654866765794539951e+00,-9.075900279366631196e+01,1.210075423557377050e+01
4.548611111111111049e-01,1.637500000000000000e+02,9.999993618670874884e-01,1.398909750025865428e-01,9.927609319869707960e-01,1.236614114151010080e-01,1.261221692858751665e-02,-1.962878667787406384e+00,-1.108204129302942098e+00,-2.083139092964246597e+00,-1.245304021418617140e+02,5.744908518019304466e+00,-9.111702225261721821e+01,1.217752733211720084e+01
4.552083333333333259e-01,1.638750000000000000e+02,9.999962124714604217e-01,1.392097680313761909e-01,9.923706392147449984e-01,1.229388348512692186e-01,-3.081535059012204328e-02,-1.960868275636667324e+00,-1.139902169460856429e+00,-2.078897482251805595e+00,-1.256123867660228655e+02,5.834950270244011250e+00,-9.146142689379422563e+01,1.225412011820993285e+01
4.555555555555555469e-01,1.640000000000000000e+02,9.999779188355309989e-01,1.385292645408595924e-01,9.919693196896137710e-01,1.222177356824135641e-01,-7.461860721446980649e-02,-1.958826618988626533e+00,-1.171717442986091484e+00,-2.074629308475853584e+00,-1.266943713901846564e+02,5.924992022468775765e+00,-9.179230039462284196e+01,1.233053017476182767e+01
4.559027777777777679e-01,1.641250000000000000e+02,9.999443505116929476e-01,1.378494753867655076e-01,9.915569335195447698e-01,1.214981231207562518e-01,-1.187975529444292300e-01,-1.956753697843285567e+00,-1.203645266093357646e+00,-2.070334635504127885e+00,-1.277763560143464474e+02,6.015033774693539392e+00,-9.210972643252848968e+01,1.240675508268280502e+01
4.562500000000000444e-01,1.642500000000000284e+02,9.998953770523397733e-01,1.371704114248221140e-01,9.911334424337754356e-01,1.207800063561971227e-01,-1.633521877800007960e-01,-1.954649512200644201e+00,-1.235680984052031306e+00,-2.066013528044327252e+00,-1.288583406385082526e+02,6.105075526918303019e+00,-9.241378868493664811e+01,1.248279242288273672e+01
4.565972222222222654e-01,1.643750000000000284e+02,9.998308680098657586e-01,1.364920835107576169e-01,9.906988097727253972e-01,1.200633945560226623e-01,-2.082825117211837551e-01,-1.952514062060702660e+00,-1.267819971186134431e+00,-2.061666051644117204e+00,-1.299403252626700294e+02,6.195117279143066646e+00,-9.270457082927269710e+01,1.255863977627145900e+01
4.569444444444444864e-01,1.645000000000000284e+02,9.997506929366646311e-01,1.358145025003006934e-01,9.902530004779070971e-01,1.193482968646134568e-01,-2.535885247679509624e-01,-1.950347347423462274e+00,-1.300057630874367876e+00,-2.057292272691118473e+00,-1.310223098868311808e+02,6.285159031367776095e+00,-9.298215654296211596e+01,1.263429472375889162e+01
4.572916666666667074e-01,1.646250000000000284e+02,9.996547213851304514e-01,1.351376792491787160e-01,9.897959810818381943e-01,1.186347224031530923e-01,-2.992702269203575405e-01,-1.948149368288920158e+00,-1.332389395550086952e+00,-2.052892258412917670e+00,-1.321042945109929860e+02,6.375200783592540610e+00,-9.324662950343028456e+01,1.270975484625490282e+01
4.576388888888889284e-01,1.647500000000000000e+02,9.995428229076569471e-01,1.344616246131203618e-01,9.893277196979525234e-01,1.179226802693364995e-01,-3.453276181783757059e-01,-1.945920124657077865e+00,-1.364810726701310317e+00,-2.048466076877061504e+00,-1.331862791351547912e+02,6.465242535817304237e+00,-9.349807338810278168e+01,1.278501772466936615e+01
4.579861111111111494e-01,1.648750000000000000e+02,9.994148670566379566e-01,1.337863494478538640e-01,9.888481860105120536e-01,1.172121795370785202e-01,-3.917606985420057919e-01,-1.943659616527935841e+00,-1.397317114870717081e+00,-2.044013796991061227e+00,-1.342682637593165680e+02,6.555284288042067864e+00,-9.373657187440495875e+01,1.286008093991215517e+01
4.583333333333333703e-01,1.650000000000000000e+02,9.992707233844674297e-01,1.331118646091074276e-01,9.883573512645184023e-01,1.165032292562212524e-01,-4.385694680112476873e-01,-1.941367843901492973e+00,-1.429904079655648586e+00,-2.039535488502385085e+00,-1.353502483834783732e+02,6.645326040266831491e+00,-9.396220863976235194e+01,1.293494207289317188e+01
4.586805555555555913e-01,1.651250000000000000e+02,9.991102614435392049e-01,1.324381809526097020e-01,9.878551882556240171e-01,1.157958384522439488e-01,-4.857539265860724709e-01,-1.939044806777750818e+00,-1.462567169708107517e+00,-2.035031221998466755e+00,-1.364322330076394962e+02,6.735367792491540051e+00,-9.417506736160031267e+01,1.300959870452228984e+01
