motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
2.347222222222222210e-01,8.450000000000000000e+01,6.110611755546946355e-01,5.489196114781673685e-01,7.872797771590129834e-01,6.664955031833996735e-01,1.103416400403500530e+00,-1.548992540366098458e+00,2.479581604733260392e+00,-3.337028080560818566e+00
2.350694444444444420e-01,8.462500000000000000e+01,6.114431603264591786e-01,5.483821992305353277e-01,7.881398030741380012e-01,6.653360538076765751e-01,1.096842080478640291e+00,-1.546501852581511072e+00,2.474166460669668055e+00,-3.341395982105759277e+00
2.354166666666666630e-01,8.475000000000000000e+01,6.118228896352486679e-01,5.478456519648563505e-01,7.889979474808684889e-01,6.641750923293536779e-01,1.090424933669146945e+00,-1.544010244318443137e+00,2.468744133414431996e+00,-3.345737769992751964e+00
2.357638888888889117e-01,8.487500000000001421e+01,6.122004180550620900e-01,5.473099699840827670e-01,7.898542079027723872e-01,6.630126278380816807e-01,1.084164959975015385e+00,-1.541518463108360271e+00,2.463314725069360556e+00,-3.350053315241282359e+00
2.361111111111111327e-01,8.500000000000001421e+01,6.125758001598976543e-01,5.467751496992482307e-01,7.907085818988387471e-01,6.618486694681986471e-01,1.078062159396248054e+00,-1.539052946514254616e+00,2.457878337563829785e+00,-3.354342489440387265e+00
2.364583333333333537e-01,8.512500000000001421e+01,6.129490905237535703e-01,5.462411786538813319e-01,7.915610670634184443e-01,6.606832263985285003e-01,1.072116531932844508e+00,-1.536626843773989615e+00,2.452435072651670378e+00,-3.358605164756324424e+00
2.368055555555555747e-01,8.525000000000000000e+01,6.133203437206280473e-01,5.457080431626165629e-01,7.924116610261632276e-01,6.595163078521817379e-01,1.066328077584810297e+00,-1.534240154887565710e+00,2.446985031908052832e+00,-3.362841213940207297e+00
2.371527777777777957e-01,8.537500000000000000e+01,6.136896143245200719e-01,5.451757295400874170e-01,7.932603614519621038e-01,6.583479230963488193e-01,1.060696796352135207e+00,-1.531892879854981793e+00,2.441528316726419678e+00,-3.367050510335632740e+00
2.375000000000000167e-01,8.550000000000000000e+01,6.140569569094277425e-01,5.446442241009284979e-01,7.941071660408780541e-01,6.571780814420951078e-01,1.055222688234824346e+00,-1.529585018676237862e+00,2.436065028315431036e+00,-3.371232927886284259e+00
2.378472222222222376e-01,8.562500000000000000e+01,6.144224260493493794e-01,5.441135131597736319e-01,7.949520725280835309e-01,6.560067922441492616e-01,1.049905753232877936e+00,-1.527316571351334584e+00,2.430595267695934147e+00,-3.375388341143526816e+00
2.381944444444444586e-01,8.575000000000000000e+01,6.147860763182830812e-01,5.435835830312569783e-01,7.957950786837951762e-01,6.548340649006929581e-01,1.044745991346299308e+00,-1.525087537880272626e+00,2.425119135697962669e+00,-3.379516625273964348e+00
2.385416666666666796e-01,8.587500000000000000e+01,6.151479622902279454e-01,5.430544200300125857e-01,7.966361823132054321e-01,6.536599088531440671e-01,1.039743402575081577e+00,-1.522897918263049766e+00,2.419636732957763936e+00,-3.383617656067004376e+00
2.388888888888889006e-01,8.600000000000000000e+01,6.155081385391819593e-01,5.425260104706745024e-01,7.974753812564167044e-01,6.524843335859403792e-01,1.034897986919227186e+00,-1.520747712499667781e+00,2.414148159914837333e+00,-3.387691309942375106e+00
2.392361111111111216e-01,8.612500000000000000e+01,6.158666596391436654e-01,5.419983406678767768e-01,7.983126733883713078e-01,6.513073486263186718e-01,1.030209744378737247e+00,-1.518636920590126227e+00,2.408653516809007300e+00,-3.391737463957636756e+00
2.395833333333333426e-01,8.625000000000000000e+01,6.162235801641111621e-01,5.414713969362541235e-01,7.991480566187819656e-01,6.501289635440923309e-01,1.025678674953613312e+00,-1.516565542534426658e+00,2.403152903677533203e+00,-3.395755995815671113e+00
2.399305555555555636e-01,8.637500000000000000e+01,6.165789546880832139e-01,5.409451655904395917e-01,7.999815288920609779e-01,6.489491879514261985e-01,1.021304778643850053e+00,-1.514533578332565522e+00,2.397646420352213426e+00,-3.399746783872132916e+00
2.402777777777777846e-01,8.650000000000000000e+01,6.169328377850581413e-01,5.404196329450676739e-01,8.008130881872482787e-01,6.477680315026079771e-01,1.017088055449452799e+00,-1.512541027984545039e+00,2.392134166456546751e+00,-3.403709707142900776e+00
2.406250000000000056e-01,8.662500000000000000e+01,6.172852840290338206e-01,5.398947853147726406e-01,8.016427325179391605e-01,6.465855038938181920e-01,1.013028505370419552e+00,-1.510587891490365209e+00,2.386616241402897742e+00,-3.407644645311483700e+00
2.409722222222222265e-01,8.675000000000000000e+01,6.176363479940089052e-01,5.393706090141886511e-01,8.024704599322094456e-01,6.454016148628971550e-01,1.009126128406753864e+00,-1.508674168850026254e+00,2.381092744389694538e+00,-3.411551478736414289e+00
2.413194444444444475e-01,8.687500000000000000e+01,6.179860842539822707e-01,5.388470903579493099e-01,8.032962685125419888e-01,6.442163741891084872e-01,1.005380924558449296e+00,-1.506799860063527285e+00,2.375563774398659955e+00,-3.415430088458609514e+00
2.416666666666666685e-01,8.700000000000000000e+01,6.183345473829520156e-01,5.383242156606889983e-01,8.041201563757492954e-01,6.430297916929020863e-01,1.001792893825508513e+00,-1.504964965130868526e+00,2.370029430192046593e+00,-3.419280356208711069e+00
2.420138888888888895e-01,8.712500000000000000e+01,6.186817919549161271e-01,5.378019712370418759e-01,8.049421216728989137e-01,6.418418772356727642e-01,9.983620362079321797e-01,-1.503169484052050198e+00,2.364489810309923445e+00,-3.423102164414390636e+00
2.423611111111111105e-01,8.725000000000000000e+01,6.190278725438733698e-01,5.372803434016422131e-01,8.057621625892340544e-01,6.406526407195167749e-01,9.950883517057225180e-01,-1.501413416827073632e+00,2.358945013067474061e+00,-3.426895396207634281e+00
2.427083333333333315e-01,8.737500000000000000e+01,6.193728437238221751e-01,5.367593184691236141e-01,8.065802773440955420e-01,6.394620920869860115e-01,9.919718403188745315e-01,-1.499696763455936388e+00,2.353395136552310252e+00,-3.430659935431993990e+00
2.430555555555555525e-01,8.750000000000000000e+01,6.197167600687609745e-01,5.362388827541202385e-01,8.073964641908435436e-01,6.382702413208406478e-01,9.890125020473902184e-01,-1.498019523938639352e+00,2.347840278621833754e+00,-3.434395666649811663e+00
2.434027777777777735e-01,8.762500000000000000e+01,6.200596761526879774e-01,5.357190225712662457e-01,8.082107214167748577e-01,6.370770984437965634e-01,9.862103368912705781e-01,-1.496381698275182526e+00,2.342280536900612109e+00,-3.438102475149408477e+00
2.437500000000000222e-01,8.775000000000001421e+01,6.204016465496016153e-01,5.351997242351960171e-01,8.090230473430436442e-01,6.358826735182738776e-01,9.835653448505162766e-01,-1.494783286465567018e+00,2.336716008777772302e+00,-3.441780246952249378e+00
2.440972222222222432e-01,8.787500000000001421e+01,6.207427258335003195e-01,5.346809740605432681e-01,8.098334403245784907e-01,6.346869766461400442e-01,9.810775259251247604e-01,-1.493224288509791498e+00,2.331146791404435259e+00,-3.445428868820070267e+00
2.444444444444444642e-01,8.800000000000000000e+01,6.210829685783825216e-01,5.341627583619421582e-01,8.106418987499991458e-01,6.334900179684510579e-01,9.787468801150976949e-01,-1.491704704407855964e+00,2.325572981691171659e+00,-3.449048228261982540e+00
2.447916666666666852e-01,8.812500000000000000e+01,6.214224293582464309e-01,5.336450634540267357e-01,8.114484210415324750e-01,6.322918076651928843e-01,9.765734074204346360e-01,-1.490224534159761083e+00,2.319994676305466630e+00,-3.452638213541529222e+00
2.451388888888889062e-01,8.825000000000000000e+01,6.217611627470907010e-01,5.331278756514313821e-01,8.122530056549285282e-01,6.310923559550153383e-01,9.745571078411356947e-01,-1.488783777765506633e+00,2.314411971669239954e+00,-3.456198713683711343e+00
2.454861111111111271e-01,8.837500000000000000e+01,6.220992233189133191e-01,5.326111812687902569e-01,8.130556510793737202e-01,6.298916730949690734e-01,9.726979813772020922e-01,-1.487382435225093724e+00,2.308824963956371157e+00,-3.459729618481992564e+00
