motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,beta_cdf_small,beta_cdf_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,beta_cdf_dsmall_dt,beta_cdf_dlarge_dt
8.586805555555555580e-01,3.091250000000000000e+02,6.368750780449966217e-03,3.466817875989574582e-01,1.199044219282090033e-02,6.819974693503992880e-01,-5.945321848496155637e-01,1.678085001287134226e+00,5.424121789543189243e-01,3.760376320685971496e+00
8.590277777777778345e-01,3.092500000000000000e+02,6.164045875886109242e-03,3.472642871339899351e-01,1.217948514081995497e-02,6.833025119654999591e-01,-5.845707480254418442e-01,1.677111699493684105e+00,5.464744122985862873e-01,3.756664533207882073e+00
8.593750000000000000e-01,3.093750000000000000e+02,5.962797009190249839e-03,3.478464480701321526e-01,1.236993776432485613e-02,6.846062609644224528e-01,-5.746254067316985958e-01,1.676134671684118560e+00,5.505319096461777084e-01,3.752925091643986466e+00
8.597222222222222765e-01,3.095000000000000000e+02,5.764998591636077280e-03,3.484282691136297294e-01,1.256179841866248738e-02,6.859087067452050990e-01,-5.646961609683693872e-01,1.675153917858436037e+00,5.545846696760849959e-01,3.749157996863561770e+00
8.600694444444444420e-01,3.096250000000000000e+02,5.570645034497954777e-03,3.490097489707266742e-01,1.275506545870413316e-02,6.872098397061865427e-01,-5.547830107354586593e-01,1.674169438016636757e+00,5.586326910869969797e-01,3.745363249743776102e+00
8.604166666666667185e-01,3.097500000000000000e+02,5.379730749050177889e-03,3.495908863476668849e-01,1.294973723887308907e-02,6.885096502460156254e-01,-5.448859560329741836e-01,1.673181232158722054e+00,5.626759725968691894e-01,3.741540851169699700e+00
8.607638888888888840e-01,3.098750000000000000e+02,5.192250146566569462e-03,3.501716800759967496e-01,1.314581211315046100e-02,6.898081287636469439e-01,-5.350049968608998618e-01,1.672194923385667886e+00,5.667145129424703276e-01,3.737690802034361326e+00
8.611111111111111605e-01,3.100000000000000000e+02,5.008197638321425053e-03,3.507521582631653589e-01,1.334328843508201731e-02,6.911052656583471787e-01,-5.251401332192433546e-01,1.671409381032623376e+00,5.707483108789688231e-01,3.733813103238789566e+00
8.614583333333333259e-01,3.101250000000000000e+02,4.827567635589042824e-03,3.513324157199967379e-01,1.354216455778431416e-02,6.924010513296973146e-01,-5.152913651080096580e-01,1.670923516644214457e+00,5.747773651795201610e-01,3.729907755692030591e+00
8.618055555555556024e-01,3.102500000000000000e+02,4.650354549643311540e-03,3.519125565013402346e-01,1.374243883395147824e-02,6.936954761775976364e-01,-5.054586925271858933e-01,1.670737330220440908e+00,5.788016746348805253e-01,3.725974760311194345e+00
8.621527777777777679e-01,3.103750000000000000e+02,4.476552791758733191e-03,3.524926846620439758e-01,1.394410961585980033e-02,6.949885306022623999e-01,-4.956421154767882697e-01,1.670850821761302729e+00,5.828212380529936842e-01,3.722014118021509166e+00
8.625000000000000444e-01,3.105000000000000000e+02,4.306156773209194807e-03,3.530729042569574205e-01,1.414717525537556760e-02,6.962802050042351532e-01,-4.858416339568051856e-01,1.671263991266800808e+00,5.868360542586544826e-01,3.718025829756330669e+00
