motor_time_fraction,motor_angle_deg,source_fourier_small,source_fourier_large,spline_small,spline_large,source_fourier_dsmall_dt,source_fourier_dlarge_dt,spline_dsmall_dt,spline_dlarge_dt
1.809027777777777735e-01,6.512500000000000000e+01,4.690208900505631884e-01,7.316241431857596345e-01,4.685567161952826076e-01,7.322677561283557068e-01,2.213754248580536377e+00,-2.438233862880625935e+00,2.287031479101664821e+00,-2.504173392632581763e+00
1.812499999999999944e-01,6.525000000000000000e+01,4.697884874866302685e-01,7.307783539145551455e-01,4.693496996254822307e-01,7.313990912534406030e-01,2.207607939479619308e+00,-2.433512418282168355e+00,2.280545450570393040e+00,-2.499329485180999288e+00
1.815972222222222154e-01,6.537500000000000000e+01,4.705539518207565441e-01,7.299342039295493301e-01,4.701404230163195863e-01,7.305321153759358754e-01,2.201467687847771248e+00,-2.428791637450137930e+00,2.274013652377063543e+00,-2.494444767552292497e+00
1.819444444444444642e-01,6.550000000000000000e+01,4.713172852668940926e-01,7.290916929349080533e-01,4.709288704755516530e-01,7.296668426660407603e-01,2.195334130481342072e+00,-2.424071895871894089e+00,2.267436084521669670e+00,-2.489519239746455614e+00
1.822916666666666852e-01,6.562500000000000000e+01,4.720784902594454269e-01,7.282508205054425421e-01,4.717150261109341325e-01,7.288032872939561591e-01,2.189207900367900361e+00,-2.419353563149474695e+00,2.260812747004214529e+00,-2.484552901763491750e+00
1.826388888888889062e-01,6.575000000000000000e+01,4.728375694519268424e-01,7.274115860886498641e-01,4.724988740302235035e-01,7.279414634298825293e-01,2.183089626597223276e+00,-2.414637003005771110e+00,2.254143639824698564e+00,-2.479545753603400904e+00
1.829861111111111271e-01,6.587500000000000000e+01,4.735945257155990129e-01,7.265739890067549611e-01,4.732803983411754678e-01,7.270813852440207725e-01,2.176979934273402417e+00,-2.409922573291988002e+00,2.247428762983123995e+00,-2.474497795266184852e+00
1.833333333333333481e-01,6.600000000000000000e+01,4.743493621380676650e-01,7.257380284587464647e-01,4.740595831515471148e-01,7.262230669065702360e-01,2.170879444428067906e+00,-2.405210625996355489e+00,2.240668116479485050e+00,-2.469409026751839598e+00
1.836805555555555691e-01,6.612500000000000000e+01,4.751020820218560536e-01,7.249037035224116243e-01,4.748364125690938131e-01,7.253665225877321543e-01,2.164788773934762656e+00,-2.400501507254106937e+00,2.233861700313788390e+00,-2.464279448060369138e+00
1.840277777777777901e-01,6.625000000000000000e+01,4.758526888829445745e-01,7.240710131563661278e-01,4.756108707015725412e-01,7.245117664577063188e-01,2.158708535424476604e+00,-2.395795557358695760e+00,2.227009514486027353e+00,-2.459109059191769475e+00
1.843750000000000111e-01,6.637500000000000000e+01,4.766011864492845640e-01,7.232399562020809247e-01,4.763829416567391117e-01,7.236588126866934090e-01,2.152639337202347125e+00,-2.391093110774275221e+00,2.220111558996205048e+00,-2.453897860146042387e+00
1.847222222222222321e-01,6.650000000000000000e+01,4.773475786592812908e-01,7.224105313859032762e-01,4.771526095423496705e-01,7.228076754448939933e-01,2.146581783165566470e+00,-2.386394496149399469e+00,2.213167833844325028e+00,-2.448645850923190981e+00
1.850694444444444531e-01,6.662500000000000000e+01,4.780918696602496909e-01,7.215827373210744744e-01,4.779198584661608074e-01,7.219583689025079742e-01,2.140536472722483374e+00,-2.381700036331964476e+00,2.206178339030380187e+00,-2.443353031523209484e+00
1.854166666666666741e-01,6.675000000000000000e+01,4.788340638068418476e-01,7.207565725097396792e-01,4.786846725359285570e-01,7.211109072297360312e-01,2.134504000712933003e+00,-2.377010048385374219e+00,2.199143074554374966e+00,-2.438019401946101006e+00
1.857638888888888951e-01,6.687500000000000000e+01,4.795741656594466051e-01,7.199320353449550902e-01,4.794470358594088433e-01,7.202653045967790657e-01,2.128484957329808580e+00,-2.372324843605919664e+00,2.192062040416311142e+00,-2.432644962191867322e+00
1.861111111111111160e-01,6.700000000000000000e+01,4.803121799825634253e-01,7.191091241126862377e-01,4.802069325443585890e-01,7.194215751738364251e-01,2.122479928041874686e+00,-2.367644727541366123e+00,2.184935236616182941e+00,-2.427229712260504879e+00
1.864583333333333370e-01,6.712500000000000000e+01,4.810481117431477105e-01,7.182878369938009433e-01,4.809643466985335514e-01,7.185797331311091218e-01,2.116489493517856424e+00,-2.362970000010749416e+00,2.177762663153993472e+00,-2.421773652152014566e+00
1.868055555555555580e-01,6.725000000000000000e+01,4.817819661089325911e-01,7.174681720660545103e-01,4.817192624296897097e-01,7.177397926387977245e-01,2.110514229551805343e+00,-2.358300955125351095e+00,2.170544320029746288e+00,-2.416276781866399492e+00
1.871527777777777790e-01,6.737500000000000000e+01,4.825137484467220128e-01,7.166501273060681410e-01,4.824716638455839868e-01,7.169017678671021354e-01,2.104554706989759882e+00,-2.353637881310875812e+00,2.163280207243434727e+00,-2.410739101403655216e+00
1.875000000000000000e-01,6.750000000000000000e+01,4.832434643206615088e-01,7.158337005912989159e-01,4.832215350539718068e-01,7.160656729862233671e-01,2.098611491657710992e+00,-2.348981061330781550e+00,2.155970324795065451e+00,-2.405160610763786178e+00
1.878472222222222210e-01,6.762500000000000000e+01,4.839711194904817160e-01,7.150188897020017809e-01,4.839688654113742383e-01,7.152315187957059006e-01,2.092685144290892030e+00,-2.344330772310798228e+00,2.148660022005402848e+00,-2.399570432406017861e+00
