index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2,total_tube_length_factor_vs_symmetric_baseline,hi_to_ho_length_ratio
9,sobol,True,1.263937745243311,0.6636887040361762,0.2049958882463284,53.77043745363939,262.3000778875498,-208.49945180560889,495450.86511600553,588.1717293987685,0.010243500085354356,532.9357239535804,0.04069598537147028,0.02207013599704247,0.06963588722271319,0.012628522964858214,22,True,True,True,True,True,0.05350669788196683,0.02809615513753146,4.222561676379289e-05,3.4166797278266645e-05,185.29474131753943,98.24734270299513,15.286001305779838,8.026618743453502,0.20568929410658052,0.10800663367595935,0.9638132246397435,1.9044135263366129
81,sobol,True,1.2144419491291045,0.6997256509959697,0.20476683668086812,54.006668785464925,263.7471460753923,-209.7106072981983,493944.9416945697,587.08774217165,0.010247740356461428,533.1563313566533,0.04074678379121602,0.02307825632223006,0.0671369464614953,0.013289254641192188,22,True,True,True,True,True,0.05141137584646543,0.029621719225496054,4.156109644173684e-05,3.465062187509469e-05,178.11692011613786,103.47337768432857,14.687401567082482,8.462447818387632,0.19763450232408294,0.11387117424357196,0.9570838000625371,1.7355972978845382
53,sobol,True,1.4119571208953858,0.6459871866926551,0.2046415455744661,54.23357743933264,265.01743469093293,-210.76441939235045,496164.4797711844,590.3262741941631,0.01022048074780769,531.7381032948073,0.04058158801157735,0.019929592651289758,0.07078555649782944,0.012290660863332609,22,True,True,True,True,True,0.059772851451238,0.0273467909033224,4.421289428837078e-05,3.392914036738768e-05,206.76033428067063,95.68028981243994,17.076140399270372,7.812537458005965,0.22977750652570653,0.1051259438471234,1.0289721537940204,2.185735491325094
89,sobol,True,1.3307898648083212,0.6867736425250769,0.20462105954159382,54.52195027418316,266.4532692594154,-211.91064246474943,494580.9177376376,588.9323949901424,0.010230968870133663,532.2837659118943,0.040650704467694046,0.021250489281569578,0.06790869662120237,0.01303902755727273,22,True,True,True,True,True,0.056336770943552265,0.029073417533561588,4.3123159494916264e-05,3.447673088806033e-05,194.98955580370617,101.59509289447297,16.094507571860355,8.305806861074954,0.21656859993837893,0.11176340470376163,1.008781753666699,1.9377416115088149
101,sobol,True,1.3952643841505052,0.6679240538924933,0.20456172618312934,54.54345815602563,266.6356956100224,-212.07401342146528,495300.8592996347,589.936310359913,0.010221918132441056,531.8128857045109,0.04059903029099092,0.02027658350005828,0.0691640097919505,0.012689878750658334,22,True,True,True,True,True,0.05906619226237139,0.028275451614782218,4.398878105717617e-05,3.422366020949511e-05,204.33957354696406,98.86154807760674,16.874259257070477,8.07784085757878,0.22706098251122628,0.10869588132721339,1.0315942190214993,2.0889566351432554
49,sobol,True,1.2381541222333907,0.7357875518873334,0.20430685671454937,54.643994326187546,267.4604034583836,-212.79318943810514,492604.3834142671,587.1720163780788,0.01024002289100711,532.7548169324123,0.04073547686989325,0.022915078573088516,0.06480646547362313,0.01394103055542367,22,True,True,True,True,True,0.05241519117454688,0.03114833969656378,4.18794511737539e-05,3.513478149824709e-05,181.55563112194787,108.70303145499653,14.974175429481235,8.898578684950346,0.20149334756065332,0.11973977573632837,0.986970837060362,1.6827603552920418
69,sobol,True,1.3577959686517715,0.7136393769085407,0.20426882993932935,55.06001262343259,269.5468155361059,-214.46988165220577,493542.3813766595,589.0860655333045,0.010223965842382278,531.9194213389014,0.04063674190126923,0.021036408584390213,0.06607842920123196,0.013523373326067008,22,True,True,True,True,True,0.05748002933959166,0.030210733622461558,4.3485737859796376e-05,3.483742468160147e-05,198.90594870882265,105.49112958825393,16.42111807160102,8.630719739428239,0.2209634892096531,0.11613545068607843,1.035717672780156,1.902635998778113
121,sobol,True,1.3182726807892324,0.7310830374062062,0.20418478814141258,55.07831326901907,269.7473879928479,-214.65129314623658,492876.3834370001,588.4072158500271,0.01022837208578397,532.148663736288,0.040670776728789076,0.021682793854940773,0.06502134018073186,0.013844893324729948,22,True,True,True,True,True,0.055806876820077504,0.030949181916862727,4.295510637104273e-05,3.5071619659797165e-05,193.1743287362043,108.02078838718083,15.943125360212226,8.841682516786836,0.2145315923762755,0.11897417769451107,1.0246778590977192,1.8031777696091866
21,sobol,True,1.4494283974170685,0.6902742870524525,0.20416997808422094,55.15096877503444,270.1228128274787,-214.9579514229314,494372.3538501385,590.4214814077286,0.010211343048392989,531.2626987541457,0.04056716624726605,0.019735290071989944,0.0675080150189724,0.01308947439648104,22,True,True,True,True,True,0.0613591354906559,0.02922161148522049,4.4715975897252984e-05,3.452372981749199e-05,212.19437402094096,102.10275218030786,17.529316185811517,8.348143484866686,0.23587546542124824,0.11233308869687265,1.0698513422347604,2.099786164143949
109,sobol,True,1.4600748576223852,0.7055736927688122,0.2039822589291714,55.42905062644167,271.7346641684572,-216.29298510088415,493770.8426300047,590.4319903242996,0.010208198362126759,531.0990910382346,0.040563448260467844,0.019691556588053744,0.06646458734924018,0.01336581703077377,22,True,True,True,True,True,0.06180983563934764,0.02986928632721305,4.485891307010034e-05,3.472913647446227e-05,213.73831095662075,104.3214537133904,17.658073955102658,8.533173749717989,0.23760803721333743,0.11482286635711843,1.0828242751955988,2.0693442408442975
