theta_deg,phase,u_from_high_turn_deg,E_x,E_y,candidate_projected_velocity,candidate_velocity_normalized,target_velocity,target_velocity_normalized
182.5,long_regular,183.68818720333473,4.029497382961816,-1.3510322519254023,0.31831764374817745,0.17102284874721255,0.23240751358440562,0.7332391751827181
182.75,long_regular,183.93818720333473,4.0297769058882515,-1.3495475012012603,0.32313588170713453,0.17361154842461618,0.23447237609092786,0.73975375837238
183.0,long_regular,184.18818720333473,4.03007881980572,-1.348036299762113,0.3279924625846892,0.176220848641439,0.2365280269216396,0.746239278983689
183.25,long_regular,184.43818720333473,4.030403065553679,-1.3464984885803633,0.33288738993580563,0.17885075130766018,0.23857427344438167,0.7526951292675956
183.5,long_regular,184.68818720333473,4.030749582561107,-1.3449339089215697,0.3378206640787769,0.18150125659428942,0.24061092514473978,0.7591207081564757
183.75,long_regular,184.93818720333473,4.031118308840817,-1.3433424023602343,0.3427922820760433,0.18417236292306097,0.24263779362604393,0.765515421264129
184.0,long_regular,185.18818720333473,4.031509180983901,-1.3417238107956702,0.347802237715358,0.18686406695631463,0.24465469260936917,0.7718786808857813
184.25000000000003,long_regular,185.43818720333476,4.031922134154293,-1.3400779764678972,0.35285052149131013,0.18957636358706842,0.246661437933535,0.7782099059980827
184.5,long_regular,185.68818720333473,4.032357102083474,-1.3384047419736365,0.3579371205872159,0.19230924592928944,0.24865784755510564,0.7845085222591085
184.75,long_regular,185.93818720333473,4.032814017065304,-1.3367039502823017,0.36306201885738676,0.195062705308367,0.25064374154839014,0.790773962008359
185.0,long_regular,186.18818720333473,4.033292809950986,-1.334975444752092,0.36822519680978694,0.19783673125179488,0.252618942105442,0.7970056642667595
185.25,long_regular,186.43818720333473,4.033793410144172,-1.3332190691461157,0.3734266315890885,0.2006313114800675,0.25458327353605953,0.8032030747366598
185.5,long_regular,186.68818720333473,4.03431574559622,-1.3314346676485385,0.3786662969601349,0.2034464318977952,0.2565365622677857,0.809365645801835
185.75,long_regular,186.93818720333473,4.0348597428015704,-1.3296220848808131,0.3839441632918231,0.2062820765850448,0.25847863684590816,0.8154928365274854
186.0,long_regular,187.18818720333473,4.035425326793301,-1.3277811659179224,0.3892601975414144,0.20913822778890986,0.2604093279334591,0.8215841126602355
186.25,long_regular,187.43818720333473,4.036012421138787,-1.3259117563046794,0.3946143632392824,0.21201486591531668,0.26232846831121565,0.8276389466281355
186.5,long_regular,187.68818720333473,4.036620947935564,-1.3240137020720466,0.40000662047411073,0.21491196952107114,0.26423589287769933,0.8336568175406601
186.75,long_regular,187.93818720333473,4.03725082780729,-1.3220868497535045,0.4054369258785466,0.21782951530615086,0.26613143864917654,0.8396372111887092
