index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,h_l_low_before,h_l_low_after,h_l_high_before,h_l_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,cross_symmetry_rms_h,cross_symmetry_max_abs_h,delta_cross_low_before,delta_cross_low_after,delta_cross_high_before,delta_cross_high_after,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok
402,sobol,True,76.2485287245363,241.39194367453456,370.78134302422404,-0.4765376880764961,-0.36805330123752356,-0.9446177851408721,-0.8634805236011744,-0.32428124924190344,-0.004067646479234077,-0.8734436031430961,-0.671383452601731,103.7514712754637,61.39194367453456,129.38939934968948,65.46718570031226,0.27381572095795303,0.472470041597262,0.04377205199562012,0.472470041597262,-0.00996307954192166,0.2732343325391411,0.19386615467925536,54.86587090023167,283.0090223381451,-228.18086933946088,417783.99583384424,581.1851335647867,637.4111776760964,0.0395584606013112,0.012251611516100259,0.03425228913578671,0.0592638314337769,0.011238322413418753,0.0004397580595327828,0.0004777018865892002,0.0009606915424775651,0.0009362093977281234,27,True,True,True,True,True
403,sobol,True,68.16861617844552,235.68423919845372,363.32189091667533,-0.0729723581578583,0.19078619391657414,-1.478383038379252,-1.5622574117034675,0.12191644604317842,-0.5100415398832411,-1.3669474495574834,-1.145605700276792,111.83138382155448,55.684239198453724,127.6376517182216,64.84672526177019,0.29353843438903593,0.4370691817253828,-0.06886974787339573,-0.4370691817253828,0.19530996214598417,0.3327773381024599,0.1834831285169681,43.637073250084235,237.82608026573286,-194.2063236486113,586064.9450393828,592.0055396543689,593.8956897767902,0.0440947401995924,0.011415205015323806,0.02398535080690816,0.08556355085223702,0.01097707049509216,0.0005543909530660767,0.0005674414050528961,0.0011899532744315312,0.0011296710670356406,32,True,True,True,True,True
404,sobol,True,66.21981842443347,244.28301049396396,367.1655476652086,0.062199926516041115,0.29976386078633366,-1.335608597844839,-1.0854773122817278,-0.14785222471691667,-0.01000970173627136,-0.5851928064599634,-0.4506767377257348,113.78018157556653,64.28301049396396,122.88253717124462,59.05427075922489,0.5565436582678791,0.8849318601191043,-0.4476160855032503,-0.07220962825231247,0.5002845058217644,0.8849318601191043,0.18183659469662794,44.473348201399865,244.57864642482002,-200.11983939671515,556833.7236358051,588.7089308460569,684.7620350462045,0.045824449301343835,0.013161737239919351,0.028003375818578646,0.0766356497910293,0.012938659364243137,0.0005113789661326184,0.00046478794463862143,0.0009924859072279989,0.0007789386629473124,32,True,True,True,True,True
405,sobol,True,74.21272326726466,234.72722925711423,371.4373195283115,-0.4916544969193637,-0.5037763910368085,-0.4749359933659436,-1.7842544298619032,0.2946054564323276,-0.45771050620824094,-1.4916885845363141,-1.365518007054925,105.78727673273534,54.72722925711423,136.71009027119726,62.77540373895317,0.6158930235501587,0.8905820136889815,0.7983818474691361,0.03394399071112275,0.29256584532558905,-0.8905820136889815,0.1722599495474061,46.77017756053708,271.50929559320394,-224.68286418913928,543565.9160791979,598.7669622600127,809.8702654495629,0.03881490796628414,0.0155664290464813,0.030821876935876652,0.07507699203046092,0.009183027879732256,0.0004655725447619991,0.0006473504125903607,0.0009426684407154967,0.0013353504071327764,30,True,True,True,True,True
406,sobol,False,77.07605101633817,240.85244715679437,364.24280078336596,0.31604477465152736,-0.18948844899423423,-0.8625932369381191,-0.45200915280729537,-0.00048300265334544346,-0.24406576869077978,-1.1657666608691217,-1.749684657342732,102.92394898366183,60.85244715679437,123.3903536265716,72.8332502329722,0.6414491109939734,0.887091420404613,0.18900544634088878,-0.5601105433423071,-0.7137575080618264,-0.887091420404613,0.16924497563739124,37.4919655810896,221.52483664517433,-184.0389390650142,619964.9222929175,602.1604128533535,660.33433610297,0.046826428793960935,0.01269221507249222,0.02339235541614292,0.07104605426805369,0.013409419403025879,0.0004479944726451145,0.0006588929379490072,0.0009355952126297148,0.0014277393266710178,22,False,True,True,True,True
407,sobol,True,69.21586500480771,231.5440154634416,368.40982496365905,-0.2674996101763099,-0.10633932044729588,-1.7244701387360692,-1.1534136148169638,-0.44679646654985844,0.25817544343881305,-0.9811403753235937,-0.8321524417027832,110.78413499519229,51.54401546344161,136.86580950021744,60.80604004114866,0.551850131786224,0.892317697033286,-0.34045714610256256,0.5256750536151229,0.17227323949337014,0.892317697033286,0.18348786313854384,52.1518130078824,284.22486433614847,-232.0340081554525,487737.00221388857,585.2419169586228,628.5708366361756,0.042178705567824624,0.012081692274197689,0.02967835627556977,0.07548072502793786,0.010892092497707766,0.0005877450166262214,0.0005245406781878496,0.0013930498414584697,0.0009980910551767494,22,True,True,True,True,True
408,sobol,True,70.49410243052989,242.6429160265252,364.3272639364004,-0.5909366425592452,-0.2447109428234398,-1.6116177938878538,-1.0065516907721759,-0.23270207103341817,-0.09332443014718594,-1.3603765420615674,-0.8983393965288998,109.50589756947011,62.6429160265252,121.68434790987521,66.16683849412948,0.46949979352290755,0.7132783973589539,0.012008871790021636,0.4976122124120592,-0.35382485128939156,0.7132783973589539,0.19116886325241106,49.916190144330535,261.1104616886452,-211.1386779945549,505337.3225182245,584.8157443549064,548.3614391447067,0.04347395290798424,0.010539996093737382,0.029299128460469632,0.07305176586022422,0.011938566346629653,0.000528036796226792,0.0005573621728368997,0.0011873341655137888,0.0011142833841199012,22,True,True,True,True,True
409,sobol,False,77.43250263854861,236.83607685379684,369.06703048944473,0.042703137081116394,0.06851625232957304,-1.073585501126945,-1.7053072791546584,0.26927599329501384,-0.42137626544572415,-0.8039660463109614,-1.6405300864949823,102.56749736145139,56.83607685379684,132.2309536356479,68.36547214910388,0.5893887397856595,0.901341232843697,0.2007597409654408,-0.46407940252684055,0.901341232843697,-0.5669445853680373,0.15555638565652044,32.487637541051136,208.8479839894593,-176.36081122722354,668719.4361738876,599.2057641998181,654.9880864582569,0.04453853939783875,0.012589455384540219,0.020436757357359,0.08779374748775105,0.011401363394206315,0.0005134168535039348,0.0006813453265736619,0.0010995059862060987,0.0014495437559231634,22,False,True,True,True,True
410,sobol,True,72.9130138643086,239.21060766093433,367.2645790576935,-0.33706506770104167,0.12486453503370287,-0.586237070336938,-0.5432821864262225,0.09256062088534234,-0.3267867352813482,-0.4124565066769721,-1.3001020457595587,107.0869861356914,59.21060766093433,128.05397139675915,65.64843480661511,0.36327253839356843,0.7138649754226207,-0.032303914148360535,0.010278332419693448,0.1308256797492504,-0.7138649754226207,0.18106394096011555,41.467052092711604,229.01883098770006,-187.562925371585,566880.2064699106,594.5594499818194,676.967115563969,0.038250439631048655,0.013011911933052579,0.023859735904850958,0.06850941098973691,0.011350201631188966,0.0004482274283568519,0.0006017110235079791,0.0007728020286764455,0.0012364531270468331,22,True,True,True,True,True
411,sobol,True,65.87296553421766,233.65460898261517,372.08563308417797,0.26688928049989047,-0.44859764310531314,-1.125484341569245,-1.2447081776335835,-0.4129833091981709,0.29510344602167604,-1.6469971761107445,-0.5606037206947805,114.12703446578234,53.65460898261517,138.4310241015628,53.787332450039685,0.34748776023444977,0.5648806208744646,0.03561433390714225,0.028214165521785572,-0.40228899847716093,0.5648806208744646,0.14228440710671356,48.116825538130236,338.1735674102541,-290.04140561682055,370161.06689395336,577.6909556843231,551.8473705220572,0.04405200376543227,0.010606998804864586,0.03692873467624522,0.10947933032679698,0.010392731857215828,0.00046069380996590633,0.000609366272986565,0.0010172819133380084,0.0011506860377948028,22,True,True,True,True,True
