time_s,cycle_progress_rad,S_pressure_Pa,S_temperature_K,L_pressure_Pa,L_temperature_K,H_i_pressure_Pa,H_i_temperature_K,H_o_pressure_Pa,H_o_temperature_K,S_to_H_i_mass_flow_kg_s,H_i_to_L_mass_flow_kg_s,L_to_H_o_mass_flow_kg_s,H_o_to_S_mass_flow_kg_s,H_i_heat_received_W,H_o_heat_received_W
1.3240544749236007e-08,1.2605141013658292e-08,157470.00195655163,302.03289133313984,157469.85063984778,474.99688886575126,157470.01560923448,598.5173185624628,157470.2225167053,299.52141238607436,-6.636030884506863e-05,0.0007588322611742543,-0.00047158580822771306,0.0003542251145895234,185.33517969214586,59.823451740705025
2.317906562883098e-08,2.206671978757622e-08,157469.91031616167,302.03284212720325,157469.85164996338,474.996889739036,157470.01335394036,598.5173191440448,157470.2213148728,299.5214122225012,-0.00028688294250918856,0.0007501200616940895,-0.0004700762318273368,0.00042814451281477533,185.33510699440114,59.82347218734674
3.3117586508425954e-08,3.152829856149415e-08,157469.82045699676,302.03279490385955,157469.8526593384,474.9968906114484,157470.01050826296,598.517319084498,157470.2199927438,299.5214119935528,-0.0004114380289518944,0.0007397124246676469,-0.00046847990000034535,0.0004900766552622759,185.33511443774842,59.82350080589782
5.613954385531333e-08,5.344544957483795e-08,157469.61640934384,302.03268993008464,157469.854994076,474.9968926282682,157470.00273020018,598.5173176583754,157470.21656472597,299.5214112646379,-0.0006080361075026197,0.0007117451161221983,-0.0004645111951054517,0.0006077816853147751,185.3352927030727,59.82359192026365
7.916150120220072e-08,7.536260058818176e-08,157469.4168330424,302.03258970281706,157469.85732345353,474.9968946386716,157469.99377679575,598.5173149558971,157470.21270496972,299.52141030109567,-0.0007520630621253992,0.0006793030589291846,-0.00046021151526331696,0.0007040350312303566,185.33563051286706,59.82371236304118
1.0218345854908809e-07,9.727975160152556e-08,157469.2207718521,302.03249316860393,157469.85964674305,474.9968966417515,157469.9840123904,598.517311372725,157470.20848751703,299.5214091431651,-0.0008702693684614977,0.0006429108628946239,-0.00045562440064531,0.0007870926530829754,185.33607840937805,59.82385710436233
1.6125361754718073e-07,1.5351517831334096e-07,157468.73024644694,302.032258553142,157469.8655746053,474.99690174099766,157469.95668039226,598.5172997049126,157470.1963625565,299.5214054636178,-0.0011111388502199676,0.0005317275833355893,-0.00044272268187621434,0.0009635896840506403,185.3375368859247,59.82431704777724
2.2032377654527335e-07,2.0975060502515636e-07,157468.25489012635,302.0320397063424,157469.8714452609,474.99690677047573,157469.9274466014,598.5172859719951,157470.18265859978,299.52140092598603,-0.0013017372541448498,0.0003878568830979685,-0.0004283051724631996,0.00110759232158877,185.3392535006151,59.82488425174637
2.793939355433659e-07,2.659860317369717e-07,157467.79199544783,302.0318337742345,157469.87723953166,474.9969117056651,157469.89811651313,598.5172721346681,157470.16767574995,299.5213956933661,-0.0014633999333992227,0.00018798913275633444,-0.00041246595224775535,0.0012313289491985109,185.3409831664834,59.82553832923543
3.834243068183729e-07,3.650240641185589e-07,157467.00191020503,302.03149710272777,157469.88728947146,474.99692021042046,157469.8462005973,598.5172474814651,157470.13880175963,299.52138512643404,-0.0017037273288209958,0.0,-0.00038108221915847797,0.0014170553093454071,185.34406481686005,59.82685919574493
4.874546780933798e-07,4.6406209650014603e-07,157466.23953329248,302.031189058851,157469.89725588934,474.9969286277915,157469.789484265,598.5172176158096,157470.10731223103,299.5213731382001,-0.0019053474486125236,0.0,-0.00034465722585199455,0.0015749102873680815,185.3477980237983,59.828357724988734
