theta_deg,E_x,E_y,E_projected_velocity,E_projected_velocity_scaled_to_target,E_piecewise_model_scaled_to_target,target_velocity,target_piecewise_model,regime_core
106.25,0.45667167542513465,-0.29713535721138573,-0.2012581220466676,-0.11474015962541867,-0.17016672123933724,-0.24473576313527867,-0.1662033537845758,1
106.5,0.45645903820044775,-0.2956906559946461,-0.20093081139243324,-0.11458537361566325,-0.16944381049821777,-0.2441258254946484,-0.16551428214387243,1
106.75,0.45624561546766274,-0.29425032932998185,-0.20060803755234888,-0.11443273307642703,-0.16872089975709822,-0.24350567202273393,-0.164825210503169,1
107.0,0.45603138758546435,-0.292814372716689,-0.20028969908304745,-0.11428219003489334,-0.16799798901597868,-0.24287531346431684,-0.16413613886246559,1
107.25000000000001,0.45581633523965026,-0.2913827819688209,-0.19997569538305968,-0.11413369691638109,-0.16727507827485924,-0.24223476144187317,-0.16344706722176222,1
107.5,0.45560043944013806,-0.2899555532131583,-0.19966592667712962,-0.11398720653692744,-0.16655216753373966,-0.2415840284555732,-0.1627579955810588,1
107.75,0.4553836815180298,-0.28853268288721723,-0.19936029400074007,-0.11384267209596989,-0.16582925679262023,-0.24092312788328157,-0.16206892394035544,1
108.0,0.4551660431227301,-0.28711416773729426,-0.19905869918484215,-0.11370004716912491,-0.16510634605150068,-0.24025207398055737,-0.16137985229965202,1
108.25,0.4549475062191211,-0.2857000048165483,-0.1987610448407864,-0.1135592857010617,-0.16438343531038113,-0.2395708818806539,-0.1606907806589486,1
108.5,0.45472805308479014,-0.2842901914831188,-0.19846723434544866,-0.11342034199846829,-0.16366052456926167,-0.23887956759451887,-0.16000170901824523,1
108.75,0.45450766630730877,-0.2828847253982802,-0.19817717182654931,-0.11328317072310892,-0.16293761382814212,-0.23817814801079432,-0.1593126373775418,1
109.0,0.45428632878156483,-0.28148360452463206,-0.19789076214815868,-0.11314772688496952,-0.16221470308702268,-0.23746664089581665,-0.15862356573683845,1
109.25,0.45406402370714644,-0.28008682712432437,-0.19760791089638674,-0.11301396583549034,-0.1614917923459031,-0.2367450648936166,-0.15793449409613503,1
109.50000000000001,0.453840734585775,-0.27869439175732197,-0.19732852436525183,-0.11288184326088321,-0.16076888160478356,-0.23601343952591936,-0.1572454224554316,1
109.75,0.45361644521878863,-0.2773062972796983,-0.1970525095427247,-0.11275131517553182,-0.16004597086366412,-0.23527178519214423,-0.15655635081472824,1
110.0,0.45339113970467304,-0.2759225428419726,-0.19677977409694403,-0.11262233791547284,-0.15932306012254457,-0.234520123169405,-0.15586727917402482,1
110.25,0.45316480243664325,-0.2745431278874713,-0.19651022636259927,-0.11249486813195651,-0.1586001493814251,-0.2337584756125099,-0.15517820753332146,1
110.5,0.45293741810026944,-0.27316805215073636,-0.19624377532747722,-0.11236886278508439,-0.15787723864030556,-0.23298686555396134,-0.15448913589261803,1
