index,label,feasible,small_min_deg,small_max_deg,large_max_deg,low_flatness,high_flatness,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
23,sobol,False,84.7606839099899,232.13022626936436,339.7959802346304,0.07623959239572287,-0.7208903795108199,95.2393160900101,52.13022626936436,107.66575396526605,104.96470367535949,0.1355612890153957,29.528577732257613,217.82455704522002,-188.30109790721357,769.9244170344615,0.04880116631433272,0.01479863420132792,0.025427830387681354,0.059158136176186704,0.024013796848728668,0.0005108848909753025,0.0005609002630637352,0.0010676050582978747,0.0010809736655202889,22
24,sobol,True,96.66489719413221,262.62928158044815,365.9161090804264,-0.9373084884136915,0.16709637036547065,83.33510280586779,82.62928158044815,103.28682749997824,90.74878811370581,0.16308801162373576,47.755244058607175,292.81885028302656,-245.12827978247762,911.6662278043826,0.047083504592315195,0.01752303826256971,0.05106263666387085,0.057626238925368105,0.014808035821860993,0.000485920631998398,0.0005514958741095761,0.0009476366471245201,0.0010253526576205656,22
25,sobol,True,105.39816907141358,225.3524973243475,391.91192094702274,-1.372694220393896,-0.022744025103747845,74.60183092858642,45.352497324347496,166.55942362267524,73.48624812439084,0.12756064143424642,44.03681359258872,345.22257882568226,-301.09792251961363,1052.9595095133197,0.07194540062071138,0.020238821195093782,0.06973861119351338,0.04932847163612515,0.016786121900262647,0.0007294944482965205,0.000703458706736579,0.0022216698136676848,0.0017353689265503277,26
26,sobol,False,77.05873376689851,279.873316437006,354.9512990145013,-0.03517343755811453,-0.3846046500839293,102.94126623310149,99.873316437006,75.07798257749528,82.10743475239724,0.14324123920954582,31.981157021787844,223.26780470673677,-191.2978603476383,696.0221832033845,0.04223986598706084,0.013378167333502689,0.02981896485188539,0.05254709599615802,0.024203505882547025,0.000443747962587475,0.00047462664934073056,0.0007550459777678207,0.0007255788640973794,22
27,sobol,True,68.79793912172318,241.29641115665436,377.20580828376114,-0.5656303148716688,-1.3821882368065417,111.20206087827682,61.29641115665436,135.90939712710679,51.59213083796203,0.1728032469405827,57.30157739619266,331.60011985130956,-274.28321593637435,541.6805964172423,0.03593369137399308,0.010411584336046728,0.03732494730869674,0.04914464622564077,0.015023107670550515,0.0004714530598821336,0.0005947103804704593,0.00107864366023291,0.0014417558560654684,22
28,sobol,False,113.64326504524797,293.31906147301197,329.83307594433427,0.44684071000665426,0.7791420156136155,66.35673495475203,113.31906147301197,36.5140144713223,143.8101891009137,,-101.95261957272459,44.23827200128406,-146.2316402725677,910.674215117172,0.05367655903746096,0.017503970893674396,0.04123699717811979,0.1773485238930064,0.023087866322577078,0.0005460994970070081,0.0007796044640737006,0.0005594723854678829,0.0009577728093059381,25
29,sobol,False,112.72177529055625,238.6789659410715,380.2169129299,-0.10730828950181603,-1.0570997544564307,67.27822470944375,58.67896594107151,141.53794698882848,92.50486236065626,0.12506286362246455,23.357472629456293,186.7658548101619,-163.4100087085573,956.3767046532909,0.04159635588414506,0.01838241351709462,0.028120612525799143,0.07620244800519164,0.017981683235002672,0.0006262563801339003,0.0005877125949930056,0.0017469503300628327,0.001292363716204273,22
30,sobol,True,75.81300356425345,266.7153337597847,321.5106873912737,-1.2811076301150024,0.4546638848260045,104.18699643574655,86.7153337597847,54.79535363148898,114.30231617297977,0.12960797596086193,43.90486466078755,338.75125612674964,-294.8854028564635,762.7736068704957,0.04732417913357588,0.01466118925021536,0.049835811747558835,0.07993063085747121,0.022293648793413987,0.0005452657224558041,0.0007756697926519068,0.0010748372633769257,0.0018270941909643435,32
31,sobol,False,84.32589104399085,254.61310490965843,384.2548803333193,0.650587688665837,0.27793046925216913,95.67410895600915,74.61310490965843,129.64177542366087,60.071010710671544,0.058883572504308625,11.36090175346815,192.93839130832035,-181.57632008073014,1008.884837801025,0.04523458140873776,0.019391666682542885,0.03192574588896453,0.09616733715092723,0.023195324615032934,0.0005444895570417399,0.0007087252608211375,0.0005465141420710652,0.000777781147985484,22
32,sobol,False,104.22492742072791,280.15130393207073,357.29446141049266,-0.8280435143969953,-0.6846687928773463,75.77507257927209,100.15130393207073,77.14315747842193,106.93046601023525,0.13170088634837748,32.38067928675887,245.8653102842826,-213.49954975574062,910.0735906154965,0.038621487826229,0.01749242635489111,0.043813787108967696,0.07663229972981145,0.02236678582899607,0.0003731149695843076,0.000440756975458933,0.0007957881738580325,0.0009328027822957379,22
33,sobol,False,95.67992893978953,247.87459790706635,331.4748783875257,-0.4028430241160095,-0.4203685102984309,84.32007106021047,67.87459790706635,83.60028048045933,124.20505055226386,0.13400502961217392,30.843997904510633,230.17044952548972,-199.33326211332897,884.9736239931634,0.040079052031463336,0.017009982602892503,0.03359521533214413,0.058771067888688175,0.022631992524171467,0.00040588933852761804,0.0004854977508491117,0.0008261804299218885,0.00099291695587927,22
34,sobol,False,91.83922297786921,297.35612101852894,368.9233327098191,0.7723385482095182,-0.13281514728441834,88.16077702213079,117.35612101852894,71.56721169129014,82.91589026805013,,-100.37181879291148,46.06030657134491,-146.47642691017745,766.1413290647051,0.04758368499227998,0.014725919875379528,0.04146795074970105,0.15820506309507776,0.024134122169344525,0.0005845052783570563,0.0006283470511693278,0.000645906432383112,0.0006270046027094384,30
35,sobol,False,67.34429795760661,223.81362818181515,348.6609710427001,-1.1582982479594648,0.9008500739000738,112.65570204239339,43.81362818181515,124.84734286088496,78.6833269149065,0.08220112890636518,32.727040752349104,398.13371407135156,-365.34022889274655,740.8173872046186,0.0627954736725996,0.014239171119486596,0.057354638956095605,0.06798739534660067,0.022561103492949496,0.0006233882753635653,0.0006884843846599428,0.0011877491909085475,0.0012169588859563185,22
36,sobol,False,120.19089356996119,270.79698219895363,396.87399472575635,0.3168335664086044,-1.337233661673963,59.80910643003881,90.79698219895363,126.07701252680272,83.31689884420484,,-53.39655706909682,77.55762994529766,-130.9560454367462,801.68173400702,0.053806386918478784,0.015409038166567381,0.023916938049570957,0.13352204458631903,0.022102432033183052,0.000606501578948883,0.0007597603582598478,0.0013883212991222707,0.0018300291054725577,23
37,sobol,False,119.61507278494537,246.8814593553543,363.01623705308884,0.40170987509191036,0.01077138027176261,60.38492721505463,66.88145935535431,116.13477769773453,116.59883573185652,,-73.85308539390797,73.54887008041464,-147.4107080238167,1131.2360910055847,0.047133399241889036,0.02174336692764277,0.034354252336653984,0.17343169744686077,0.021496026389350494,0.000655242758238819,0.0005609231770673219,0.0008298926705216533,0.000510861692079466,23
38,sobol,True,66.89642163459212,297.7315814048052,336.053203237243,-0.618247483856976,-0.25236549880355597,113.10357836540788,117.73158140480518,38.32162183243781,90.84321839734912,0.14619068185981804,43.66999263680541,298.7193990837288,-255.0641543013064,635.4990614471384,0.0335506891246682,0.012214858936240846,0.03884192471023515,0.07619564141393063,0.019184442586337808,0.000523174856480941,0.0005155124926484629,0.0013068603431721142,0.001065842922843601,32
39,sobol,True,91.13556572701782,220.9418275207281,401.4523092843592,-0.09280101954936981,-1.4814302800223231,88.86443427298218,40.94182752072811,180.5104817636311,49.6832564426586,0.17510313538350095,55.14729155848172,314.94177096087543,-259.7655280689804,679.6072791783713,0.03124049108400413,0.013062658233204596,0.04126430819660387,0.06267369648310245,0.010680987395826102,0.0006881760233320119,0.0007675676507562994,0.0019841776959900323,0.002073464463124835,22
40,sobol,True,95.36010604351759,274.2913390696049,342.75388536043465,-1.4127837223932147,0.7322370461188257,84.63989395648241,94.29133906960487,68.46254629082978,112.60622068308294,0.1452015959412994,44.03620876464728,303.2763412769222,-259.27546817192444,947.7960776436435,0.05186245410676754,0.0182174862105638,0.05307470820989322,0.06900023367621931,0.021762094521136453,0.000555025170624087,0.0007264202652156397,0.0010153575707095247,0.001460996934941605,22
41,sobol,False,103.14030037727207,236.5458456426859,327.4223124049604,-0.9094105111435056,0.6229670057073236,76.85969962272793,56.54584564268589,90.8764667622745,135.71798797231168,0.1358138504534606,35.4726784731968,261.18601567335907,-225.7198201388396,1146.8961408414707,0.050506123144260395,0.022044367056965164,0.046809628497725624,0.05990878713612917,0.02389433046287803,0.0006637231706705946,0.0007150202194330794,0.0014455190567512948,0.001409180132477332,22
42,sobol,False,82.35556710511446,268.2161322236061,375.6327617261559,0.107027193531394,-0.9132131175138056,97.64443289488554,88.21613222360611,107.41662950254977,66.72280537895858,0.14806110858124294,30.426741519703924,205.50124074620447,-175.0832190774461,674.8399498044622,0.049878196035107916,0.012971025909354592,0.027771848080607613,0.05904829808315245,0.02400411346361027,0.0004546629479146664,0.0005734452129836076,0.00085004484473148,0.00113586425757662,22
43,sobol,True,74.60252369754016,250.6110881268978,352.71030023228377,-0.4173417491838336,-0.8535825260914862,105.39747630245984,70.61108812689781,102.09921210538596,81.8922234652564,0.18381303927021272,52.655753418611575,286.4636460376756,-233.76846366569407,627.9786293247844,0.043431096690833816,0.012070309521321262,0.03703582403673452,0.0548710356828124,0.022526246356787207,0.00039664750492961236,0.0004812172355691835,0.0008061518921451524,0.0009967106079361411,22
44,sobol,False,110.87752113584429,284.78076450526714,390.1665156381205,0.90400530397892,0.13343314547091722,69.12247886415571,104.78076450526714,105.38575113285333,80.71100549772382,,-164.9564097691099,3.104651206666767,-168.25328062975987,914.0204253015771,0.04775440671760109,0.017568288038817687,0.07066310286190357,0.23496648977448517,0.02229924050159639,0.0005532272284890437,0.0007644044258125096,0.000585220620801947,0.000938508942424744,37
45,sobol,False,113.95512382965535,229.40345905721188,361.03397564962506,0.37425129348412156,-0.5284940064884722,66.04487617034465,49.403459057211876,131.6305165924132,112.92114818003029,,-38.14016642794139,121.70265550588908,-159.8404470382474,1089.0740346215914,0.048602429998863245,0.020932974588085948,0.01850056478825301,0.14242479588148121,0.0215448255193854,0.0006896103652837391,0.0005295923094194396,0.001545116703364612,0.0007654487754529776,23
46,sobol,True,69.49363322928548,275.2144469320774,387.15671812184155,-1.1181134064681828,-0.19104502256959677,110.50636677071452,95.21444693207741,111.94227118976414,42.33691510744393,0.11941970803251278,44.321755364406386,371.14272086764356,-326.75853226212706,634.4094066682219,0.047153127292763414,0.012193914799229287,0.050568190640758834,0.06306083214879855,0.018223309532247742,0.0005129548847963744,0.0006163976934336395,0.0011989636493926876,0.0014542765327405006,22
47,sobol,False,77.49864597804844,243.45894515514374,325.07788341026753,0.8172214557416737,0.9236413883045316,102.50135402195156,63.45894515514374,81.6189382551238,112.42076256778091,,-32.91462964720457,139.25970940708075,-172.17157351108605,1080.1332482761345,0.06682391201875622,0.020761124697796365,0.02127232345232044,0.1312833252467549,0.030683706526297743,0.00064746937006511,0.000881744058376994,0.0007827664301617548,0.001219436008821452,22
48,sobol,False,105.96602671314031,291.7693228274584,383.28847494442016,-0.35016858810558915,-1.2132771485485137,74.03397328685969,111.76932282745838,91.51915211696178,82.67755176872015,0.07254771626305255,13.032576077411889,179.64143805928708,-166.61386378433428,827.2451605942417,0.05039177774684583,0.015900390032577708,0.03350280243006088,0.07944375474598796,0.02564205849895759,0.00045595513085071597,0.0006033668506984038,0.0009827173083898086,0.001445531513882004,22
49,sobol,True,98.5011833626777,259.0237508714199,398.44381905626506,-0.8636507471092045,-1.1809084480628371,81.4988166373223,79.0237508714199,139.42006818484515,60.05736430641264,0.1734139133820722,51.37358818877111,296.2483643142453,-244.81551772882025,762.555489202448,0.040555819656612375,0.014656996834036746,0.05116423627272496,0.06467694795938277,0.014563810818661855,0.00045355158729895806,0.0006122862108278319,0.001140349878526275,0.0017457088436550676,22
50,sobol,False,85.96319675911218,285.7333242148161,351.07365981210023,0.6276547783054411,0.43232556572183967,94.03680324088782,105.7333242148161,65.34033559728414,94.88953694701195,,-44.31356562201847,107.73797834497068,-152.0518862527261,857.6345948763824,0.047306942812270436,0.01648450207211907,0.025034845877968646,0.12377393217364906,0.021529138788008755,0.0005917226920494588,0.000659780091115898,0.0006430179521823309,0.0006715289362062806,22
51,sobol,False,61.976022007875144,233.09387482702732,370.67585123702884,-1.309062781278044,0.3357073492370546,118.02397799212486,53.09387482702732,137.58197641000152,51.30017077084631,0.07233547571843485,30.15427901648419,416.8670865435299,-386.6679598483405,600.9926427431501,0.05622864322907761,0.011551614783048435,0.052239614276359966,0.062484569398996145,0.018563088577584003,0.0005317651063295257,0.0006397597364855327,0.0010624693286325133,0.0012917821830157278,22
52,sobol,False,122.50427374616265,262.3028376698494,333.7074669543654,-0.1378479073755443,-0.5766911162063479,57.49572625383735,82.3028376698494,71.40462928451598,148.79680679179728,,-43.96043387406614,102.94339736534589,-146.9032235953919,1066.1410428081915,0.04522824412189562,0.020492182025231866,0.0200628034249208,0.12394230555941209,0.02395288822235683,0.0004941038723201153,0.0005349913024611498,0.0010869600995889164,0.0010704061175992512,23
53,sobol,False,123.3870968176052,230.45911334455013,385.91538758948445,-0.5343360556289554,0.8086908040568233,56.6129031823948,50.45911334455013,155.45627424493432,97.47170922812074,0.12157459302005523,25.617900794768005,210.71755338339497,-185.09919573428274,1488.876134490174,0.05609550868153794,0.02861752764027614,0.043637852446947546,0.0888986974674136,0.018066638749217163,0.0008372195671966575,0.0006925915967303602,0.0018031896972674182,0.0010365602230091179,23
54,sobol,False,62.10084578022361,264.92297902703285,359.6190105844289,0.9422071874141693,-1.4110800330527127,117.89915421977639,84.92297902703285,94.69603155739605,62.4818351957947,,-110.66567649411411,78.33532933392526,-189.03186908335456,669.3331591935332,0.07816703730912403,0.012865180480801574,0.04055440035847712,0.1650552741411529,0.03206599455499604,0.00065351710257219,0.0006807955677178771,0.0013149234264989338,0.001198670754883434,27
55,sobol,True,86.8656546715647,256.40484869480133,379.2198937712237,-1.0285601215437055,-0.3355329749174416,93.1343453284353,76.40484869480133,122.8150450764224,67.64576090034097,0.1530009827522956,51.3446953149909,335.5840883592007,-284.15994861978436,743.1407648904525,0.04734376958998392,0.014283828511463611,0.05294805489132268,0.05877813719867468,0.015046011532522144,0.0004427348062044608,0.0005557788962418787,0.0009508662587844408,0.0012586761275063813,22
56,sobol,False,98.63820355851203,288.36688347160816,321.1777500482276,0.1473462339490652,-0.0711753973737359,81.36179644148797,108.36688347160816,32.810866576619446,137.46045351028442,,-24.392921679628667,132.91827027600115,-157.31014401612254,804.749294675743,0.03709034893813472,0.015467999419415636,0.02093671658425197,0.09870962247806617,0.017618916275179825,0.0004502630981057301,0.000646490622693201,0.0004977949765184763,0.0008620285488138632,22
57,sobol,False,107.36087546683848,241.1121128499508,346.99989698361605,0.02494683861732483,0.21628129435703158,72.63912453316152,61.11211284995079,105.88778413366526,120.36097848322242,,-0.1727951090661198,165.2864505017701,-165.45746846715275,1088.0167410983292,0.043679074614010875,0.02091265246327991,0.022130550680377416,0.09952586831958435,0.02112706260072163,0.000595174046535811,0.0005674742934252533,0.0007343541731445422,0.0005607761427012029,23
58,sobol,False,79.14269019383937,294.13081400096416,394.5488774823025,-1.452959562651813,-0.7695136787369847,100.85730980616063,114.13081400096416,100.41806348133832,44.593812711536884,0.10730798810186186,38.70945739861153,360.73230039376625,-321.9307962113407,702.5508002385825,0.04857423435987814,0.0135036531775763,0.05482049083283872,0.07989764809980246,0.017793429758544102,0.0005593498203257226,0.0006638822427225912,0.001571647786572364,0.0018597114928282671,27
59,sobol,False,70.89968658518046,227.04320825636387,332.47133074328303,0.5167302247136831,-0.983243734575808,109.10031341481954,47.04320825636387,105.42812248691916,98.42835584189743,0.009207176764525834,1.6917462928385845,183.74213248046712,-182.04806379360622,721.7552425024567,0.061259277480881905,0.013872779691576537,0.0181136744460711,0.0867011217240466,0.02736118510041465,0.0005612272889125348,0.0006842193322905232,0.0010959757498435572,0.0013683334673309435,22
