theta_deg,theta_rad,small_volume_m3,large_volume_m3,small_volume_l,large_volume_l,small_fraction_0_1,large_fraction_0_1,small_centered_minus1_plus1,large_centered_minus1_plus1,small_dq_dtheta_per_rad,large_dq_dtheta_per_rad,small_d2q_dtheta2_per_rad2,large_d2q_dtheta2_per_rad2,small_centered_dq_dtheta_per_rad,large_centered_dq_dtheta_per_rad,small_centered_d2q_dtheta2_per_rad2,large_centered_d2q_dtheta2_per_rad2,total_cylinder_volume_l,dtotal_volume_dtheta_l_per_rad
162.75,2.8405233576207713,0.0003387482325425533,3.718166230099395e-05,0.3387482325425533,0.03718166230099395,0.3973044224618796,0.027553478924003887,-0.20539115507624084,-0.9448930421519922,0.4120917579785739,-0.17449573266908439,0.5767089837869263,0.469943719740232,0.8241835159571478,-0.34899146533816877,1.1534179675738525,0.939887439480464,0.3759298948435472,0.16996172676526503
163.0,2.8448866807507573,0.0003402482459466097,3.643226261610267e-05,0.3402482459466097,0.03643226261610267,0.39910801000723306,0.026796585242263696,-0.20178397998553388,-0.9464068295154726,0.41461373480697666,-0.17243556242126235,0.5792640859153827,0.4743618141515105,0.8292274696139533,-0.3448711248425247,1.1585281718307654,0.948723628303021,0.37668050856271235,0.17409898496692877
163.25,2.849250003880743,0.0003417574313338634,3.5691804626865917e-05,0.34175743133386344,0.035691804626865914,0.40092262577047866,0.026048722673134572,-0.19815474845904268,-0.9479025546537309,0.41714665066262685,-0.17035620622980718,0.581722873350401,0.4787377537952625,0.8342933013252537,-0.34071241245961437,1.163445746700802,0.957475507590525,0.3774492359607293,0.17826433695722707
163.5,2.853613327010729,0.0003432758276354339,3.496037081867861e-05,0.3432758276354339,0.03496037081867861,0.40274831656165266,0.025309974526865394,-0.19450336687669467,-0.9493800509462692,0.41969008280277864,-0.16825785004819865,0.5840842072269282,0.48307061492814224,0.8393801656055573,-0.3365157000963973,1.1681684144538564,0.9661412298562845,0.3782361984541125,0.1824572470357776
163.75,2.8579766501407144,0.00034480347223937485,3.42380428649178e-05,0.34480347223937485,0.0342380428649178,0.40458512733543883,0.024580423293566973,-0.19082974532912234,-0.9508391534128661,0.4222436035516272,-0.16614068384049013,0.5863469653056061,0.48735948301456755,0.8444872071032544,-0.33228136768098027,1.1726939306112123,0.9747189660291351,0.3790415151042926,0.18667717142859078
164.0,2.8623399732707004,0.0003463404009729065,3.352490160970156e-05,0.3463404009729065,0.033524901609701556,0.40643310116980425,0.02386015062579857,-0.1871337976603915,-0.9522796987484029,0.4248067803734155,-0.16400490154071637,0.5885100422300192,0.4916034529155098,0.849613560746831,-0.32800980308143274,1.1770200844600385,0.9832069058310196,0.3798653025826081,0.19092355838906205
164.25,2.8667032964006864,0.0003478866480849123,3.2821027050828635e-05,0.34788664808491226,0.032821027050828636,0.40829227924495404,0.02314923732133692,-0.18341544151009193,-0.9537015253573262,0.427379175946654,-0.16185070101148588,0.5905723497808218,0.49580162907528064,0.854758351893308,-0.32370140202297176,1.1811446995616437,0.9916032581505613,0.38070767513574094,0.1951958483006965
164.5,2.871066619530672,0.0003494422462287092,3.2126498322897104e-05,0.3494422462287092,0.0321264983228971,0.41016270082261463,0.02244776330612607,-0.17967459835477073,-0.9551044733877478,0.4299603482394441,-0.15967828400176357,0.5925328171266756,0.49995312570631245,0.8599206964788882,-0.31935656800352713,1.1850656342533512,0.9999062514126249,0.3815687445516063,0.19949347378155396
164.75,2.875429942660658,0.0003510072264450924,3.1441393680607535e-05,0.3510072264450924,0.031441393680607534,0.41204440322564684,0.02175580761741361,-0.17591119354870632,-0.9564883847651728,0.4325498505858913,-0.1574878561038468,0.5943903910719567,0.5040570669718922,0.8650997011717826,-0.3149757122076936,1.1887807821439134,1.0081141339437845,0.38244862012569997,0.2038158597903979
165.0,2.8797932657906435,0.0003525816181456582,3.0765790482252986e-05,0.35258161814565825,0.030765790482252985,0.4139374218179938,0.021073448387075512,-0.17212515636401238,-0.9578531032258489,0.4351472317635863,-0.1552796267095533,0.5961440363011725,0.5081125871667937,0.8702944635271725,-0.3105592534191066,1.192288072602345,1.0162251743335875,0.3833474086279112,0.208162423734514
165.25,2.8841565889206295,0.0003541654490964131,3.0099765173401973e-05,0.35416544909641307,0.030099765173401974,0.4158417899849729,0.02040076282513599,-0.1683164200300542,-0.959198474349728,0.43775203607215357,-0.15305380896562595,0.5977927356200397,0.5121188308957899,0.8755040721443071,-0.3061076179312519,1.1955854712400793,1.0242376617915798,0.3842652142698151,0.21253257557919114
165.5,2.8885199120506155,0.0003557587454016653,2.9443393270774e-05,0.3557587454016653,0.029443393270774002,0.4177575391139071,0.019737827203481738,-0.16448492177218577,-0.9605243455930366,0.4403638034128354,-0.15081061972835721,0.5993354901931668,0.5160749532500112,0.8807276068256708,-0.30162123945671443,1.1986709803863336,1.0321499065000224,0.3852021386724393,0.21692571795883614
165.75,2.892883235180601,0.00035736153148821113,2.8796749346311767e-05,0.35736153148821115,0.028796749346311767,0.41968469857511104,0.019084716839774883,-0.16063060284977793,-0.9618305663204503,0.44298206936911233,-0.14855027951745617,0.6007713197783002,0.5199801199811012,0.8859641387382247,-0.29710055903491234,1.2015426395566005,1.0399602399622023,0.3861582808345229,0.22134124628970114
166.0,2.897246558310587,0.00035897383008981373,2.81599070114586e-05,0.3589738300898137,0.028159907011458603,0.42162329570322843,0.018441506081573186,-0.15675340859354314,-0.9631169878368536,0.44560636528833547,-0.1462730124691574,0.6020992629570713,0.5238335076731427,0.8912127305766709,-0.2925460249383148,1.2041985259141426,1.0476670153462855,0.38713373710127236,0.22577854888420237
166.25,2.901609881440573,0.00036059566223198015,2.75329389016341e-05,0.36059566223198014,0.0275329389016341,0.4235733557789285,0.01780826829065044,-0.15285328844214296,-0.9643834634186991,0.44823621836435906,-0.14397904628858185,0.6033183773622084,0.5276343039123306,0.8964724367287181,-0.2879580925771637,1.2066367547244168,1.0552686078246611,0.38812860113361425,0.2302370070668116
166.5,2.9059732045705586,0.0003622270472170391,2.6915916660922917e-05,0.3622270472170391,0.02691591666092292,0.42553490201096367,0.017185075827532145,-0.14893019597807267,-0.9656298483449357,0.450871151721152,-0.14166861220136776,0.6044277399011517,0.5313817074543362,0.901742303442304,-0.2833372244027355,1.2088554798023035,1.0627634149086724,0.38914296387796204,0.23471599529148504
166.75,2.9103365277005446,0.00036386800260952733,2.6308910926970308e-05,0.36386800260952734,0.026308910926970307,0.4275079555185983,0.016572000036240007,-0.14498408896280335,-0.96685599992752,0.4535106844973861,-0.13934194490457272,0.6054264469760345,0.5350749283893489,0.9070213689947721,-0.27868388980914544,1.210852893952069,1.0701498567786978,0.39017691353649764,0.23921488126062534
167.0,2.91469985083053,0.00036551854422187943,2.5711991316092783e-05,0.3655185442218794,0.025711991316092784,0.4294925353144027,0.015969111229253707,-0.14101492937119464,-0.9680617775414926,0.4561543319319673,-0.13699928251686208,0.6063136146999765,0.5387131883047527,0.9123086638639346,-0.27399856503372416,1.212627229399953,1.0774263766095054,0.3912305355379722,0.2437330260455351
167.25,2.919063173960516,0.0003671786861004354,2.5125226408604512e-05,0.36717868610043536,0.025125226408604512,0.4314886582874283,0.015376478672690557,-0.13702268342514345,-0.9692470426546189,0.45880160545050785,-0.13464086652799132,0.6070883791096466,0.5422957204454153,0.9176032109010157,-0.26928173305598263,1.2141767582192933,1.0845914408908306,0.3923039125090399,0.24826978420835175
167.5,2.923426497090502,0.00036884844051175784,2.4548683734365454e-05,0.36884844051175786,0.024548683734365452,0.43349633918675645,0.014794170571709108,-0.1330073216264871,-0.9704116588565818,0.4614520127527147,-0.1322669417475971,0.6077498963740452,0.5458217698715366,0.9229040255054294,-0.2645338834951942,1.2154997927480904,1.0916435397430733,0.3933971242461233,0.252824503925429
