theta_deg,E_x,E_y,E_speed,E_speed_smooth,E_tangential_acceleration,E_normal_acceleration,target_large_acceleration_smoothed
195.25,0.9235938272914125,-0.23406375681321134,0.2948200650248005,0.2960381853336342,-0.44483661554461545,0.8461000476610717,0.3212431332001766
195.5,0.9236169521763828,-0.23534565421692133,0.292862422053754,0.29411076158166427,-0.43855454387465254,0.8497198352360388,0.31750918581275933
195.75,0.9236560432414983,-0.2366186778115057,0.29093222541173375,0.2922110749635369,-0.4321222621667919,0.8533464292164648,0.3137556006285413
196.0,0.9237110597332022,-0.23788274367721995,0.28903015429226764,0.29033978345867595,-0.4255386532637584,0.8569769906892988,0.3099828629988564
196.25,0.9237819603062952,-0.23913776824196475,0.2871568944126463,0.2884975496665593,-0.4188027210468172,0.8606085458298569,0.30619145827502603
196.50000000000003,0.9238687030258321,-0.2403836682857624,0.285313137522673,0.2866850402593868,-0.4119135993065886,0.8642379853865388,0.302381871808365
196.75,0.9239712453690703,-0.24162036094521844,0.283499580868552,0.284902925395739,-0.40487056073433625,0.8678620646761481,0.29855458895023285
197.0,0.9240895442274659,-0.2428477637179456,0.28171692661050196,0.2831518780947819,-0.3976730259959434,0.8714774041324732,0.294710095051938
197.25,0.9242235559087251,-0.2440657944669612,0.2799658811928341,0.2814325735707399,-0.39032057284665733,0.8750804904555337,0.29084887546480825
197.5,0.9243732361389108,-0.24527437142505093,0.27824715466536887,0.2797456885275596,-0.3828129452413303,0.8786676784083113,0.2869714155401966
197.75000000000003,0.9245385400645918,-0.2464734131991061,0.2765614599552828,0.27809190041388093,-0.3751500623915072,0.8822351933051842,0.2830782006293926
198.0,0.9247194222550501,-0.2476628387744192,0.2749095120886526,0.2764718866386626,-0.367332027716651,0.8857791342372664,0.27916971608374286
198.25,0.9249158367045404,-0.24884256751896094,0.27329202736123465,0.2748863237480396,-0.35935913763443933,0.8892954780750039,0.2752464472545751
198.5,0.9251277368345913,-0.25001251918761114,0.2717097224582657,0.2733358865642384,-0.3512318901317675,0.8927800842904684,0.2713088794931979
198.75,0.925355075496372,-0.2511726139263637,0.2701633135233626,0.27182124728763846,-0.3429509930553796,0.8962287006337946,0.2673574981509897
199.0,0.925597804973094,-0.2523227722764946,0.2686535151769399,0.2703430745633381,-0.3345173720594196,0.8996369696954639,0.26339278857924636
199.25,0.9258558769824776,-0.2534629151786939,0.2671810394848896,0.2689020325138606,-0.3259321781451777,0.9030004363847821,0.25941523612927014
199.5,0.9261292426792567,-0.25459296397716547,0.2657465948786573,0.2674987797399231,-0.31719679472708706,0.9063145563430457,0.2554253261524395
199.75,0.9264178526577412,-0.2557128404236889,0.264350885028244,0.26613396829148045,-0.30831284415867505,0.9095747053081972,0.2514235440000504
200.0,0.926721656954427,-0.2568224666816432,0.26299460767007704,0.26480824261154456,-0.2992821936519887,0.9127761894384008,0.24741037502342395
200.25,0.9270406050506537,-0.257921765329999,0.2616784533921511,0.2635222384555712,-0.2901069605246516,0.9159142565938797,0.24338630457390698
200.5,0.9273746458753154,-0.2590106593672633,0.26040310437926684,0.26227658178949037,-0.28078951671031627,0.9189841085679314,0.2393518180028462
200.75,0.9277237278076149,-0.260089072215402,0.25916923312170254,0.2610718876697319,-0.2713324924699581,0.9219809142460218,0.2353074006615438
201.00000000000003,0.9280877986798723,-0.26115692772370547,0.2579775010910916,0.2599087591088686,-0.2617387792444894,0.92489982366555,0.23125353790132103
201.25,0.9284668057803795,-0.2622141501726305,0.25682855738778304,0.2587877859307484,-0.25201153159274153,0.9277359829340088,0.22719071507351193
201.5,0.9288606958562995,-0.2632606642775914,0.2557230373644255,0.2577095436192251,-0.24215416816276775,0.9304845499527088,0.22311941752943779
201.75,0.9292694151166234,-0.26429639519271797,0.25466156123098427,0.25667459216481425,-0.23217037164986026,0.933140710884018,0.21904013062047076
202.0,0.9296929092351593,-0.26532126851457216,0.2536447326468506,0.2556834749137906,-0.2220640876999075,0.9356996972848048,0.21495333969790031
202.25000000000003,0.9301311233535821,-0.26633521028582485,0.252673137306127,0.25473671742441384,-0.21183952272315718,0.9381568038172766,0.21085953011302866
