theta_deg,theta_rad,normalized_t_deg,small_target_q,small_mechanism_q,small_target_dq,small_mechanism_dq,small_target_ddq,small_mechanism_ddq,small_hp_window,large_target_q,large_mechanism_q,large_target_dq,large_mechanism_dq,large_target_ddq,large_mechanism_ddq,large_hp_window
168.0,2.9321531433504737,192.0,0.6742884414919617,0.6701290190108976,0.8590592777507565,0.7792671682820183,0.3966747004482583,0.4744300136344848,0,0.011526166640242419,0.027699956542204474,0.104005981452378,0.15304830339866057,0.5101714171444834,0.333715122092226,0
168.25,2.9365164664804593,191.75,0.6780404773408442,0.6735336865007518,0.8607257660880709,0.7813073260829675,0.36710217837768555,0.4605013133111169,0,0.01198483889675761,0.028370922265053777,0.10623481621832766,0.15449740039132726,0.5114390547952496,0.33051243304143835,0
168.5,2.9408797896104453,191.5,0.6817995014999358,0.6769471219526022,0.8622621177934238,0.7832858003455367,0.3370271888449664,0.4461522894770757,0,0.012453248116010895,0.029048180444607774,0.10846902366036948,0.15593256848633577,0.5126341513544577,0.327330907170806,0
168.75,2.9452431127404313,191.25,0.6855649414098348,0.6803690521941869,0.8636661761296109,0.7852007392913104,0.30646609126004687,0.431374793521192,0,0.01293141705172407,0.029731670508092556,0.11070828831715274,0.1573539014281625,0.513757192173435,0.3241711821243625,0
169.0,2.949606435870417,191.0,0.6893362152563276,0.6837991958957865,0.8649358557408212,0.7870502555740645,0.2754352450328784,0.41616067705541887,0,0.013419367085779843,0.03042133229781041,0.11295229684507219,0.15876149572041193,0.5148086626035102,0.3210338849223511,0
169.25,2.953969759000403,190.75,0.6931127322818501,0.6872372634149924,0.8660691426526335,0.7888324263072833,0.24395100957340812,0.40050180461379403,0,0.01391711823746089,0.031117106083068058,0.11520073801826643,0.1601554505793443,0.5157890479960109,0.31791963190855105,0
169.5,2.9583330821303884,190.5,0.6968938930969464,0.6906829566418519,0.8670640942720204,0.7905452931494094,0.21202974429158478,0.3843900672470978,0,0.014424689172692018,0.03181893257192547,0.11745330272861958,0.16153586788717825,0.5166988337022657,0.31482902868647306,0
169.75,2.9626964052603744,190.25,0.7006790899917299,0.6941359688444187,0.8679188393873447,0.7921868624499955,0.17968780859735756,0.3678173970031802,0,0.014942097213278549,0.03252675292271401,0.11970968398575957,0.16290285214506162,0.5175385050736021,0.31176267005934183,0
170.0,2.9670597283903604,189.99999999999997,0.7044677072473438,0.6975959845151664,0.8686315781683628,0.7937551054613197,0.14694156190067015,0.3507757823451074,0,0.015469358346149154,0.03324050875536566,0.12196957691706033,0.16425651042585038,0.5183085474613486,0.30872113996645967,0
170.25,2.971423051520346,189.75,0.7082591214474175,0.7010626792184029,0.8692005821662209,0.795247958619086,0.11380736361148487,0.3332572845139701,0,0.016006487232593347,0.03396014216253285,0.12423267876763783,0.1655969523265241,0.5190094462168328,0.3057050114157597,0
170.5,2.975786374650332,189.49999999999997,0.7120527017895342,0.7045357194390984,0.8696241943134584,0.7966633238968318,0.08030157313973249,0.31525405491586933,0,0.01655349721750521,0.03468559572049024,0.12649868890035662,0.1669242899203763,0.5196416866913834,0.30271484641873797,0
170.75000000000003,2.980149697780318,189.25,0.7158478103966814,0.7080147624334654,0.8699008289240062,0.7979990692383585,0.0464405498953813,0.2967583534842893,0,0.017110400338620435,0.035416812499843964,0.12876730879582168,0.16823863770886208,0.5202057542363278,0.2997511959223388,0
171.0,2.9845130209103035,189.0,0.7196438026287202,0.7114994560815268,0.8700289716931868,0.7992530290723808,0.012240653288363287,0.27776256810130184,0,0.017677207335759393,0.03615373607601269,0.1310382420523864,0.169540112573194,0.5207021342029946,0.29681459973929725,0
171.25,2.9888763440402895,188.75,0.7234400273938385,0.7149894387421951,0.8700071796977149,0.8004230049144399,-0.02228175727136555,0.2582592350789902,0,0.01825392766006617,0.03689631053951148,0.13331119438614641,0.170828833725582,0.5211313119427117,0.2939055864758327,0
171.5,2.993239667170275,188.5,0.7272358274600146,0.7184843391110927,0.8698340813956965,0.801506766060286,-0.057110322373857964,0.23824106073172652,0,0.018840569483249192,0.03764448050601388,0.13558587363094315,0.1721049226601981,0.5214937728068069,0.29102467346125016,0
171.75,2.997602990300261,188.25,0.7310305397664763,0.7219837760817197,0.8695083766266297,0.802502050376046,-0.09222868260916466,0.21770094404880677,0,0.019437139706821926,0.03839819112619969,0.1378619897383621,0.17336850310380209,0.5217900021466085,0.28817236667313373,0
