index,label,feasible,small_60_deg,small_90_deg,large_150_deg,large_210_deg,small_60_flattening_fraction,small_90_flattening_fraction,large_150_flattening_fraction,large_210_flattening_fraction,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
13,sobol,True,-0.7827874508313835,-0.938130942210555,-0.841398151461035,-0.7711297682113946,-13.297592011449014,-0.025895314896862257,-0.18382031384352251,-0.7083106667502814,0.16797478481633074,46.39810536746583,276.2206566789121,-229.89110936404117,806.242183225892,0.0392381095642578,0.015496694069264641,0.03893364777085931,0.05340677707786673,0.021647167966793678,0.00044012663651210246,0.0005189320178150273,0.0012823464936099766,0.001105969807121793,23
14,sobol,False,-0.8231767219118774,-0.8121611638739705,-0.91248469164595,-0.7593306056410074,-10.639047089624794,-2.114690748858451,0.3467768455652567,-0.7963808151491811,0.16139703812913053,38.952172933994305,241.34379035400548,-202.400824259884,951.7702132060823,0.04119172181202236,0.01829387264169109,0.03819313186257573,0.04975498330245008,0.022160501238571072,0.0004640476147380065,0.0005170058042057437,0.0009460040817589344,0.0008024383915179043,22
15,sobol,True,-0.9878148053772747,-0.9826538119837642,-0.7214056115411223,-0.9057651939988136,0.19793335162883888,0.7123703891250738,-1.0794568248642253,0.29662183232435196,0.16500330347748782,50.05860037253075,303.3793828216323,-253.2373785777141,710.6505228503707,0.03797396550846712,0.013659337072530257,0.03693220000733024,0.045360474684905665,0.02115024311237289,0.00041113076456345514,0.0005266900352207826,0.000665465222606074,0.001023577242736485,22
16,sobol,True,-0.9228296869248152,-0.7224246356636286,-0.8923965244553983,-0.6996623662114143,-4.079585207981148,-3.60267662023543,0.1968367243931022,-1.241750617448033,0.15157401356138364,44.15193763315309,291.2896254163823,-247.20527176353343,840.2958008942561,0.03901615972622211,0.01615123498257541,0.03761939664814774,0.0637554230756935,0.021386176802580818,0.00046513368473461396,0.0005331606757491477,0.0011625780789384157,0.0011990299286987107,25
17,sobol,True,-0.867537047304213,-0.901910612732172,-0.7014098553918302,-0.8707912544161082,-7.7191152699287455,-0.6264906309327433,-1.2287071806340568,0.03557279339735008,0.1592022637860604,45.15766486339196,283.649640334737,-238.55989128572406,723.3130545165768,0.03935475091658399,0.013902722228326045,0.037926144828687655,0.04683860307320689,0.02161621518176667,0.00043532366756456265,0.0005345403433458122,0.0008146666244342061,0.0013014352122950545,23
18,sobol,True,-0.8728893033787608,-0.7352713533118367,-0.9667078139632941,-0.7888217381946743,-7.366813462378573,-3.389655961476538,0.7515037404319567,-0.5762560050231148,0.15399081018270566,40.47687016878437,262.85250477453644,-222.39872795428386,987.714990881362,0.04007803470813644,0.018984763337577037,0.0406727645450538,0.05204376026236637,0.021720216467860463,0.00047092724004779815,0.0005032754469378022,0.0010745980820381187,0.001112912774265185,22
19,sobol,True,-0.9312272210419178,-0.9054617248103023,-0.7755360510200262,-0.9716408043168485,-3.5268339182048174,-0.5676070892433618,-0.6754217241216217,0.7883240816973814,0.1633885368142094,48.31353125708182,295.69719026261663,-247.40233618650413,695.2917830723329,0.038856266004108256,0.01336412839134046,0.03352548381489406,0.05152904555326164,0.021465306230659034,0.0004283335372566114,0.0005055805477645437,0.0005282174138433759,0.0011312592197162575,32
20,sobol,True,-0.9932079888321459,-0.8200915572792291,-0.850233843550086,-0.6582933323644102,0.5529291240912614,-1.9831911959247108,-0.11786981025077707,-1.5505332898021444,0.15940289837898372,48.279260360153344,302.87567447718794,-254.50784902258715,710.59322478542,0.0393707577078697,0.013658235752602107,0.036086587296915835,0.06869164512151393,0.021074990015503055,0.00043296631861040896,0.0005466160516526234,0.0009835330775217832,0.0016190336372837251,25
21,sobol,True,-0.8315337482653559,-0.9998883558809757,-0.658968944773078,-0.8167877428047359,-10.08896214431066,0.9981487486195019,-1.5454904501314024,-0.3675149048442042,0.15309950181601964,45.63866912676828,298.0980903622565,-252.54437476170284,833.8585816967093,0.038138855839109795,0.016027505886484154,0.04156951700886561,0.05495338328520601,0.021298978038170827,0.0004197922326978442,0.0005485859975675532,0.0014471862791620505,0.0017875436465439006,33
22,sobol,True,-0.7894154596887529,-0.8389805271849036,-0.730478087104857,-0.8999878554418683,-12.861316267466213,-1.6699796096838548,-1.0117389453556553,0.253499190270259,0.1506399524877219,41.56135685803786,275.89863227967606,-234.35585059838152,764.1736077377457,0.040469076179842974,0.01468809851592715,0.0360487803205176,0.052176005997214454,0.022031908200617407,0.00045655962100490526,0.000525073639197209,0.0011277618776293675,0.0010085868415501296,22
23,sobol,True,-0.9528252283670008,-0.9394966915622354,-0.9216472226753831,-0.6701035487279297,-2.1051872491875003,-0.0032488432796509642,0.4151669082207981,-1.462380634768073,0.17574016732469686,48.13150712437088,273.87880560875584,-225.7698986694192,782.5008739464787,0.03939106169088894,0.015040364923554612,0.041054753237073596,0.06304234845427313,0.021200147960463555,0.00042071322173012517,0.0005371381840092819,0.0005398860142903271,0.0011990041786628489,32
24,sobol,True,-0.9166225568950176,-0.7842461362481117,-0.704458218254149,-0.9360334658250212,-4.488157424769446,-2.577569885535247,-1.2059538904698972,0.5225472889497768,0.14959661162701093,46.77478833081414,312.6727792968845,-265.9184715018877,634.1285265669485,0.03867160788358078,0.012188516033089115,0.03607354979236059,0.051046679808454606,0.021471418631372897,0.00045330458641196426,0.000527286645080322,0.0008894165543337647,0.0010233886083619384,32
25,sobol,True,-0.8599933381006122,-0.8937513550370931,-0.8957197648659349,-0.72941874910146,-8.21566520159209,-0.7617851471496302,0.22164172850887917,-1.0196459518577858,0.17492306736436394,44.74338673173315,255.78894428219056,-211.08598429032133,832.895734365478,0.03978097086453629,0.01600899910175131,0.03884104139085039,0.05528991018206199,0.021692406413339603,0.00043758422246429533,0.0005257141003938575,0.0008423949647651859,0.0010356765974593933,22
