index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,h_l_low_before,h_l_low_after,h_l_high_before,h_l_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,cross_symmetry_rms_h,cross_symmetry_max_abs_h,delta_cross_low_before,delta_cross_low_after,delta_cross_high_before,delta_cross_high_after,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,minimum_normalized_bound_distance
237.0,sobol_233,True,68.53845525672659,236.79600313678384,366.3845552513376,0.032968735974282015,-0.48763166051357987,-1.459271114319563,-0.5912119193468243,-0.26426684129983186,0.31847138199955227,-0.4221072329208255,-1.1102659451775252,111.46154474327341,56.79600313678384,129.58855211455375,62.153900005389005,0.26542635815274584,0.3490051691420377,0.223364819213748,0.28550264602527026,0.16910468642599874,0.3490051691420377,0.19768256544977936,54.367990617729696,275.02673538269977,-220.6218192658596,433447.2889746106,582.9696169994174,567.6954767133514,0.04340220921795964,0.010911613545116765,0.02951488055387525,0.061945116521345295,0.012678059962422312,0.0005004893867199989,0.000534661644980194,0.0011703886160989716,0.0011229328787911255,22.0,True,True,True,True,True,0.03318801894783974
238.0,sobol_234,True,72.18797648977488,234.46282321680337,367.8321072133258,-0.2806840946897864,-0.30371837522834544,-1.342755606584251,-0.8217546377796681,-0.1812000323086977,-0.030843106005340792,-0.5172702988609672,-0.8945865091867745,107.81202351022512,54.46282321680337,133.36928399652243,64.35586927644908,0.3045478273142926,0.44816909739747646,0.12251834291964775,0.2498409886844456,0.30448433891870086,0.44816909739747646,0.20031465358455666,54.23257938620111,270.7369551639341,-216.46151320238457,449944.86948011274,583.5671818300831,582.91937954351,0.03975781271593165,0.011204230539870411,0.03035503959487362,0.06325713674122904,0.011359456190734168,0.0005131337524553438,0.0005129479703431336,0.0011986603828733342,0.0010251842809310832,22.0,True,True,True,True,True,0.09902272187173371
239.0,sobol_235,True,73.52570500131696,236.67584412917495,362.6764660300687,0.3433496116660535,-0.007771060056984358,-1.6618429072201253,-0.41483063334599135,-0.046188107319176164,-0.48079498745501037,-0.7013743945397437,-1.2521654068492354,106.47429499868304,56.67584412917495,126.00062190089375,70.84923897124827,0.4823466521004285,0.8241445991210639,-0.038417047262191806,-0.8241445991210639,-0.28654376119375236,0.4096775003708899,0.1879836011167504,40.743076332472675,216.73739672200716,-176.00358840781774,573830.1002206814,591.2560651661928,561.4965193853318,0.042965595470442874,0.010792464054728676,0.023006882230545613,0.08975517810827328,0.012587255848273747,0.0005818863786739661,0.0005658459127842823,0.0013473435227597161,0.0011488424475183958,32.0,True,True,True,True,True,0.009500554762780666
240.0,sobol_236,True,73.92308389348909,233.1554283099249,365.0017608506605,0.2474075715057552,-0.03468132894486187,-1.5930465191602707,-0.7759089312981815,-0.16150417756289243,0.07875459287315612,-0.364707670127973,-0.9801632285118104,106.07691610651091,53.1554283099249,131.8463325407356,68.92132304282859,0.3838099358006821,0.6128832906484604,-0.12682284861803056,-0.1686529786325991,0.4112012611702085,0.6128832906484604,0.19647704178156555,47.426611976793794,241.38500634349225,-193.90143743050731,531393.6540751443,589.3259146835948,592.6837615566354,0.043740478747306105,0.011391910673682563,0.02595940276853831,0.08223773572693585,0.012530705910479301,0.0005831716946532922,0.0005194613467068147,0.0013779032579764648,0.0010371158122131163,30.0,True,True,True,True,True,0.08627689350396395
241.0,sobol_237,True,70.02171860216185,235.4432335011661,370.00626733433455,-0.17854805011302233,-0.34942787382751705,-1.4211009448394178,-0.46212982330471275,0.008813913911581095,-0.5419004100374877,-0.9247530619148165,-1.3950907556340097,109.97828139783815,55.443233501166105,134.56303383316845,60.0154512678273,0.34462258587830014,0.4626232386101038,0.35824178773909815,-0.36335235992446535,-0.4626232386101038,0.026010189205408096,0.20261805933280458,51.31525451034143,253.26101078707407,-201.89043561736534,493976.3768302752,584.6076485673813,606.7503385577727,0.03861369641313016,0.01166228283346734,0.027105655703973105,0.07558643328445401,0.01101121054956917,0.0005123342475203785,0.0006195027710434897,0.001192064671192256,0.0013293818240016696,27.0,True,True,True,True,True,0.061157463118434
242.0,sobol_238,True,67.75150795746595,231.31559553463012,364.0710069304332,0.12002407824620603,-0.4606891872361303,-1.2284359708428383,-0.9742742463946343,0.07547015566378834,-0.23830598033964634,-0.8353486987296492,-1.629280424490571,112.24849204253405,51.31559553463012,132.7554113958031,63.68050102703273,0.3859546138081453,0.5361593428999186,0.5361593428999186,-0.3583300585858524,0.1389255476649851,-0.4008444536477327,0.1899404696316996,48.98630318756101,257.9034540798333,-208.86135427526162,536110.9925241038,594.9948094177817,677.9725089436887,0.042139174867703466,0.013031236490795815,0.025882055418204816,0.06518662068561488,0.01135618852297175,0.0004798537113688619,0.0006436071456980975,0.0011222637480930292,0.001362556644150668,26.0,True,True,True,True,True,0.04739328473806392
243.0,sobol_239,True,76.9751639449969,238.10332133248448,366.92865963932127,-0.13351248633116483,-0.1554601391777396,-1.7760200819000602,-0.6376999226864428,-0.396617191284895,0.20236867060884833,-0.6444502127822489,-1.1993582727387548,103.0248360550031,58.103321332484484,128.82533830683678,70.04650430567563,0.3548088513305236,0.5766618091613054,-0.24115705210715538,0.3358811569400132,-0.006750290095806077,0.5766618091613054,0.19368898645832136,46.1488037895051,238.26240527845167,-192.09634850835658,545224.3124350524,588.9183151141999,600.087991549503,0.04291184110859962,0.011534226580000995,0.025996311886799437,0.0892222763660903,0.01235077389349212,0.0005970785197060587,0.0005400231400411264,0.0014406305660243993,0.0011777123608790502,32.0,True,True,True,True,True,0.0056380145251750755
244.0,sobol_240,True,77.43449591984972,231.43194553721696,365.96131067350507,0.27080271514132614,-0.27207623310387136,-1.4054199982434512,-0.5132762397639453,0.06271041631698615,0.34485756461508565,-0.7798210614826531,-1.223562613222748,102.56550408015028,51.43194553721696,134.5293651362881,71.47318524634466,0.23541690244789737,0.3347866494208575,0.3347866494208575,0.07405484947375951,-0.26654482171870775,0.18185738502070325,0.19755386950397943,47.30342931843057,239.44572403061792,-192.1545285447461,531954.978396137,589.0173369351181,657.1872592684203,0.045374198442323814,0.012631725447994586,0.025835133315918926,0.07623148137740669,0.012686736441465434,0.0005535546773748221,0.0005821882499761493,0.0013665850837482044,0.0011774740011726416,32.0,True,True,True,True,True,0.005413089878857136
245.0,sobol_241,True,68.27173517411575,238.2856579683721,368.9769500531256,-0.32879255898296833,0.03324550986289987,-1.6084018992260098,-0.7267993843648584,-0.36540071573108435,-0.3333173128310591,-0.5839804908726365,-1.594542900007218,111.72826482588425,58.28565796837211,130.6912920847535,59.29478512099013,0.2118540740553534,0.3986462255939842,-0.3986462255939842,-0.004524753848090757,0.14281889349222188,0.013858999218791856,0.20129153315545317,48.48448925000923,240.86700761807847,-192.36507622003626,522522.28358474246,586.3976682876264,610.1720544807008,0.03859718091893387,0.011728051266269237,0.025475790858824288,0.08269040826136592,0.011075366851838176,0.000553309079202236,0.0006203410379911055,0.0012158454920695577,0.0014227973643839908,32.0,True,True,True,True,True,0.027924150228500255
246.0,sobol_242,True,69.82995692547411,232.95558221358806,363.0953160598874,0.05082815596833823,-0.22347506508231163,-1.7911334428936243,-0.6892813962418587,-0.1505342975258827,-0.44781341268680985,-0.31000369177199905,-1.364802680630237,110.17004307452589,52.95558221358806,130.13973384629935,66.7346408655867,0.38064854706231144,0.4986415686551481,0.07294076755642892,-0.4986415686551481,0.37927770446985964,0.4263307622633874,0.19976653666825886,47.615780235772725,238.35713943845158,-190.6823197851667,520569.7681030259,588.5738923890035,522.8619348342659,0.03935396593475288,0.010049872870916526,0.02459934476544107,0.08343386079740717,0.01158878770100826,0.0005876505652740505,0.0005766508548016679,0.0014132152081547816,0.0012120160742407893,30.0,True,True,True,True,True,0.013338255695998669
