index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2
31,sobol,True,1.6543332245200872,0.8836908090859652,0.20053242233199703,58.04855899434201,289.47218768563073,-231.42090802871854,487030.53258298617,591.4600406789654,0.010150357094647552,528.0897995361536,0.04047182468223259,0.018479261480795144,0.056683976068833374,0.016585694963249215,22,True,True,True,True,True,0.07003343983801703,0.03740957758463919,4.746698572813143e-05,3.712050004048433e-05,241.90942717123121,130.1517850587794,20.00742514841267,10.68731344754117,0.2692210391288659,0.14380909139981007
32,sobol,True,1.6256325584836304,1.3613333959132432,0.18965854334935286,58.68237786215536,309.41067470955875,-250.72467358946344,472821.6166089536,589.339908590868,0.010036347851296527,522.1582724080824,0.0405257759162483,0.020190737155071376,0.04284761170377516,0.025310249664488686,22,True,True,True,True,True,0.06881844497580702,0.057629780426993966,4.708165652171232e-05,4.3533230626608724e-05,237.74729088201013,199.4189421827981,19.66032069634523,16.463899543980855,0.26455038208136145,0.22153915911040872
33,sobol,True,1.098100658506155,0.49731587804853916,0.20508731546936684,48.86997726073552,238.2886389091921,-189.4408261679651,502490.37173688255,587.3917488158528,0.010340455572882833,537.9800000805594,0.0407738233131557,0.02330074205719938,0.08581394082612286,0.009642354507829218,24,True,True,True,True,True,0.046486261210093895,0.02105303883738816,3.999912233519269e-05,3.193311012528948e-05,161.24524518631196,74.12015430591033,13.280375685411249,6.0145139187781895,0.1787014828508205,0.08093163788229676
34,sobol,True,0.528930441942066,1.190226311981678,0.18651544562893815,44.38139497219836,237.9502395769014,-193.6596086154991,467319.7634610547,568.8273624729169,0.010156793854428853,528.4246830432927,0.04186424354989576,0.04707339615420356,0.045823405317246386,0.02246075407409975,27,True,True,True,True,True,0.022391388708880793,0.05038624720722437,3.235756072169393e-05,4.123598230560152e-05,78.70486058004357,174.60519735646784,6.396858909088675,14.39453883515687,0.0860764935962901,0.19369372491638204
35,sobol,True,1.4545105835422873,0.8512365996837616,0.20195732116070275,57.02011876224747,282.33746830537063,-225.30939287008374,488525.94864921627,589.421512068656,0.010189190194498767,530.110158398859,0.04059428086061516,0.020538348128275322,0.0584128721503263,0.01601441692474217,22,True,True,True,True,True,0.06157428136995683,0.03603568271994591,4.4784208277087556e-05,3.668477653713337e-05,212.9313865792377,125.44531439641541,17.590779896376908,10.294813825493222,0.23670252457075824,0.1385275943894954
36,sobol,True,1.37611067853868,1.043250050023198,0.19826206490204606,57.55536382308127,290.29942693029676,-232.7357826388268,482297.596234958,587.4043482160248,0.010160134996394966,528.598511705147,0.04067521325307698,0.022395964940391748,0.05106246830977977,0.019525780047738323,22,True,True,True,True,True,0.058255352058137456,0.04416425211764872,4.373162736694421e-05,3.926270940974016e-05,201.56192604921011,153.29087549458492,16.64261527769353,12.617015107686044,0.22394396808417222,0.16977526557260797
37,sobol,True,0.8020573020912707,0.707770973816514,0.2035946817664487,49.714552471720545,244.18394449394322,-194.47772933205368,490540.28921235946,578.1946202047675,0.010292907678907772,535.506239052891,0.04120908492791169,0.032401762006365055,0.06646244501774333,0.013518393637103887,32,True,True,True,True,True,0.03395375912186379,0.029962304558232428,3.602450545877259e-05,3.475863671537358e-05,118.31339143239424,104.64010078501725,9.700041804446066,8.559747559298991,0.1305243085911829,0.11518044503483135
38,sobol,True,0.9772074157372117,1.2049725607037545,0.19392499727329734,54.150075937763326,279.23205723422,-225.03011679663734,475798.84054514405,579.2370862973136,0.010161973346131442,528.6941550145164,0.04106625961220645,0.030364440149964436,0.046553501176445536,0.022558438503883744,22,True,True,True,True,True,0.04136844726620863,0.051010505069792274,3.837603466055763e-05,4.1433962391168834e-05,143.71345159618838,176.74368072330233,11.81829871699989,14.57287924635934,0.15902769285524396,0.19609348352931916
39,sobol,True,1.9500418188981712,0.34448481202125547,0.1951161732541399,44.40902959282633,227.60301646026707,-183.1922532942837,508430.17011702544,598.2900961667385,0.010229229007788417,532.1932465785789,0.04016743835035727,0.012617973011043313,0.11000274937608395,0.0068460168569211026,22,True,True,True,True,True,0.08255177033335591,0.014583190375566482,5.143710815867994e-05,2.988123184087352e-05,284.7927341346371,51.95677575488671,23.583710433668987,4.166182477100211,0.31734373525672654,0.05606038594998206
40,sobol,True,1.8190556205809116,1.0563632894307375,0.19624405319954322,59.336560833594,302.3610645325385,-243.0262173885927,481023.57254765683,592.2513013681702,0.010086454478350479,524.7651559284965,0.040396357673332974,0.01755658622317264,0.05011941760764009,0.01972019902867593,22,True,True,True,True,True,0.07700668793792526,0.04471937925256789,4.9678514550248215e-05,3.9438765049984624e-05,265.79727219271354,155.1925418021903,21.999569754231228,12.775605984065056,0.29602744909391776,0.17190927333314696
