index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
21,sobol,True,79.29782160744071,245.62479631230235,367.85073256120086,-0.964423505589366,-0.8541881423443556,-0.6306882094591856,-1.020111268758774,100.70217839255929,65.62479631230235,122.2259362488985,71.44708904623985,0.15789920483022268,53.754626474922084,340.4363342596972,-286.65318602544767,672.7605059938188,0.04122288742883731,0.012931057144090003,0.04812206931687207,0.056962770253062796,0.016507208639071812,0.000402649239691733,0.00046313238215207626,0.0009030247742871729,0.0010035393571219463,22
22,sobol,False,79.96425046771765,239.9716141242534,362.2889463044703,0.08529838174581528,0.6339650508016348,-1.0887415062636137,-1.2472651876509189,100.03574953228235,59.97161412425339,122.31733218021691,77.67530416324735,,-11.685865136191959,157.3781478311092,-169.06163809509567,753.3442748522473,0.053004202605440684,0.01447994907622737,0.021211941873044947,0.1084666375279483,0.021611428396300203,0.0005719737994324945,0.0006130875526261191,0.0010992018195847622,0.0010847440881798637,22
23,sobol,True,70.65782232582569,246.32512576319277,365.97011380828917,-0.17816846258938313,-0.4614890143275261,-0.3439381454139949,-0.707669784128666,109.34217767417431,66.32512576319277,119.6449880450964,64.68770851753652,0.17139649150744965,57.1114998500086,333.2127708549173,-276.08187366179607,650.8790218766829,0.04039610783757745,0.012510475497285097,0.04435844491116813,0.039949019928066466,0.020209525311373606,0.0003822913396668723,0.00045110164654282175,0.0006771296300184637,0.0007919716935143609,22
24,sobol,True,73.9339279383421,234.6204520240426,357.7610554965213,0.5036687236279249,-0.5277951825410128,-0.6487313423305751,-0.9385347660630942,106.0660720616579,54.620452024042606,123.14060347247869,76.1728724418208,0.16730461002965483,55.41234659753429,331.2063342887708,-275.78421191091235,661.7516782022199,0.04877999144643713,0.012719457652154428,0.04368802731300066,0.05138981947255498,0.022428463458424728,0.00043488919349648196,0.0005804958595511186,0.0008603265456614795,0.0009839964725348034,22
25,sobol,False,76.67639177292585,243.2256114780903,368.6093002324924,-0.7215882167220116,0.3259616792201996,-1.4037820648401975,-0.3976679239422083,103.32360822707415,63.225611478090286,125.3836887544021,68.06709154043347,0.08113636441508741,14.518032583730873,178.9337332081794,-164.41724846377076,604.7442806317251,0.034894678568852554,0.0116237246103776,0.021644607169218708,0.07753012061881875,0.017134689815945653,0.000558278670794359,0.0006458436182117269,0.0011675688058933788,0.0013125450624821608,22
26,sobol,True,74.92399855330586,233.86424811929464,362.68842674791813,-0.8594819791615009,0.23813266307115555,-0.9422462839633227,-1.121545436605811,105.07600144669414,53.86424811929464,128.82417862862349,72.23557180538774,0.16691630278834169,40.60871094593412,243.28786504112796,-202.70040606232283,683.0952260225913,0.036281436876494835,0.013129699683403178,0.027926032569095604,0.05721625803408333,0.016221961454754408,0.000515616567490849,0.0005502302159996539,0.0010358759393821247,0.001019583929494931,22
27,sobol,True,71.94807569310069,243.27649499475956,359.0090827550739,0.89180644787848,-0.9085988644510508,-0.48807474933564676,-0.5422518376260996,108.05192430689931,63.27649499475956,115.73258776031435,72.93899293802679,0.14491709258033048,51.052960241244556,352.2908121617529,-301.22612627987286,639.3016055505566,0.05014250670082374,0.012287947226436459,0.04621103111637825,0.0500209480340602,0.025221638381421285,0.0004854538259003329,0.0006091161053319898,0.0008760489503678731,0.0009345281831031074,22
28,sobol,True,68.8491813056171,237.52626200206578,367.20533131156117,-0.28566654585301876,-0.10010328888893127,-0.8022509928792715,-1.4129626460373401,111.1508186943829,57.52626200206578,129.6790693094954,61.64384999405593,0.18161395524353555,57.38820776151456,315.9900773294637,-258.58723794216985,620.001929103609,0.04176983648319073,0.011916990226472163,0.038520532110420086,0.04833719267867153,0.01741146483768913,0.00044573717627922595,0.0005423108915886661,0.000888155526716414,0.0011043471192429208,22
29,sobol,False,78.01113985851407,249.1901569608599,356.351585756056,0.44304078444838524,0.8039542566984892,-1.2479335505515337,-0.8321023508906364,101.98886014148593,69.1901569608599,107.16142879519612,81.65955410245806,,-80.33602194312297,76.9657297511106,-157.31631208060926,723.8086221582668,0.059377396329912784,0.01391224748053149,0.031547504140779184,0.1474440651511407,0.02583056672706138,0.0005685410580554663,0.0006308789995878814,0.0010336065237578538,0.0010690606080996983,22
30,sobol,True,77.28532864525914,235.45181132480502,366.4869599789381,0.8723997380584478,-0.3278864324092865,-1.4538320660591126,-1.1401055674999951,102.71467135474086,55.45181132480502,131.03514865413308,70.79836866632104,0.17495891034061367,53.278685814858456,304.5211341973632,-251.2070050543571,595.2486641183617,0.05367195800242427,0.01144121038925625,0.03467521732239983,0.05493083696660129,0.02207283246754788,0.0005427640098036271,0.000617456068211096,0.0013215575630446373,0.0013072966223967532,22
31,sobol,False,68.0750304274261,241.84055203571916,355.19581525586545,-0.902831643819809,0.5297842752188444,-0.7088890470564365,-0.5242227125912905,111.9249695725739,61.840552035719156,113.3552632201463,72.87921517156065,0.08486966801756164,16.892395845709846,199.03925914043154,-182.14778070422733,739.0740521585429,0.035984470767252606,0.014205662664544228,0.023709586957603477,0.07396875804695915,0.01791436644030754,0.00048519414705427174,0.0005431104952586699,0.0007625337273833887,0.000994366647729813,22
32,sobol,True,71.36285514757037,239.1050449963659,363.87365175876766,0.29083092510700226,0.4634742811322212,-0.39375353828072557,-1.4300762437283994,108.63714485242963,59.105044996365905,124.76860676240176,67.48920338880271,0.15624433557385628,41.180764071646806,263.5664449555726,-222.41488525930924,809.4987272970138,0.05228659565022684,0.015559287751712926,0.034157784896464226,0.06256077353793912,0.020926943955418064,0.00048588049456221497,0.000602712968928227,0.0008857768926668437,0.0011528545737696987,22
33,sobol,True,74.00918834283948,247.74543379060924,359.69788513612,-0.44619053043425083,-0.6358936075121164,-1.1489575803279877,-0.8154831379652023,105.99081165716052,67.74543379060924,111.95245134551078,74.31130320671946,0.1798517777104505,54.53263956863009,303.20878816346226,-248.65005719812513,590.7258799667255,0.04032905231613683,0.011354278442755024,0.03836598485813234,0.056006063135411434,0.02049429983016282,0.0004283088165989334,0.0004913228819487214,0.0009592198346846796,0.0010602770116734253,22
34,sobol,True,75.9974569901824,238.38413654826581,358.47753131762147,-0.08795985393226147,-0.8019651640206575,-1.3096874110400676,-1.305156158655882,104.0025430098176,58.384136548265815,120.09339476935565,77.51992567256093,0.16876745841984825,54.473332283541964,322.77153897777436,-268.287173195247,628.5746429316497,0.04564962912047226,0.012081765434592575,0.04115775253250409,0.05118445377331696,0.02058732943669534,0.0004736043655542257,0.0005670437460481765,0.0011801169812076823,0.0011607155821167982,22
35,sobol,True,73.11290349066257,247.7610170226544,369.7668517474085,0.18284456804394722,0.09817853569984436,-0.8553625658154488,-0.649284428358078,106.88709650933743,67.76101702265441,122.0058347247541,63.346051743254066,0.18438978774971573,46.76887632974104,253.64135888709563,-206.88458304604657,649.170250366902,0.045955448096941263,0.012477631384346974,0.03059301695045357,0.04804897036656843,0.021824710892862247,0.000446299659304376,0.0005450885498088807,0.0008195436269002298,0.001026910492230864,32
36,sobol,False,70.02572821080685,233.04175519570708,361.10182594973594,-0.5142056308686733,0.9066703077405691,-0.5496237650513649,-0.9949792038649321,109.97427178919315,53.04175519570708,128.06007075402886,68.92390226107091,,-14.13604883640695,161.7034699549083,-175.83674108906442,969.906674824378,0.04262227396540696,0.018642471614859605,0.024928481292096034,0.1257012488442037,0.01797870742397504,0.0005640505316826448,0.0006118758109569885,0.0007856667515860423,0.0009756311622119693,22
