index,small_lambda_target,large_lambda_target,adiabatic_sector_fraction,status,feasible,failure_reasons,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles
10,0.3969677854329347,0.649227990116924,0.440600660443306,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_mach;maximum_reynolds;valid_thermodynamic_model,,-106.49555486046967,157.62912643544922,-264.1204381578907,562998.8709229915,606.4856574536143,0.0664360634954765,3456.4505589461305,0.24193056641595465,0.05830779383220781,0.3050547161643711,0.09576417474953755,24
11,0.06084084594622255,0.30067488169297574,0.1742993202060461,converged,False,minimum_motor_power,0.032949993759132816,14.585917040698893,442.6682793120738,-428.0894619327251,308852.93024636817,582.9552641720229,0.012497215199142493,650.189132041023,0.04272502669900158,0.04939723930519947,0.09311957777622032,0.01589259288924922,22
12,0.7930100926198065,0.7912866610102355,0.2663342207670212,converged,False,minimum_motor_power,0.035710932470651734,8.319410223581983,232.96535956934508,-224.6436319526399,799636.768590397,604.1786086634343,0.013554845792790843,705.2141841623495,0.06862557365662844,0.01997561666464523,0.1481931204339701,0.02438616769086602,23
13,0.8660229752771555,0.4592395475134253,0.3590405646711588,converged,False,motor_efficiency_unavailable;minimum_motor_power,,-42.993339527019515,219.82814531063934,-262.8178778729319,1095107.776667326,615.2264246074835,0.04167071832000277,2167.9908479024684,0.11495577550610635,0.05989146956436534,0.1827440572928859,0.04183808011064979,23
14,0.2479982445947826,0.8443203495815396,0.05029424354434014,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_reynolds;valid_thermodynamic_model,,-3.319594203815752,274.50743632680246,-277.8230819355445,965744.7583096154,654.2638555547514,0.04626666787415038,2407.103034409475,0.041257506467716414,0.0826035381101764,0.17492680835012492,0.012102468683467852,23
15,0.36626627054065464,0.09503373447805644,0.3347718480974436,converged,False,motor_efficiency_unavailable;minimum_motor_power,,-5.646823622695198,370.7264006901505,-376.3660640319866,290484.3151936867,592.3204980971645,0.021213645378470036,1103.6764156065663,0.0790974699040642,0.0680496313294702,0.14045377328103187,0.031967428756507835,23
16,0.5341811379417777,0.5890999374911189,0.23081065937876705,converged,True,,0.14188266114176054,48.41436772431583,341.228218689408,-292.8045531814142,461021.4171793868,593.0388301725973,0.010212365330975923,531.3158847651655,0.05196579520961227,0.032758677091091835,0.06429902575283913,0.02021260665983754,22
17,0.5096379456110298,0.07277542045339942,0.43273603059351445,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_mach;maximum_reynolds;valid_thermodynamic_model,,-100.69861167253738,212.23837349282738,-312.93345607415324,422493.550124313,604.6686588865992,0.060777492484832336,3162.0536620874072,0.2006031112293221,0.08653165630361301,0.32333763458251374,0.08160556076474626,23
18,0.3415891823358833,0.5700546885840595,0.12662642225623133,converged,True,,0.12783214920607763,49.1750638379433,384.68463640291617,-335.50809945409765,460932.4376621062,596.240389737979,0.010381861119637613,540.1341949213446,0.037511135207040816,0.032306688201933643,0.065772364358255,0.014247849046001845,22
19,0.2304626703262329,0.49586463300511235,0.2616899821907282,converged,False,minimum_motor_power,0.0763791781264711,28.67248860352499,375.39666315927303,-346.71772542596955,405678.94260671816,588.0250289941229,0.01697953283518749,883.3894224154926,0.05719624308387883,0.050460335736415673,0.0882157203907022,0.02241798714235711,22
20,0.8484015703201293,0.8771272636018693,0.15392019376158717,converged,False,motor_efficiency_unavailable;minimum_motor_power,,-34.569782951305775,184.97718806217225,-219.54073973378303,1017622.649487076,614.6695202062932,0.027550262369843266,1433.3498217250794,0.049562931101002,0.05765749159379643,0.30920103726688297,0.016252385224090532,23
21,0.8106585325673222,0.32411764580756425,0.07069890461862088,converged,False,minimum_motor_power,0.07430298087772848,22.825306842980975,307.1923437438109,-284.39819950637286,887813.3196770963,603.6721587487915,0.04391226068188091,2284.610947618982,0.054123867096279574,0.03584493802084871,0.32128195552378014,0.012598937280527724,23
22,0.0783485235646367,0.8109121119603514,0.3637103855609894,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_reynolds;valid_thermodynamic_model,,-27.553287193171965,244.1405986246571,-271.69034207770903,894539.4175706878,650.0349783048694,0.06136782752391902,3192.7668586324676,0.112624377124296,0.05006959953085879,0.21952125554005844,0.042496697041970774,23
23,0.421616122033447,0.237427238933742,0.24799497686326505,converged,False,minimum_motor_power,0.06840423751934112,27.345410802922324,399.76194157840706,-372.42156505263347,310114.392987329,590.092860747322,0.013359950293274166,695.0744103287243,0.05374555700203638,0.04644166400026831,0.09509931515775479,0.020932243031170004,22
24,0.7038162677548826,0.6152366260066628,0.34266659021377566,converged,False,minimum_motor_power,0.06322596008184775,17.063112112783838,269.8750970439226,-252.8167507372404,603991.6613454999,599.8366813996463,0.019373265598451074,1007.9274897275847,0.09473384646166218,0.036177144584485094,0.08237867379963319,0.036236874187166,23
25,0.6556552619673311,0.4095967251807451,0.20659205205738546,converged,True,,0.12770016563879147,44.99818793135025,352.3737632309003,-307.3636399082667,519350.592603496,592.4327606402893,0.014311269172702281,744.5684125246731,0.04774116452839121,0.03497319257136885,0.07460839490981702,0.018420501740389197,22
26,0.48609244534745805,0.9073493495583533,0.30274074152112007,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_pressure,,-52.42174475723575,203.9211079894535,-256.3371282470174,1270062.097577422,655.7870873301083,0.031012789245804872,1613.4937424526881,0.08636219027443179,0.056560850491275204,0.205992321792541,0.02943978940943503,23
27,0.1543604712933302,0.1585674189031124,0.08701313622295856,converged,False,minimum_motor_power,0.02977276591820557,14.117576371211456,474.1775221689693,-460.0811192459828,255988.18972621948,566.8870133622113,0.008037482168399763,418.163844632012,0.03298315138263965,0.03868767801704539,0.08530861438357368,0.012423618376279337,23
28,0.7738134246319532,0.5403051223605871,0.3785719580948353,converged,False,motor_efficiency_unavailable;minimum_motor_power,,-16.873355370456945,239.5607172894798,-256.43201455659835,766251.407581166,605.0792325935452,0.03208950562504742,1669.5117654216854,0.1264418898793218,0.045652492017253285,0.10442699645269318,0.04818256545361506,23
29,0.9171353740617633,0.21100286925211548,0.2968032103031874,converged,False,motor_efficiency_unavailable;minimum_motor_power;maximum_pressure;maximum_reynolds;valid_thermodynamic_model,,-65.47834004145862,205.31273336358925,-270.78764567934206,1420802.5667560184,630.0830436276806,0.0483878850782249,2517.4630106770146,0.0826687638458369,0.08879752464293499,0.28399503011997834,0.02835821149580736,23
30,0.18683380316942927,0.69814623715356,0.18758080750703815,converged,False,minimum_motor_power,0.0948744574358971,32.68953103484575,344.5556572160928,-311.91742994878933,622971.6424735347,627.2835822960756,0.018863780772260374,981.4206646749336,0.0452913205109646,0.034786896942896,0.07140108275547602,0.01730455117400075,22
31,0.30070686368271704,0.3501939435489475,0.4226321499794722,converged,False,motor_efficiency_unavailable;minimum_motor_power;valid_thermodynamic_model,,-67.116419317048,236.756589916381,-303.87023083917387,324012.131793729,599.7050793223793,0.04120759715715666,2143.896172240534,0.1723822924711352,0.08230717450067661,0.27025284052745924,0.07088673652478829,23
32,0.5808985712938011,0.7283539489842951,0.117999567091465,converged,True,,0.14439933691130388,45.234522680685494,313.2599058157063,-268.04643839387126,640927.1551934064,598.1256693266724,0.00852972458477181,443.7736036346958,0.038780821326991406,0.028949177594381335,0.11270212295020966,0.01426066377439623,23
