theta_deg,E_x,E_y,E_speed,E_projected_velocity,E_projected_acceleration,target_velocity,target_acceleration
18.25,2.1768571534713335,-0.2152525548188281,0.9591696903198573,-0.949342877127792,-0.3190086244835933,-1.226798933085033,-1.1845626494262658
18.5,2.1728053724824568,-0.21420272225353265,0.9593721762244777,-0.95069644303798,-0.301648669867241,-1.2316839565924897,-1.0548039168687982
18.75,2.1687633555906185,-0.2131122351586633,0.9596065505386311,-0.9519752583645144,-0.2847425917439468,-1.2360038337411796,-0.9256057499731591
19.0,2.1647312601375233,-0.21198156958975217,0.9598719126379907,-0.9531812909112769,-0.2682845511204894,-1.2397613905487013,-0.7971423684654003
19.25,2.1607092346930967,-0.21081120042314816,0.9601673593462954,-0.9543164827391581,-0.2522685931105324,-1.2429602132096131,-0.6695879920717255
19.5,2.1566974192489283,-0.20960160119374532,0.9604919862671046,-0.9553827496858532,-0.23668865837997757,-1.245604648095436,-0.543116840518364
19.75,2.1526959454105454,-0.20835324394024413,0.9608448890496536,-0.9563819809345875,-0.2215385941326643,-1.2476998017546503,-0.41790313353141806
20.0,2.1487049365883526,-0.20706659905775276,0.9612251645897016,-0.9573160386297804,-0.20681216464366692,-1.2492515409126983,-0.2941210908370662
20.25,2.144724508187138,-0.2057421351575187,0.9616319121663791,-0.9581867575376918,-0.1925030613492357,-1.2502664924719824,-0.17194493216143605
20.5,2.140754767794004,-0.20438031893359776,0.9620642345161781,-0.9589959447501368,-0.1786049125024008,-1.250752043511866,-0.051548877230731496
20.75,2.1367958153646285,-0.20298161503625184,0.9625212388453164,-0.9597453794293934,-0.1651112924034892,-1.2507163412886737,0.06689285422889439
21.0,2.1328477434077366,-0.20154648595189173,0.9630020377818178,-0.9604368125924688,-0.15201573021528647,-1.2501682932356906,0.183206042491314
21.25,2.1289106371677047,-0.20007539188935813,0.9635057502687168,-0.9610719669329335,-0.13931171837241044,-1.2491175669631627,0.29721646783034883
21.5,2.1249845748051994,-0.1985687906723584,0.964031502399894,-0.9616525366785736,-0.12699272059534228,-1.2475745902582969,0.40874991051982035
21.75,2.121069627575768,-0.19702713763786356,0.9645784282000844,-0.9621801874831605,-0.11505217951931762,-1.2455505510852611,0.5176321508335247
22.0,2.1171658600063163,-0.19545088554028162,0.9651456703506749,-0.9626565563506775,-0.10348352394810308,-1.2430573975851844,0.6236889690454359
22.25,2.1132733300693993,-0.19384048446122354,0.9657323808629441,-0.9630832515903909,-0.0922801757433704,-1.2401078380761552,0.7267461454293501
22.5,2.109392089355265,-0.192196381724683,0.9663377217004349,-0.9634618528011979,-0.08143555636021461,-1.2367153410532246,0.8266294602590126
22.75,2.1055221832415985,-0.19051902181744435,0.9669608653521711,-0.9637939108837305,-0.07094309303896892,-1.2328941351884035,0.923164693808321
23.0,2.101663651060914,-0.18880884631455502,0.9676009953584638,-0.9640809480787372,-0.0607962246642698,-1.2286592093306643,1.0161776263511224
23.25,2.0978165262655537,-0.1870662938096848,0.9682573067910535,-0.9643244580303173,-0.05098840730153762,-1.2240263125059396,1.1054940381612637
23.5,2.093980836590252,-0.185291799850204,0.9689290066893392,-0.9645259058726171,-0.04151311942130488,-1.2190119539171234,1.1909397095125407
23.75,2.090156604212236,-0.18348579687682043,0.9696153144544555,-0.964686728338655,-0.03236386682210417,-1.2136334029440703,1.2723404206788518
24.000000000000004,2.086343845908826,-0.18164871416760858,0.9703154622029433,-0.9648083338899784,-0.02353418726159752,-1.2079086891435955,1.3495219519339925
24.25,2.082542573212519,-0.1797809777862734,0.9710286950817505,-0.9648921028659029,-0.01501765480644294,-1.2018566022494759,1.4223100835517846
24.5,2.0787527925635287,-0.17788301053450745,0.9717542715462848,-0.9649393876511286,-0.006807883910948655,-1.1954966921724484,1.4905305958061514
24.75,2.074974505459773,-0.17595523190826695,0.9724914636032149,-0.9649515128605727,0.0011014667658159694,-1.1888492690002108,1.5540092689708633
25.0,2.0712077086042826,-0.17399805805784724,0.9732395570196989,-0.9649297755402962,0.008716690794669534,-1.1819354029974225,1.6125718833197675
25.25,2.0674523940500458,-0.1720119017515882,0.9739978515006811,-0.96487544538345,0.016044030653007902,-1.174776924605703,1.6660442191267106
