motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,hybrid_small,hybrid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,hybrid_dsmall_dt,hybrid_dlarge_dt
5.298611111111111160e-01,1.907500000000000000e+02,6.949689865607385775e-01,2.467636820130625352e-02,8.698308021525116285e-01,2.677747386916129457e-02,-5.620937740676396288e+00,-9.650022554220906157e-01,-3.607911354220248334e+00,-1.646132805739444649e+00
5.302083333333333925e-01,1.908750000000000284e+02,6.930192649456390352e-01,2.434237420919537973e-02,8.685754297712885430e-01,2.620841822924047104e-02,-5.609453868589638681e+00,-9.588012730630266489e-01,-3.623019943556655242e+00,-1.631582862951892032e+00
5.305555555555555580e-01,1.910000000000000000e+02,6.910735358837372111e-01,2.401053527978546168e-02,8.673148255764581149e-01,2.564446092287209211e-02,-5.597940634262758230e+00,-9.525890942659556160e-01,-3.638046488852297866e+00,-1.616767598391748217e+00
5.309027777777778345e-01,1.911250000000000284e+02,6.891318095702523294e-01,2.368085530072795014e-02,8.660490181715936320e-01,2.508569283201123046e-02,-5.586398037695733620e+00,-9.463657190308665257e-01,-3.652990322593530514e+00,-1.601694175541538812e+00
5.312500000000000000e-01,1.912500000000000000e+02,6.871940962004109421e-01,2.335333815967572529e-02,8.647780363910170243e-01,2.453220235129316071e-02,-5.574826078888593273e+00,-9.401311473577743660e-01,-3.667850783182789343e+00,-1.586369757883808074e+00
5.315972222222222765e-01,1.913750000000000284e+02,6.852604059694320515e-01,2.302798774428028994e-02,8.635019092977433974e-01,2.398407538803215902e-02,-5.563224757841314982e+00,-9.338853792466675907e-01,-3.682627214938616333e+00,-1.570801508901079169e+00
5.319444444444444420e-01,1.915000000000000000e+02,6.833307490725387678e-01,2.270480794219391363e-02,8.622206661814294515e-01,2.344139536222322739e-02,-5.551594074553902303e+00,-9.276284146975490863e-01,-3.697318968095613112e+00,-1.554996592075899908e+00
5.322916666666667185e-01,1.916250000000000284e+02,6.814051357049555335e-01,2.238380264106892489e-02,8.609343365563167927e-01,2.290424320653983159e-02,-5.539934029026372109e+00,-9.213602537104265133e-01,-3.711925398804492460e+00,-1.538962170890790793e+00
5.326388888888888840e-01,1.917500000000000000e+02,6.794835760619005738e-01,2.206497572855690981e-02,8.596429501591786870e-01,2.237269736633584402e-02,-5.528244621258699532e+00,-9.150808962852866602e-01,-3.726445869132038347e+00,-1.522705408828292750e+00
5.329861111111111605e-01,1.918750000000000284e+02,6.775660803385989972e-01,2.174833109231025588e-02,8.583465369472659257e-01,2.184683379964447170e-02,-5.516525851250898782e+00,-9.087903424221374094e-01,-3.740879747061132132e+00,-1.506233469370931388e+00
